# event_ticker=KXATPCHALLENGERMATCH-26JUN03GONMON
# final_score=6-1 6-3
# match_winner=Khololwam Montsi
# fav_player=Khololwam Montsi
# dog_player=Mario Gonzalez Fernandez
# kalshi_date=2026-06-03
timestamp,Mario Gonzalez Fernandez,Khololwam Montsi
2026-06-03T01:25:00Z,43.00,
2026-06-03T01:31:00Z,40.00,
2026-06-03T04:25:00Z,40.00,59.00
2026-06-03T04:36:00Z,42.00,59.00
2026-06-03T04:40:00Z,42.00,59.00
2026-06-03T05:01:00Z,42.00,60.00
2026-06-03T05:02:00Z,42.00,60.00
2026-06-03T05:32:00Z,41.00,60.85
2026-06-03T05:33:00Z,41.00,61.00
2026-06-03T06:00:00Z,41.00,60.50
2026-06-03T06:01:00Z,41.00,60.50
2026-06-03T06:41:00Z,41.00,60.00
2026-06-03T07:16:00Z,41.00,60.47
2026-06-03T08:42:00Z,40.00,60.47
2026-06-03T08:58:00Z,40.00,61.00
2026-06-03T09:23:00Z,40.00,61.00
2026-06-03T09:24:00Z,40.00,61.00
2026-06-03T09:25:00Z,40.00,61.00
2026-06-03T09:44:00Z,40.00,61.00
2026-06-03T10:16:00Z,40.00,61.00
2026-06-03T10:46:00Z,41.00,61.00
2026-06-03T11:01:00Z,40.00,61.00
2026-06-03T11:11:00Z,40.51,61.00
2026-06-03T11:21:00Z,40.51,61.00
2026-06-03T11:22:00Z,40.51,61.00
2026-06-03T11:25:00Z,40.00,61.00
2026-06-03T11:27:00Z,40.00,61.00
2026-06-03T11:37:00Z,40.00,61.00
2026-06-03T11:51:00Z,40.00,61.00
2026-06-03T12:11:00Z,30.34,63.88
2026-06-03T12:12:00Z,38.00,60.00
2026-06-03T12:13:00Z,40.00,60.00
2026-06-03T12:14:00Z,41.00,60.00
2026-06-03T12:41:00Z,41.00,60.00
2026-06-03T12:42:00Z,41.00,61.00
2026-06-03T12:47:00Z,41.00,61.00
2026-06-03T12:49:00Z,41.00,61.00
2026-06-03T12:51:00Z,41.00,61.00
2026-06-03T12:52:00Z,43.00,61.00
2026-06-03T12:53:00Z,44.53,61.00
2026-06-03T12:55:00Z,44.00,56.00
2026-06-03T12:56:00Z,42.42,56.00
2026-06-03T12:57:00Z,45.50,58.00
2026-06-03T12:58:00Z,45.43,57.71
2026-06-03T12:59:00Z,43.75,58.25
2026-06-03T13:00:00Z,37.40,63.88
2026-06-03T13:01:00Z,36.71,63.04
2026-06-03T13:02:00Z,38.04,61.25
2026-06-03T13:03:00Z,44.64,57.93
2026-06-03T13:04:00Z,46.00,57.00
2026-06-03T13:05:00Z,47.71,56.05
2026-06-03T13:06:00Z,48.37,55.63
2026-06-03T13:07:00Z,45.00,57.78
2026-06-03T13:08:00Z,40.25,57.78
2026-06-03T13:09:00Z,41.90,57.78
2026-06-03T13:10:00Z,41.35,64.42
2026-06-03T13:11:00Z,37.03,64.42
2026-06-03T13:12:00Z,33.65,68.86
2026-06-03T13:13:00Z,30.00,68.86
2026-06-03T13:14:00Z,33.20,69.00
2026-06-03T13:15:00Z,25.92,72.41
