# event_ticker=KXATPCHALLENGERMATCH-26MAY20COMJUS
# final_score=6-2 6-4
# score_resolution=2-6 4-6
# match_winner=Tommaso Compagnucci
# fav_player=Guido Ivan Justo
# dog_player=Tommaso Compagnucci
# kalshi_date=2026-05-20
timestamp,Tommaso Compagnucci,Guido Ivan Justo
2026-05-20T04:29:00Z,38.00,
2026-05-20T04:44:00Z,38.00,
2026-05-20T04:54:00Z,38.00,
2026-05-20T04:59:00Z,39.00,
2026-05-20T05:01:00Z,39.00,
2026-05-20T05:11:00Z,39.00,
2026-05-20T05:13:00Z,39.00,61.00
2026-05-20T05:35:00Z,39.00,62.00
2026-05-20T05:51:00Z,39.00,62.00
2026-05-20T06:18:00Z,39.00,62.60
2026-05-20T07:51:00Z,39.00,61.54
2026-05-20T08:53:00Z,39.00,61.00
2026-05-20T09:20:00Z,39.00,61.00
2026-05-20T09:42:00Z,39.00,61.00
2026-05-20T10:31:00Z,39.00,60.00
2026-05-20T11:33:00Z,41.00,60.00
2026-05-20T12:26:00Z,41.00,59.00
2026-05-20T12:37:00Z,42.00,59.00
2026-05-20T12:41:00Z,42.84,59.00
2026-05-20T12:46:00Z,41.00,59.00
2026-05-20T12:47:00Z,41.00,64.00
2026-05-20T12:48:00Z,37.00,64.00
2026-05-20T12:49:00Z,36.00,64.00
2026-05-20T12:50:00Z,36.00,64.17
2026-05-20T12:51:00Z,36.00,69.00
2026-05-20T12:52:00Z,31.16,68.37
2026-05-20T12:53:00Z,31.16,66.00
2026-05-20T12:54:00Z,31.52,66.00
2026-05-20T12:55:00Z,31.52,61.00
2026-05-20T12:57:00Z,39.00,61.00
2026-05-20T12:58:00Z,39.00,60.85
2026-05-20T12:59:00Z,39.00,61.87
2026-05-20T13:00:00Z,44.10,61.87
2026-05-20T13:01:00Z,44.10,59.98
2026-05-20T13:03:00Z,44.10,65.00
2026-05-20T13:05:00Z,32.22,69.83
2026-05-20T13:06:00Z,35.00,69.83
2026-05-20T13:07:00Z,42.99,69.83
2026-05-20T13:08:00Z,42.00,61.00
2026-05-20T13:09:00Z,43.72,56.00
2026-05-20T13:10:00Z,45.18,54.91
2026-05-20T13:11:00Z,45.18,53.00
2026-05-20T13:12:00Z,42.26,57.38
2026-05-20T13:13:00Z,48.79,56.56
2026-05-20T13:14:00Z,47.50,52.74
2026-05-20T13:15:00Z,47.00,55.51
2026-05-20T13:16:00Z,42.65,57.00
2026-05-20T13:17:00Z,42.65,57.00
2026-05-20T13:18:00Z,46.73,52.00
2026-05-20T13:19:00Z,53.51,47.66
2026-05-20T13:20:00Z,55.00,43.00
2026-05-20T13:21:00Z,58.64,43.00
2026-05-20T13:22:00Z,58.64,40.75
2026-05-20T13:23:00Z,59.32,41.00
2026-05-20T13:24:00Z,61.80,37.90
2026-05-20T13:25:00Z,61.80,37.00
2026-05-20T13:26:00Z,65.65,36.00
2026-05-20T13:27:00Z,67.00,33.10
2026-05-20T13:28:00Z,67.00,30.85
2026-05-20T13:29:00Z,67.00,34.90
2026-05-20T13:30:00Z,67.00,34.90
2026-05-20T13:31:00Z,69.00,33.00
2026-05-20T13:33:00Z,75.04,33.00
2026-05-20T13:34:00Z,75.00,27.00
2026-05-20T13:36:00Z,73.28,27.00
2026-05-20T13:37:00Z,72.88,27.00
2026-05-20T13:38:00Z,75.00,27.00
2026-05-20T13:39:00Z,75.00,27.00
2026-05-20T13:41:00Z,74.85,26.95
2026-05-20T13:42:00Z,72.79,27.19
2026-05-20T13:43:00Z,74.62,28.20
2026-05-20T13:44:00Z,75.06,23.31
2026-05-20T13:45:00Z,72.56,29.47
2026-05-20T13:46:00Z,70.29,30.99
2026-05-20T13:47:00Z,71.96,30.00
2026-05-20T13:48:00Z,71.96,27.00
2026-05-20T13:50:00Z,75.83,25.70
2026-05-20T13:51:00Z,75.62,27.63
2026-05-20T13:52:00Z,74.95,25.00
2026-05-20T13:53:00Z,76.11,26.04
2026-05-20T13:54:00Z,80.70,21.71
2026-05-20T13:55:00Z,86.10,19.67
2026-05-20T13:56:00Z,88.06,13.02
2026-05-20T13:57:00Z,88.24,12.83
2026-05-20T13:58:00Z,85.40,14.78
2026-05-20T13:59:00Z,81.54,18.57
2026-05-20T14:00:00Z,79.69,19.99
2026-05-20T14:01:00Z,84.71,15.79
2026-05-20T14:02:00Z,82.70,19.08
2026-05-20T14:03:00Z,85.72,16.04
2026-05-20T14:04:00Z,88.94,12.47
2026-05-20T14:05:00Z,90.22,9.96
2026-05-20T14:06:00Z,91.02,9.76
2026-05-20T14:07:00Z,90.51,10.86
2026-05-20T14:08:00Z,88.81,12.46
2026-05-20T14:09:00Z,87.47,13.00
2026-05-20T14:10:00Z,88.48,13.12
2026-05-20T14:11:00Z,84.02,17.11
2026-05-20T14:12:00Z,89.71,11.78
2026-05-20T14:13:00Z,87.97,12.86
2026-05-20T14:14:00Z,91.79,9.30
2026-05-20T14:15:00Z,93.00,7.48
2026-05-20T14:16:00Z,92.22,8.68
2026-05-20T14:17:00Z,93.30,8.89
2026-05-20T14:18:00Z,93.59,6.26
2026-05-20T14:19:00Z,93.34,5.61
2026-05-20T14:20:00Z,90.08,11.27
2026-05-20T14:21:00Z,90.00,11.91
2026-05-20T14:22:00Z,93.09,7.93
2026-05-20T14:23:00Z,94.85,5.75
2026-05-20T14:24:00Z,95.00,5.57
2026-05-20T14:25:00Z,95.69,4.89
2026-05-20T14:26:00Z,95.05,5.81
2026-05-20T14:27:00Z,94.69,6.95
2026-05-20T14:28:00Z,94.00,8.00
2026-05-20T14:29:00Z,95.64,5.90
2026-05-20T14:30:00Z,93.44,7.89
2026-05-20T14:31:00Z,98.16,3.86
2026-05-20T14:32:00Z,99.00,1.01
2026-05-20T14:33:00Z,99.00,1.00
2026-05-20T14:34:00Z,99.00,1.00
2026-05-20T14:35:00Z,99.00,1.00
2026-05-20T14:36:00Z,99.00,1.00
