# event_ticker=KXATPCHALLENGERMATCH-26APR20BERSEL
# final_score=4-6 6-3 6-2
# score_resolution=6-4 3-6 2-6
# match_winner=Jelle Sels
# fav_player=Tomasz Berkieta
# dog_player=Jelle Sels
# kalshi_date=2026-04-20
timestamp,Tomasz Berkieta,Jelle Sels
2026-04-19T23:59:00Z,,50.00
2026-04-20T00:51:00Z,50.00,50.00
2026-04-20T02:10:00Z,54.00,50.00
2026-04-20T02:33:00Z,54.00,47.00
2026-04-20T02:47:00Z,54.00,47.00
2026-04-20T02:58:00Z,54.00,47.18
2026-04-20T03:18:00Z,54.00,45.00
2026-04-20T03:23:00Z,53.00,45.00
2026-04-20T03:39:00Z,53.00,47.00
2026-04-20T03:57:00Z,53.00,47.00
2026-04-20T05:15:00Z,53.00,45.00
2026-04-20T05:23:00Z,55.00,45.00
2026-04-20T05:52:00Z,55.00,45.00
2026-04-20T06:01:00Z,55.00,46.00
2026-04-20T06:13:00Z,55.00,46.00
2026-04-20T06:56:00Z,55.00,46.74
2026-04-20T07:06:00Z,55.00,46.74
2026-04-20T09:19:00Z,55.00,46.00
2026-04-20T09:30:00Z,54.00,46.00
2026-04-20T09:36:00Z,54.00,46.00
2026-04-20T09:41:00Z,54.00,46.00
2026-04-20T09:50:00Z,54.00,46.00
2026-04-20T09:51:00Z,54.00,46.00
2026-04-20T09:57:00Z,54.00,48.14
2026-04-20T10:01:00Z,55.00,48.00
2026-04-20T10:03:00Z,55.00,48.98
2026-04-20T10:04:00Z,57.71,48.98
2026-04-20T10:07:00Z,53.00,49.91
2026-04-20T10:09:00Z,53.00,47.00
2026-04-20T10:10:00Z,53.00,41.76
2026-04-20T10:11:00Z,62.92,37.35
2026-04-20T10:12:00Z,63.00,37.35
2026-04-20T10:13:00Z,60.06,37.35
2026-04-20T10:16:00Z,64.00,36.02
2026-04-20T10:17:00Z,67.00,36.02
2026-04-20T10:19:00Z,67.00,35.00
2026-04-20T10:22:00Z,67.00,37.89
2026-04-20T10:23:00Z,55.34,45.63
2026-04-20T10:24:00Z,54.00,47.00
2026-04-20T10:25:00Z,52.17,51.33
2026-04-20T10:26:00Z,45.89,51.33
2026-04-20T10:27:00Z,44.00,53.67
2026-04-20T10:28:00Z,56.50,45.00
2026-04-20T10:29:00Z,59.63,45.00
2026-04-20T10:30:00Z,60.21,45.00
2026-04-20T10:31:00Z,59.92,40.63
2026-04-20T10:32:00Z,59.92,42.56
2026-04-20T10:33:00Z,64.92,36.22
2026-04-20T10:34:00Z,68.00,32.00
2026-04-20T10:35:00Z,68.74,32.00
2026-04-20T10:36:00Z,62.79,41.73
2026-04-20T10:37:00Z,61.12,41.73
2026-04-20T10:38:00Z,61.40,43.51
2026-04-20T10:39:00Z,47.83,53.95
2026-04-20T10:40:00Z,46.00,53.95
2026-04-20T10:41:00Z,62.49,36.21
2026-04-20T10:42:00Z,62.49,27.95
2026-04-20T10:43:00Z,72.00,27.95
2026-04-20T10:44:00Z,76.00,25.00
2026-04-20T10:45:00Z,76.00,19.38
2026-04-20T10:47:00Z,79.96,20.65
2026-04-20T10:48:00Z,78.17,20.65
2026-04-20T10:49:00Z,78.17,21.89
2026-04-20T10:50:00Z,78.17,27.95
2026-04-20T10:52:00Z,77.00,27.95
2026-04-20T10:54:00Z,74.24,27.96
2026-04-20T10:55:00Z,79.46,23.00
2026-04-20T10:56:00Z,74.14,23.00
2026-04-20T10:57:00Z,73.88,23.39
2026-04-20T10:59:00Z,73.88,25.73
2026-04-20T11:01:00Z,74.57,29.50
2026-04-20T11:02:00Z,73.00,29.00
2026-04-20T11:03:00Z,74.00,29.00
2026-04-20T11:04:00Z,75.00,29.00
2026-04-20T11:05:00Z,78.00,29.00
2026-04-20T11:06:00Z,73.00,30.00
2026-04-20T11:07:00Z,69.84,29.04
