# event_ticker=KXATPCHALLENGERMATCH-26MAR24TUNNOG
# final_score=6-3 6-3
# match_winner=Rio Noguchi
# fav_player=Rio Noguchi
# dog_player=Tung-Lin Wu
# kalshi_date=2026-03-24
timestamp,Rio Noguchi,Tung-Lin Wu
2026-03-23T22:50:00Z,,61.00
2026-03-23T23:50:00Z,40.00,61.00
2026-03-24T00:27:00Z,40.00,61.00
2026-03-24T01:27:00Z,40.00,61.00
2026-03-24T02:31:00Z,40.00,61.00
2026-03-24T02:39:00Z,40.00,61.00
2026-03-24T02:59:00Z,40.00,61.86
2026-03-24T03:01:00Z,40.00,63.00
2026-03-24T03:30:00Z,40.00,63.34
2026-03-24T03:45:00Z,38.00,63.34
2026-03-24T03:47:00Z,38.00,63.34
2026-03-24T04:14:00Z,38.00,63.00
2026-03-24T04:28:00Z,38.00,63.00
2026-03-24T04:36:00Z,38.00,63.00
2026-03-24T04:37:00Z,38.00,63.00
2026-03-24T04:42:00Z,38.00,63.00
2026-03-24T04:47:00Z,38.00,63.00
2026-03-24T04:49:00Z,38.83,63.00
2026-03-24T04:50:00Z,39.00,63.00
2026-03-24T05:00:00Z,39.00,63.00
2026-03-24T05:04:00Z,38.00,63.00
2026-03-24T05:06:00Z,38.00,63.00
2026-03-24T05:08:00Z,38.00,63.00
2026-03-24T05:10:00Z,38.00,63.00
2026-03-24T05:13:00Z,38.00,63.00
2026-03-24T05:14:00Z,38.00,63.00
2026-03-24T05:15:00Z,38.00,63.00
2026-03-24T05:20:00Z,37.00,63.00
2026-03-24T05:22:00Z,37.00,61.20
2026-03-24T05:23:00Z,37.00,62.00
2026-03-24T05:28:00Z,40.00,62.00
2026-03-24T05:34:00Z,39.00,62.00
2026-03-24T05:38:00Z,39.00,62.00
2026-03-24T05:39:00Z,40.00,62.00
2026-03-24T05:40:00Z,40.00,62.00
2026-03-24T05:42:00Z,40.00,62.00
2026-03-24T05:43:00Z,40.00,62.00
2026-03-24T05:47:00Z,40.00,62.00
2026-03-24T05:50:00Z,39.00,62.00
2026-03-24T05:53:00Z,39.00,62.00
2026-03-24T05:54:00Z,39.73,62.00
2026-03-24T05:56:00Z,39.61,62.00
2026-03-24T05:58:00Z,39.61,62.00
2026-03-24T05:59:00Z,40.00,62.00
2026-03-24T06:00:00Z,40.00,62.70
2026-03-24T06:01:00Z,40.00,63.00
2026-03-24T06:02:00Z,40.00,63.00
2026-03-24T06:03:00Z,40.00,62.00
2026-03-24T06:05:00Z,40.45,62.00
2026-03-24T06:06:00Z,44.44,60.32
2026-03-24T06:07:00Z,42.16,61.00
2026-03-24T06:08:00Z,42.16,60.03
2026-03-24T06:09:00Z,43.00,60.22
2026-03-24T06:10:00Z,43.00,61.80
2026-03-24T06:11:00Z,42.59,60.52
2026-03-24T06:12:00Z,46.37,59.56
2026-03-24T06:13:00Z,53.62,55.03
2026-03-24T06:14:00Z,50.25,53.18
2026-03-24T06:15:00Z,46.87,55.70
2026-03-24T06:16:00Z,47.89,56.55
2026-03-24T06:17:00Z,48.07,57.12
2026-03-24T06:18:00Z,49.90,53.12
2026-03-24T06:19:00Z,49.11,53.14
2026-03-24T06:20:00Z,48.78,54.03
2026-03-24T06:21:00Z,45.93,57.18
2026-03-24T06:22:00Z,44.04,60.92
2026-03-24T06:23:00Z,33.71,67.56
2026-03-24T06:24:00Z,37.07,65.35
2026-03-24T06:25:00Z,42.21,61.72
2026-03-24T06:26:00Z,45.27,57.14
2026-03-24T06:27:00Z,46.63,55.96
2026-03-24T06:28:00Z,49.50,53.46
2026-03-24T06:29:00Z,44.59,56.28
2026-03-24T06:30:00Z,44.40,56.18
