# event_ticker=KXATPCHALLENGERMATCH-26MAY21IVAHER
# final_score=6-1 6-2
# match_winner=Ilya Ivashka
# fav_player=Ilya Ivashka
# dog_player=Alex Hernandez
# kalshi_date=2026-05-21
timestamp,Ilya Ivashka,Alex Hernandez
2026-05-20T20:39:00Z,,19.00
2026-05-20T21:40:00Z,,19.00
2026-05-20T23:22:00Z,83.00,19.00
2026-05-20T23:47:00Z,81.00,19.00
2026-05-20T23:54:00Z,82.00,19.00
2026-05-21T00:09:00Z,82.00,18.00
2026-05-21T02:22:00Z,83.00,18.00
2026-05-21T03:08:00Z,83.00,18.00
2026-05-21T03:40:00Z,83.00,18.00
2026-05-21T03:41:00Z,83.00,19.00
2026-05-21T03:56:00Z,83.00,19.00
2026-05-21T04:03:00Z,83.00,19.00
2026-05-21T04:30:00Z,83.00,19.00
2026-05-21T04:43:00Z,83.00,18.00
2026-05-21T04:49:00Z,83.00,18.00
2026-05-21T05:03:00Z,83.00,18.27
2026-05-21T05:04:00Z,83.00,18.27
2026-05-21T05:19:00Z,83.00,18.00
2026-05-21T05:31:00Z,83.00,18.00
2026-05-21T05:49:00Z,83.00,18.00
2026-05-21T05:56:00Z,83.00,18.00
2026-05-21T06:16:00Z,83.00,18.00
2026-05-21T06:28:00Z,83.00,18.00
2026-05-21T06:29:00Z,83.00,18.00
2026-05-21T06:39:00Z,83.00,18.98
2026-05-21T06:41:00Z,83.00,19.00
2026-05-21T06:42:00Z,83.00,19.00
2026-05-21T06:43:00Z,83.00,19.00
2026-05-21T06:53:00Z,83.00,19.00
2026-05-21T06:55:00Z,83.00,19.00
2026-05-21T07:00:00Z,83.00,19.00
2026-05-21T07:37:00Z,83.00,19.00
2026-05-21T07:38:00Z,83.00,19.00
2026-05-21T07:41:00Z,82.00,19.00
2026-05-21T07:42:00Z,82.00,19.00
2026-05-21T07:46:00Z,83.00,19.00
2026-05-21T07:49:00Z,83.00,18.00
2026-05-21T07:50:00Z,81.02,18.00
2026-05-21T07:51:00Z,81.02,18.97
2026-05-21T07:52:00Z,81.02,19.07
2026-05-21T07:53:00Z,81.02,19.00
2026-05-21T07:54:00Z,81.02,19.57
2026-05-21T07:55:00Z,81.02,20.08
2026-05-21T07:56:00Z,80.22,21.88
2026-05-21T07:57:00Z,80.22,20.13
2026-05-21T09:01:00Z,97.07,3.03
2026-05-21T09:02:00Z,99.00,1.23
2026-05-21T09:03:00Z,99.00,1.02
2026-05-21T09:04:00Z,99.00,1.00
