# event_ticker=KXATPCHALLENGERMATCH-26MAR11NAPNEU
# final_score=6-3 6-7(6) 6-1
# score_resolution=3-6 7-6 1-6
# match_winner=Stefano Napolitano
# fav_player=Maximilian Neuchrist
# dog_player=Stefano Napolitano
# kalshi_date=2026-03-11
timestamp,Maximilian Neuchrist,Stefano Napolitano
2026-03-11T23:07:00Z,,82.00
2026-03-11T23:35:00Z,21.00,82.00
2026-03-12T00:03:00Z,21.00,82.00
2026-03-12T00:31:00Z,21.00,82.00
2026-03-12T00:42:00Z,21.00,82.00
2026-03-12T00:56:00Z,21.25,82.00
2026-03-12T01:23:00Z,22.00,80.00
2026-03-12T02:03:00Z,22.00,81.00
2026-03-12T02:24:00Z,22.00,81.00
2026-03-12T03:03:00Z,22.00,81.00
2026-03-12T03:14:00Z,22.00,81.00
2026-03-12T03:16:00Z,22.00,81.00
2026-03-12T03:22:00Z,22.00,80.00
2026-03-12T03:32:00Z,22.00,81.00
2026-03-12T03:43:00Z,22.00,81.00
2026-03-12T04:19:00Z,22.00,80.75
2026-03-12T04:24:00Z,22.00,82.00
2026-03-12T04:26:00Z,22.00,82.00
2026-03-12T04:28:00Z,21.00,82.00
2026-03-12T04:42:00Z,21.00,80.00
2026-03-12T04:43:00Z,21.00,79.08
2026-03-12T04:47:00Z,21.00,79.08
2026-03-12T04:48:00Z,21.00,81.00
2026-03-12T04:51:00Z,21.00,81.00
2026-03-12T04:54:00Z,21.00,81.00
2026-03-12T05:26:00Z,21.00,81.00
2026-03-12T05:38:00Z,21.00,81.00
2026-03-12T05:42:00Z,21.00,81.00
2026-03-12T05:44:00Z,19.00,81.00
2026-03-12T06:02:00Z,21.00,81.00
2026-03-12T06:04:00Z,21.00,81.33
2026-03-12T06:05:00Z,21.00,79.00
2026-03-12T06:26:00Z,20.00,79.00
2026-03-12T06:28:00Z,20.00,83.00
2026-03-12T06:31:00Z,20.00,82.99
2026-03-12T06:33:00Z,20.00,83.00
2026-03-12T06:37:00Z,20.00,83.00
2026-03-12T06:41:00Z,20.00,83.00
2026-03-12T06:42:00Z,20.00,83.00
2026-03-12T06:56:00Z,20.00,83.00
2026-03-12T09:10:00Z,20.00,83.00
2026-03-12T09:11:00Z,20.00,83.00
2026-03-12T09:14:00Z,20.00,82.00
2026-03-12T09:35:00Z,20.00,82.00
2026-03-12T09:36:00Z,20.00,82.00
2026-03-12T09:44:00Z,20.00,82.00
2026-03-12T09:46:00Z,20.00,82.00
2026-03-12T09:57:00Z,20.00,82.00
2026-03-12T09:58:00Z,20.00,82.00
2026-03-12T10:06:00Z,20.00,82.00
2026-03-12T10:07:00Z,20.00,82.00
2026-03-12T10:12:00Z,20.00,82.00
2026-03-12T10:21:00Z,20.00,84.00
2026-03-12T10:34:00Z,20.00,84.00
2026-03-12T10:36:00Z,20.00,84.00
2026-03-12T10:37:00Z,20.00,83.00
2026-03-12T10:44:00Z,20.00,83.00
2026-03-12T10:49:00Z,20.00,83.00
2026-03-12T10:50:00Z,20.00,83.00
2026-03-12T10:51:00Z,20.00,83.00
2026-03-12T10:52:00Z,20.00,83.00
2026-03-12T10:53:00Z,19.96,83.00
2026-03-12T10:54:00Z,20.00,83.00
2026-03-12T10:55:00Z,20.03,83.00
2026-03-12T10:56:00Z,21.16,81.56
2026-03-12T10:57:00Z,18.00,85.00
2026-03-12T10:58:00Z,17.54,85.00
2026-03-12T10:59:00Z,17.05,85.36
2026-03-12T11:00:00Z,14.48,87.28
2026-03-12T11:01:00Z,13.22,88.23
2026-03-12T11:02:00Z,8.45,89.30
2026-03-12T11:03:00Z,8.12,92.22
2026-03-12T11:04:00Z,8.05,94.00
2026-03-12T11:05:00Z,7.00,94.00
2026-03-12T11:06:00Z,6.95,94.00
2026-03-12T11:07:00Z,8.58,94.00
2026-03-12T11:08:00Z,8.00,93.00
2026-03-12T11:09:00Z,8.07,94.00
2026-03-12T11:10:00Z,7.07,93.01
2026-03-12T11:11:00Z,9.00,93.01
2026-03-12T11:12:00Z,8.00,93.01
2026-03-12T11:13:00Z,7.80,93.00
2026-03-12T11:14:00Z,8.39,93.00
2026-03-12T11:15:00Z,9.02,92.85
2026-03-12T11:16:00Z,9.39,94.00
2026-03-12T11:17:00Z,9.57,93.00
2026-03-12T11:18:00Z,7.17,94.00
2026-03-12T11:19:00Z,7.31,93.93
2026-03-12T11:20:00Z,7.94,93.00
2026-03-12T11:21:00Z,7.94,93.00
2026-03-12T11:22:00Z,6.15,94.00
2026-03-12T11:23:00Z,7.88,93.03
2026-03-12T11:24:00Z,7.89,93.13
2026-03-12T11:25:00Z,10.46,92.73
2026-03-12T11:26:00Z,12.17,93.00
2026-03-12T11:27:00Z,9.21,93.00
2026-03-12T11:28:00Z,8.29,92.95
2026-03-12T11:29:00Z,8.81,93.00
2026-03-12T11:30:00Z,9.00,92.00
2026-03-12T11:31:00Z,8.97,91.96
2026-03-12T11:32:00Z,9.00,92.00
2026-03-12T11:33:00Z,9.37,91.83
2026-03-12T11:34:00Z,9.05,91.00
2026-03-12T11:35:00Z,10.26,90.00
2026-03-12T11:36:00Z,10.23,92.00
2026-03-12T11:37:00Z,9.11,92.00
2026-03-12T11:38:00Z,10.15,92.00
2026-03-12T11:39:00Z,9.52,93.00
2026-03-12T11:40:00Z,7.75,93.00
2026-03-12T11:41:00Z,10.25,93.00
2026-03-12T11:42:00Z,11.00,90.96
2026-03-12T11:43:00Z,10.51,91.00
2026-03-12T11:44:00Z,11.95,89.33
2026-03-12T11:45:00Z,12.84,90.59
2026-03-12T11:46:00Z,14.46,86.14
2026-03-12T11:47:00Z,16.34,89.00
2026-03-12T11:48:00Z,13.62,90.00
2026-03-12T11:49:00Z,12.96,89.15
2026-03-12T11:50:00Z,12.90,89.00
2026-03-12T11:51:00Z,14.07,87.03
2026-03-12T11:52:00Z,14.31,87.69
2026-03-12T11:53:00Z,15.24,86.34
2026-03-12T11:54:00Z,14.00,89.00
2026-03-12T11:55:00Z,16.34,88.11
2026-03-12T11:56:00Z,17.69,84.28
2026-03-12T11:57:00Z,15.40,87.96
2026-03-12T11:58:00Z,15.37,87.96
2026-03-12T11:59:00Z,15.95,86.91
2026-03-12T12:00:00Z,16.38,88.89
2026-03-12T12:01:00Z,17.05,84.86
2026-03-12T12:02:00Z,17.83,84.00
2026-03-12T12:03:00Z,16.45,85.10
2026-03-12T12:04:00Z,16.00,84.88
2026-03-12T12:05:00Z,17.28,84.97
2026-03-12T12:06:00Z,19.65,81.78
2026-03-12T12:07:00Z,19.94,81.87
2026-03-12T12:08:00Z,23.37,77.76
2026-03-12T12:09:00Z,23.15,80.62
2026-03-12T12:10:00Z,23.64,81.17
2026-03-12T12:11:00Z,19.04,82.54
2026-03-12T12:12:00Z,22.01,81.20
2026-03-12T12:13:00Z,21.21,79.01
2026-03-12T12:14:00Z,20.98,82.71
2026-03-12T12:15:00Z,19.89,81.81
2026-03-12T12:16:00Z,20.09,83.36
2026-03-12T12:17:00Z,12.06,92.39
2026-03-12T12:18:00Z,18.87,90.69
2026-03-12T12:19:00Z,11.47,86.50
2026-03-12T12:20:00Z,11.90,89.20
2026-03-12T12:21:00Z,12.06,88.34
2026-03-12T12:22:00Z,20.32,81.62
2026-03-12T12:23:00Z,20.00,81.88
2026-03-12T12:24:00Z,21.56,79.98
2026-03-12T12:25:00Z,24.29,76.32
2026-03-12T12:26:00Z,22.31,80.03
2026-03-12T12:27:00Z,16.30,83.65
2026-03-12T12:28:00Z,21.34,83.99
2026-03-12T12:29:00Z,28.11,74.18
2026-03-12T12:30:00Z,26.30,76.30
2026-03-12T12:31:00Z,27.76,70.14
2026-03-12T12:32:00Z,19.84,79.29
2026-03-12T12:33:00Z,21.01,82.14
2026-03-12T12:34:00Z,13.33,82.84
2026-03-12T12:35:00Z,9.51,90.97
2026-03-12T12:36:00Z,11.97,84.69
2026-03-12T12:37:00Z,30.71,86.99
2026-03-12T12:38:00Z,19.09,94.52
2026-03-12T12:39:00Z,15.10,82.81
2026-03-12T12:40:00Z,24.59,76.18
2026-03-12T12:41:00Z,36.96,64.19
2026-03-12T12:42:00Z,34.40,65.50
2026-03-12T12:43:00Z,32.95,72.63
2026-03-12T12:44:00Z,32.05,67.22
2026-03-12T12:45:00Z,33.61,67.86
2026-03-12T12:46:00Z,33.94,68.39
2026-03-12T12:47:00Z,21.07,79.72
2026-03-12T12:48:00Z,29.07,85.75
2026-03-12T12:49:00Z,30.91,70.05
2026-03-12T12:50:00Z,29.41,71.70
2026-03-12T12:51:00Z,25.23,76.62
2026-03-12T12:52:00Z,35.91,64.93
2026-03-12T12:53:00Z,33.98,67.26
2026-03-12T12:54:00Z,33.27,69.86
2026-03-12T12:55:00Z,30.90,71.00
2026-03-12T12:56:00Z,30.54,71.00
2026-03-12T12:57:00Z,33.13,74.54
2026-03-12T12:58:00Z,30.82,72.45
2026-03-12T12:59:00Z,24.37,78.15
2026-03-12T13:00:00Z,23.55,74.27
2026-03-12T13:01:00Z,9.92,92.40
2026-03-12T13:02:00Z,6.16,95.53
2026-03-12T13:03:00Z,3.76,96.32
2026-03-12T13:04:00Z,3.48,96.91
2026-03-12T13:05:00Z,2.16,97.17
2026-03-12T13:06:00Z,1.81,98.74
2026-03-12T13:07:00Z,1.12,98.99
2026-03-12T13:08:00Z,1.07,98.98
2026-03-12T13:09:00Z,1.47,99.00
2026-03-12T13:10:00Z,1.44,98.53
2026-03-12T13:11:00Z,2.41,98.25
2026-03-12T13:12:00Z,1.00,99.00
2026-03-12T13:13:00Z,1.00,99.00
2026-03-12T13:14:00Z,1.00,99.00
2026-03-12T13:15:00Z,1.00,99.00
2026-03-12T13:17:00Z,1.00,99.00
