# event_ticker=KXATPMATCH-26APR03TIEBUR
# final_score=7-5 6-4
# match_winner=Roman Andres Burruchaga
# fav_player=Roman Andres Burruchaga
# dog_player=Learner Tien
# kalshi_date=2026-04-03
timestamp,Roman Andres Burruchaga,Learner Tien
2026-04-03T05:21:00Z,34.00,
2026-04-03T05:22:00Z,34.00,
2026-04-03T05:24:00Z,34.00,
2026-04-03T05:25:00Z,24.00,79.62
2026-04-03T05:26:00Z,24.00,79.38
2026-04-03T05:28:00Z,34.00,79.38
2026-04-03T05:30:00Z,30.00,73.00
2026-04-03T05:32:00Z,30.00,73.00
2026-04-03T05:33:00Z,30.00,72.00
2026-04-03T05:34:00Z,34.00,72.00
2026-04-03T05:35:00Z,30.00,68.00
2026-04-03T05:36:00Z,29.00,68.00
2026-04-03T05:37:00Z,29.00,72.00
2026-04-03T05:39:00Z,29.00,75.00
2026-04-03T05:41:00Z,29.00,77.00
2026-04-03T05:52:00Z,25.00,77.00
2026-04-03T05:53:00Z,33.00,75.00
2026-04-03T05:58:00Z,33.00,75.00
2026-04-03T05:59:00Z,33.00,75.00
2026-04-03T06:03:00Z,33.00,75.00
2026-04-03T06:04:00Z,25.00,77.00
2026-04-03T06:05:00Z,25.00,77.81
2026-04-03T06:06:00Z,25.12,77.27
2026-04-03T06:07:00Z,26.00,76.64
2026-04-03T06:08:00Z,33.00,76.64
2026-04-03T06:11:00Z,33.00,79.00
2026-04-03T06:17:00Z,33.00,79.00
2026-04-03T06:18:00Z,31.00,79.00
2026-04-03T06:19:00Z,24.00,79.00
2026-04-03T06:38:00Z,24.00,79.00
2026-04-03T06:50:00Z,24.00,79.00
2026-04-03T06:52:00Z,24.00,75.00
2026-04-03T07:02:00Z,24.00,75.00
2026-04-03T07:03:00Z,24.00,72.02
2026-04-03T07:10:00Z,29.00,73.00
2026-04-03T07:15:00Z,31.00,73.00
2026-04-03T07:17:00Z,31.00,69.00
2026-04-03T07:25:00Z,33.00,69.00
2026-04-03T07:31:00Z,33.00,69.00
2026-04-03T07:35:00Z,33.00,70.00
2026-04-03T08:09:00Z,33.00,70.00
2026-04-03T08:20:00Z,33.00,70.00
2026-04-03T08:26:00Z,33.00,70.00
2026-04-03T08:34:00Z,33.00,70.00
2026-04-03T08:53:00Z,33.00,70.00
2026-04-03T09:01:00Z,33.00,70.00
2026-04-03T09:10:00Z,33.00,69.00
2026-04-03T09:11:00Z,34.99,67.99
2026-04-03T09:12:00Z,36.00,67.99
2026-04-03T09:16:00Z,35.00,67.99
2026-04-03T09:17:00Z,35.00,67.00
2026-04-03T09:20:00Z,35.00,67.00
2026-04-03T09:22:00Z,35.00,67.00
2026-04-03T09:29:00Z,35.00,67.00
2026-04-03T09:35:00Z,35.00,66.00
2026-04-03T09:43:00Z,35.00,63.00
2026-04-03T09:47:00Z,37.00,63.00
2026-04-03T09:52:00Z,37.00,63.00
2026-04-03T09:59:00Z,37.00,63.00
2026-04-03T10:06:00Z,37.00,63.00
2026-04-03T10:10:00Z,37.00,63.00
2026-04-03T10:12:00Z,37.00,63.00
2026-04-03T10:20:00Z,37.00,63.00
2026-04-03T10:23:00Z,37.00,63.00
2026-04-03T10:28:00Z,37.00,63.00
2026-04-03T10:29:00Z,38.19,63.00
2026-04-03T10:55:00Z,38.19,63.00
2026-04-03T10:56:00Z,39.76,63.00
2026-04-03T10:58:00Z,39.76,63.00
2026-04-03T11:13:00Z,40.00,63.00
2026-04-03T11:16:00Z,40.00,63.00
2026-04-03T11:23:00Z,40.00,63.00
2026-04-03T11:24:00Z,40.00,63.00
2026-04-03T11:25:00Z,40.00,63.00
2026-04-03T11:28:00Z,40.00,63.00
2026-04-03T11:35:00Z,40.00,63.00
2026-04-03T11:38:00Z,39.00,63.00
2026-04-03T11:39:00Z,39.00,63.00
2026-04-03T11:45:00Z,39.00,63.00
2026-04-03T11:53:00Z,39.00,63.00
2026-04-03T11:54:00Z,39.00,63.00
2026-04-03T11:58:00Z,39.00,63.00
2026-04-03T12:03:00Z,39.00,63.00
2026-04-03T12:08:00Z,39.00,63.00
2026-04-03T12:10:00Z,39.00,63.00
2026-04-03T12:12:00Z,39.00,63.00
2026-04-03T12:16:00Z,39.00,63.00
2026-04-03T12:18:00Z,39.00,63.00
2026-04-03T12:21:00Z,39.00,63.00
2026-04-03T12:25:00Z,39.00,62.00
2026-04-03T12:28:00Z,40.00,63.00
2026-04-03T12:30:00Z,40.00,63.00
2026-04-03T12:34:00Z,40.00,63.00
2026-04-03T12:40:00Z,40.00,63.00
2026-04-03T12:41:00Z,40.00,62.81
2026-04-03T12:42:00Z,40.00,60.16
2026-04-03T12:44:00Z,40.00,60.16
2026-04-03T12:47:00Z,40.00,61.00
2026-04-03T12:49:00Z,40.00,61.00
2026-04-03T12:50:00Z,40.00,60.00
2026-04-03T12:51:00Z,40.00,61.00
2026-04-03T12:53:00Z,40.00,61.00
2026-04-03T12:55:00Z,40.00,61.00
2026-04-03T13:00:00Z,40.00,61.00
2026-04-03T13:01:00Z,40.00,61.00
2026-04-03T13:04:00Z,40.00,62.00
2026-04-03T13:06:00Z,40.00,61.00
2026-04-03T13:07:00Z,40.00,60.13
2026-04-03T13:08:00Z,40.00,61.47
2026-04-03T13:10:00Z,40.00,61.00
2026-04-03T13:15:00Z,40.00,61.00
2026-04-03T13:16:00Z,40.00,62.00
2026-04-03T13:20:00Z,40.00,61.00
2026-04-03T13:22:00Z,40.00,61.00
2026-04-03T13:23:00Z,40.00,61.00
2026-04-03T13:24:00Z,40.00,61.00
2026-04-03T13:25:00Z,40.00,61.00
2026-04-03T13:26:00Z,40.00,61.00
2026-04-03T13:27:00Z,40.00,61.00
2026-04-03T13:28:00Z,40.00,60.07
2026-04-03T13:29:00Z,40.00,61.00
2026-04-03T13:30:00Z,40.00,61.00
2026-04-03T13:32:00Z,40.00,60.00
2026-04-03T13:36:00Z,40.00,60.00
2026-04-03T13:37:00Z,40.00,60.00
2026-04-03T13:38:00Z,40.00,60.00
2026-04-03T13:39:00Z,40.00,60.00
2026-04-03T13:40:00Z,40.00,61.00
2026-04-03T13:42:00Z,40.00,61.00
2026-04-03T13:43:00Z,40.00,60.75
2026-04-03T13:44:00Z,40.00,61.00
2026-04-03T13:46:00Z,40.00,61.00
2026-04-03T13:47:00Z,40.00,61.00
2026-04-03T13:49:00Z,40.00,61.00
2026-04-03T13:50:00Z,40.00,60.44
2026-04-03T13:51:00Z,40.00,61.00
2026-04-03T13:52:00Z,40.00,61.00
2026-04-03T13:53:00Z,40.00,61.00
2026-04-03T13:55:00Z,40.00,61.00
2026-04-03T13:57:00Z,40.00,61.00
2026-04-03T13:58:00Z,40.00,61.00
2026-04-03T13:59:00Z,40.00,61.00
2026-04-03T14:00:00Z,40.00,61.00
2026-04-03T14:03:00Z,40.00,61.00
2026-04-03T14:04:00Z,39.00,61.00
2026-04-03T14:05:00Z,39.00,61.00
2026-04-03T14:06:00Z,39.00,61.00
2026-04-03T14:07:00Z,39.00,61.00
2026-04-03T14:09:00Z,40.00,61.00
2026-04-03T14:10:00Z,40.92,61.00
2026-04-03T14:11:00Z,40.92,61.00
2026-04-03T14:13:00Z,40.92,61.00
2026-04-03T14:15:00Z,40.92,61.00
2026-04-03T14:16:00Z,41.00,61.00
2026-04-03T14:19:00Z,41.00,61.00
2026-04-03T14:21:00Z,41.00,61.00
2026-04-03T14:26:00Z,41.00,61.00
2026-04-03T14:27:00Z,41.00,61.00
2026-04-03T14:29:00Z,41.00,60.00
2026-04-03T14:31:00Z,41.00,60.00
2026-04-03T14:32:00Z,41.00,60.00
2026-04-03T14:33:00Z,41.00,61.00
2026-04-03T14:34:00Z,41.00,61.00
2026-04-03T14:35:00Z,41.00,61.00
2026-04-03T14:36:00Z,41.00,61.00
2026-04-03T14:39:00Z,41.00,60.00
2026-04-03T14:40:00Z,41.00,60.00
2026-04-03T14:41:00Z,41.00,61.00
2026-04-03T14:43:00Z,41.00,61.00
2026-04-03T14:44:00Z,39.00,61.00
2026-04-03T14:45:00Z,38.00,61.00
2026-04-03T14:47:00Z,40.00,61.00
2026-04-03T14:48:00Z,40.00,61.00
2026-04-03T14:49:00Z,40.00,60.57
2026-04-03T14:50:00Z,40.00,61.00
2026-04-03T14:52:00Z,40.00,61.00
2026-04-03T14:54:00Z,40.00,61.00
2026-04-03T14:55:00Z,40.00,61.00
2026-04-03T14:57:00Z,40.00,61.00
2026-04-03T14:58:00Z,40.00,61.00
2026-04-03T14:59:00Z,40.00,61.00
2026-04-03T15:01:00Z,41.00,61.00
2026-04-03T15:04:00Z,41.00,61.00
2026-04-03T15:05:00Z,41.00,61.00
2026-04-03T15:06:00Z,41.00,61.00
2026-04-03T15:07:00Z,41.00,61.00
2026-04-03T15:11:00Z,41.00,61.00
2026-04-03T15:12:00Z,41.00,61.00
2026-04-03T15:15:00Z,41.00,60.00
2026-04-03T15:17:00Z,41.00,61.00
2026-04-03T15:18:00Z,41.00,61.00
2026-04-03T15:23:00Z,41.00,61.00
2026-04-03T15:25:00Z,41.00,61.00
2026-04-03T15:26:00Z,41.00,60.15
2026-04-03T15:27:00Z,41.00,61.00
2026-04-03T15:28:00Z,41.00,61.00
