# event_ticker=KXATPCHALLENGERMATCH-26MAY15LATOR
# final_score=6-4 6-2
# match_winner=Juan Manuel La Serna
# fav_player=Juan Manuel La Serna
# dog_player=Juan Bautista Torres
# kalshi_date=2026-05-15
timestamp,Juan Manuel La Serna,Juan Bautista Torres
2026-05-15T02:32:00Z,25.00,
2026-05-15T03:01:00Z,25.00,
2026-05-15T03:06:00Z,25.00,
2026-05-15T03:15:00Z,25.15,
2026-05-15T03:17:00Z,26.00,
2026-05-15T04:03:00Z,26.00,
2026-05-15T04:31:00Z,26.00,76.00
2026-05-15T05:25:00Z,26.00,76.00
2026-05-15T05:55:00Z,26.00,76.00
2026-05-15T06:46:00Z,26.00,76.00
2026-05-15T07:16:00Z,26.00,76.00
2026-05-15T07:20:00Z,26.00,76.00
2026-05-15T08:47:00Z,26.00,76.00
2026-05-15T09:40:00Z,26.00,76.00
2026-05-15T10:15:00Z,26.00,75.00
2026-05-15T10:46:00Z,26.00,75.00
2026-05-15T10:50:00Z,26.00,75.00
2026-05-15T11:20:00Z,26.00,75.00
2026-05-15T11:47:00Z,26.00,75.00
2026-05-15T11:55:00Z,26.00,75.00
2026-05-15T12:01:00Z,26.00,75.00
2026-05-15T12:18:00Z,26.00,75.00
2026-05-15T12:29:00Z,26.00,75.00
2026-05-15T12:30:00Z,26.00,75.00
2026-05-15T12:31:00Z,26.00,75.00
2026-05-15T13:06:00Z,25.00,75.00
2026-05-15T13:14:00Z,25.50,75.00
2026-05-15T13:27:00Z,26.00,75.00
2026-05-15T13:37:00Z,26.00,75.00
2026-05-15T13:50:00Z,26.00,75.00
2026-05-15T13:51:00Z,26.00,75.00
2026-05-15T13:52:00Z,26.00,75.00
2026-05-15T13:55:00Z,26.00,75.00
2026-05-15T13:56:00Z,26.00,75.00
2026-05-15T13:57:00Z,26.00,75.00
2026-05-15T13:59:00Z,26.00,75.00
2026-05-15T14:00:00Z,26.00,75.00
2026-05-15T14:03:00Z,26.68,75.00
2026-05-15T14:04:00Z,27.00,75.00
2026-05-15T14:06:00Z,27.00,73.00
