# event_ticker=KXATPCHALLENGERMATCH-26FEB18FERDEV
# final_score=6-4 6-2
# match_winner=Bruno Fernandez
# fav_player=Bruno Fernandez
# dog_player=Murkel Dellien
# kalshi_date=2026-02-18
timestamp,Bruno Fernandez,Murkel Dellien
2026-02-18T01:27:00Z,11.00,
2026-02-18T01:33:00Z,11.00,
2026-02-18T01:40:00Z,11.00,
2026-02-18T01:51:00Z,12.00,
2026-02-18T03:22:00Z,12.00,87.00
2026-02-18T03:51:00Z,22.25,87.00
2026-02-18T03:57:00Z,22.25,87.00
2026-02-18T04:30:00Z,22.57,87.00
2026-02-18T04:53:00Z,22.57,87.00
2026-02-18T04:57:00Z,22.57,87.00
2026-02-18T05:11:00Z,14.00,87.00
2026-02-18T05:15:00Z,14.00,87.00
2026-02-18T05:36:00Z,14.00,88.00
2026-02-18T06:03:00Z,15.00,88.00
2026-02-18T06:04:00Z,15.00,93.00
2026-02-18T06:24:00Z,29.03,93.00
2026-02-18T06:35:00Z,39.00,93.00
2026-02-18T06:44:00Z,39.00,93.00
2026-02-18T06:56:00Z,38.00,75.00
2026-02-18T07:50:00Z,38.00,75.00
2026-02-18T10:46:00Z,38.00,88.00
2026-02-18T12:54:00Z,38.00,87.00
2026-02-18T13:02:00Z,38.00,88.97
2026-02-18T13:07:00Z,21.00,88.97
2026-02-18T13:08:00Z,21.00,88.97
2026-02-18T13:09:00Z,22.24,88.97
2026-02-18T13:10:00Z,15.20,88.97
2026-02-18T13:11:00Z,20.53,88.97
2026-02-18T13:12:00Z,17.00,86.00
2026-02-18T13:13:00Z,18.00,81.00
2026-02-18T13:14:00Z,21.39,80.00
2026-02-18T13:15:00Z,20.88,81.93
2026-02-18T13:16:00Z,20.00,81.93
2026-02-18T13:17:00Z,18.91,84.00
2026-02-18T13:18:00Z,14.90,86.02
2026-02-18T13:19:00Z,12.74,88.00
2026-02-18T13:20:00Z,15.36,85.00
2026-02-18T13:21:00Z,16.00,85.00
2026-02-18T13:22:00Z,16.96,81.51
2026-02-18T13:23:00Z,17.14,81.51
2026-02-18T13:24:00Z,17.05,83.00
2026-02-18T13:25:00Z,15.91,84.00
2026-02-18T13:26:00Z,14.00,86.00
2026-02-18T13:27:00Z,13.00,86.00
2026-02-18T13:28:00Z,13.49,86.00
2026-02-18T13:29:00Z,17.70,86.00
2026-02-18T13:30:00Z,17.08,84.00
2026-02-18T13:31:00Z,16.00,85.00
2026-02-18T13:32:00Z,12.67,85.00
2026-02-18T13:33:00Z,13.45,85.00
2026-02-18T13:34:00Z,15.21,87.00
2026-02-18T13:35:00Z,17.16,87.00
2026-02-18T13:36:00Z,16.29,87.00
2026-02-18T13:37:00Z,17.90,87.00
2026-02-18T13:38:00Z,19.67,83.00
2026-02-18T13:39:00Z,21.70,79.32
2026-02-18T13:40:00Z,19.74,80.73
2026-02-18T13:41:00Z,15.00,83.06
2026-02-18T13:42:00Z,14.85,87.00
2026-02-18T13:43:00Z,15.32,87.00
2026-02-18T13:44:00Z,20.15,87.00
2026-02-18T13:45:00Z,23.00,87.00
2026-02-18T13:46:00Z,24.59,74.00
2026-02-18T13:47:00Z,26.80,77.45
2026-02-18T13:48:00Z,36.94,71.60
2026-02-18T13:49:00Z,39.93,62.00
2026-02-18T13:50:00Z,38.03,62.81
2026-02-18T13:51:00Z,30.71,73.35
2026-02-18T13:52:00Z,27.00,71.00
2026-02-18T13:53:00Z,39.31,70.95
2026-02-18T13:54:00Z,44.88,58.19
2026-02-18T13:55:00Z,38.39,62.00
2026-02-18T13:56:00Z,47.45,54.33
2026-02-18T13:57:00Z,47.07,53.00
2026-02-18T13:58:00Z,45.90,53.00
2026-02-18T13:59:00Z,47.45,53.00
2026-02-18T14:00:00Z,48.00,52.98
2026-02-18T14:01:00Z,49.64,52.20
2026-02-18T14:02:00Z,47.13,52.04
2026-02-18T14:03:00Z,53.10,49.00
2026-02-18T14:04:00Z,54.57,42.67
2026-02-18T14:05:00Z,67.01,36.26
2026-02-18T14:06:00Z,63.98,35.00
2026-02-18T14:07:00Z,67.75,36.23
2026-02-18T14:08:00Z,72.05,28.20
2026-02-18T14:09:00Z,79.08,20.73
2026-02-18T14:10:00Z,79.71,22.40
2026-02-18T14:11:00Z,78.18,24.25
2026-02-18T14:12:00Z,80.74,19.42
2026-02-18T14:13:00Z,85.86,16.67
2026-02-18T14:14:00Z,88.47,12.67
2026-02-18T14:15:00Z,89.60,10.74
2026-02-18T14:16:00Z,94.45,5.85
2026-02-18T14:17:00Z,95.40,4.34
2026-02-18T14:18:00Z,96.28,3.04
2026-02-18T14:19:00Z,96.79,4.13
2026-02-18T14:20:00Z,96.12,4.16
2026-02-18T14:21:00Z,94.99,6.28
2026-02-18T14:22:00Z,95.39,7.80
2026-02-18T14:23:00Z,97.23,5.18
2026-02-18T14:24:00Z,98.20,2.98
2026-02-18T14:25:00Z,98.26,1.85
2026-02-18T14:26:00Z,98.19,2.76
2026-02-18T14:27:00Z,95.85,2.70
2026-02-18T14:28:00Z,94.00,1.10
2026-02-18T14:29:00Z,97.32,2.08
2026-02-18T14:30:00Z,98.38,2.30
2026-02-18T14:31:00Z,99.00,1.76
2026-02-18T14:32:00Z,98.85,1.00
2026-02-18T14:33:00Z,99.00,1.00
2026-02-18T14:34:00Z,99.00,1.00
2026-02-18T14:35:00Z,99.00,1.00
2026-02-18T14:37:00Z,99.00,1.00
