# event_ticker=KXATPCHALLENGERMATCH-26APR03ENGSAN
# final_score=6-0 7-5
# match_winner=Alejo Sanchez Quilez
# fav_player=Alejo Sanchez Quilez
# dog_player=Justin Engel
# kalshi_date=2026-04-03
timestamp,Alejo Sanchez Quilez,Justin Engel
2026-04-03T01:02:00Z,,55.00
2026-04-03T01:28:00Z,,55.00
2026-04-03T03:26:00Z,46.00,55.00
2026-04-03T03:27:00Z,46.00,55.00
2026-04-03T03:45:00Z,45.00,55.00
2026-04-03T03:47:00Z,45.00,55.00
2026-04-03T03:48:00Z,45.00,55.00
2026-04-03T04:49:00Z,45.00,56.00
2026-04-03T05:05:00Z,46.00,56.00
2026-04-03T05:13:00Z,46.00,56.00
2026-04-03T05:25:00Z,44.01,56.00
2026-04-03T05:47:00Z,45.00,56.00
2026-04-03T05:48:00Z,45.00,56.00
2026-04-03T05:49:00Z,45.00,56.00
2026-04-03T05:56:00Z,46.00,56.00
2026-04-03T06:01:00Z,46.00,56.00
2026-04-03T06:05:00Z,46.00,56.00
2026-04-03T06:12:00Z,46.00,56.00
2026-04-03T06:26:00Z,46.00,56.00
2026-04-03T06:27:00Z,46.00,56.00
2026-04-03T06:54:00Z,46.00,56.00
2026-04-03T07:38:00Z,46.00,56.00
2026-04-03T07:43:00Z,46.00,56.00
2026-04-03T07:55:00Z,46.00,56.00
2026-04-03T09:02:00Z,46.00,56.00
2026-04-03T09:25:00Z,46.00,56.00
2026-04-03T09:30:00Z,46.00,56.00
2026-04-03T09:36:00Z,47.00,56.00
2026-04-03T09:44:00Z,45.00,56.00
2026-04-03T09:46:00Z,45.00,52.63
2026-04-03T10:00:00Z,48.00,52.63
2026-04-03T10:04:00Z,48.00,51.97
2026-04-03T10:05:00Z,48.00,49.00
2026-04-03T10:06:00Z,48.00,48.00
2026-04-03T10:07:00Z,62.13,41.82
2026-04-03T10:08:00Z,63.45,41.82
2026-04-03T10:09:00Z,68.41,29.17
2026-04-03T10:10:00Z,71.00,28.00
2026-04-03T10:11:00Z,73.02,26.00
2026-04-03T10:12:00Z,73.02,28.00
2026-04-03T10:13:00Z,73.02,25.02
2026-04-03T10:14:00Z,77.00,25.02
2026-04-03T10:15:00Z,74.08,21.00
2026-04-03T10:16:00Z,81.00,21.00
2026-04-03T10:17:00Z,78.50,23.00
2026-04-03T10:18:00Z,80.87,21.00
2026-04-03T10:20:00Z,83.00,21.00
2026-04-03T10:21:00Z,82.00,18.00
2026-04-03T10:23:00Z,86.64,13.24
2026-04-03T10:24:00Z,85.00,14.00
2026-04-03T10:25:00Z,85.00,14.00
2026-04-03T10:26:00Z,87.00,14.00
2026-04-03T10:27:00Z,87.00,14.00
2026-04-03T10:29:00Z,85.00,14.88
2026-04-03T10:30:00Z,87.74,13.00
2026-04-03T10:31:00Z,85.43,17.98
2026-04-03T10:32:00Z,79.00,22.00
2026-04-03T10:33:00Z,79.00,19.01
2026-04-03T10:34:00Z,79.00,21.00
2026-04-03T10:35:00Z,86.71,13.00
2026-04-03T10:36:00Z,82.00,16.00
2026-04-03T10:37:00Z,83.62,19.99
2026-04-03T10:38:00Z,87.53,12.92
2026-04-03T10:39:00Z,89.00,11.00
2026-04-03T10:40:00Z,92.13,5.05
2026-04-03T10:41:00Z,96.00,6.00
2026-04-03T10:42:00Z,96.51,5.97
2026-04-03T10:43:00Z,96.51,8.34
2026-04-03T10:44:00Z,89.90,9.07
2026-04-03T10:45:00Z,89.00,10.00
2026-04-03T10:46:00Z,92.53,9.00
2026-04-03T10:47:00Z,91.00,8.77
2026-04-03T10:48:00Z,84.84,8.77
2026-04-03T10:49:00Z,87.00,14.00
2026-04-03T10:50:00Z,87.00,10.96
2026-04-03T10:51:00Z,84.09,15.14
2026-04-03T10:52:00Z,87.75,11.03
2026-04-03T10:53:00Z,89.91,10.45
2026-04-03T10:54:00Z,90.93,10.13
2026-04-03T10:55:00Z,90.27,12.53
2026-04-03T10:56:00Z,83.64,17.65
2026-04-03T10:57:00Z,78.12,16.32
2026-04-03T10:58:00Z,77.12,15.31
2026-04-03T10:59:00Z,78.41,24.41
2026-04-03T11:00:00Z,86.66,18.86
2026-04-03T11:01:00Z,82.54,20.14
2026-04-03T11:02:00Z,81.00,17.50
2026-04-03T11:03:00Z,85.99,12.62
2026-04-03T11:04:00Z,90.57,12.62
2026-04-03T11:05:00Z,95.79,3.47
2026-04-03T11:06:00Z,98.06,2.62
2026-04-03T11:07:00Z,94.60,8.27
2026-04-03T11:08:00Z,85.14,12.67
2026-04-03T11:09:00Z,85.18,18.05
2026-04-03T11:10:00Z,82.72,17.06
2026-04-03T11:11:00Z,89.99,12.08
2026-04-03T11:12:00Z,89.55,10.55
2026-04-03T11:13:00Z,88.87,12.75
2026-04-03T11:14:00Z,86.32,15.01
2026-04-03T11:15:00Z,83.98,17.08
2026-04-03T11:16:00Z,90.44,10.99
2026-04-03T11:17:00Z,97.17,2.30
2026-04-03T11:18:00Z,99.00,2.30
2026-04-03T11:19:00Z,99.00,2.30
