# event_ticker=KXATPMATCH-25OCT29RINVAC
# final_score=6-7(9) 6-3 6-4
# score_resolution=7-6 3-6 4-6
# match_winner=Valentin Vacherot
# fav_player=Arthur Rinderknech
# dog_player=Valentin Vacherot
# kalshi_date=2025-10-29
timestamp,Arthur Rinderknech,Valentin Vacherot
2025-10-28T22:30:00Z,42.00,
2025-10-28T22:42:00Z,42.00,59.00
2025-10-28T22:43:00Z,42.00,58.26
2025-10-28T22:44:00Z,42.00,59.00
2025-10-28T22:45:00Z,42.00,59.00
2025-10-28T22:48:00Z,44.00,59.00
2025-10-28T22:51:00Z,44.00,59.00
2025-10-28T22:55:00Z,44.00,59.00
2025-10-28T23:06:00Z,44.00,57.00
2025-10-28T23:32:00Z,44.00,57.00
2025-10-28T23:35:00Z,42.00,57.00
2025-10-28T23:48:00Z,43.00,57.00
2025-10-29T00:04:00Z,43.00,58.00
2025-10-29T00:10:00Z,43.00,58.00
2025-10-29T00:12:00Z,43.00,58.00
2025-10-29T00:15:00Z,43.00,58.00
2025-10-29T00:24:00Z,43.00,58.00
2025-10-29T00:27:00Z,43.00,58.00
2025-10-29T00:31:00Z,43.00,58.00
2025-10-29T00:52:00Z,43.00,58.00
2025-10-29T00:57:00Z,43.00,57.00
2025-10-29T00:58:00Z,43.00,57.00
2025-10-29T01:16:00Z,43.00,58.00
2025-10-29T01:46:00Z,43.00,58.00
2025-10-29T01:50:00Z,43.09,58.00
2025-10-29T01:51:00Z,43.09,58.00
2025-10-29T01:54:00Z,43.09,58.00
2025-10-29T01:55:00Z,43.09,58.00
2025-10-29T01:56:00Z,43.09,58.00
2025-10-29T02:09:00Z,44.00,58.00
2025-10-29T02:11:00Z,44.00,58.00
2025-10-29T02:20:00Z,44.00,58.00
2025-10-29T02:24:00Z,44.00,58.00
2025-10-29T02:25:00Z,44.00,58.00
2025-10-29T02:33:00Z,44.00,58.00
2025-10-29T02:42:00Z,44.00,58.00
2025-10-29T02:43:00Z,44.00,58.00
2025-10-29T02:46:00Z,44.00,58.00
2025-10-29T02:48:00Z,44.00,58.00
2025-10-29T02:52:00Z,44.00,58.00
2025-10-29T02:53:00Z,44.00,58.00
2025-10-29T02:55:00Z,44.00,58.00
2025-10-29T02:56:00Z,44.00,58.00
2025-10-29T03:05:00Z,44.00,58.00
2025-10-29T03:12:00Z,44.00,58.00
2025-10-29T03:24:00Z,44.00,58.00
