# event_ticker=KXATPCHALLENGERMATCH-26MAY21ALCMAR
# final_score=6-0 5-7 6-2
# match_winner=Max Alcala Gurri
# fav_player=Max Alcala Gurri
# dog_player=Juan Cruz Martin Manzano
# kalshi_date=2026-05-21
timestamp,Max Alcala Gurri,Juan Cruz Martin Manzano
2026-05-21T02:22:00Z,75.00,
2026-05-21T03:13:00Z,75.00,25.00
2026-05-21T04:40:00Z,75.00,27.00
2026-05-21T04:53:00Z,75.00,27.00
2026-05-21T05:22:00Z,75.00,27.00
2026-05-21T05:59:00Z,75.00,27.00
2026-05-21T11:12:00Z,75.00,29.00
2026-05-21T12:04:00Z,75.00,29.00
2026-05-21T12:15:00Z,75.00,29.00
2026-05-21T12:20:00Z,75.00,29.00
2026-05-21T12:45:00Z,75.00,28.00
2026-05-21T12:49:00Z,74.00,28.00
2026-05-21T13:04:00Z,74.00,28.63
2026-05-21T13:05:00Z,74.00,28.00
2026-05-21T13:07:00Z,72.81,29.55
2026-05-21T13:09:00Z,77.00,31.00
2026-05-21T13:10:00Z,77.00,24.00
2026-05-21T13:14:00Z,82.53,24.00
2026-05-21T13:15:00Z,83.13,17.70
2026-05-21T13:16:00Z,89.00,17.70
2026-05-21T13:17:00Z,89.00,11.00
2026-05-21T13:20:00Z,92.00,11.00
2026-05-21T13:21:00Z,92.00,8.00
2026-05-21T13:22:00Z,92.00,8.00
2026-05-21T13:23:00Z,92.00,9.00
2026-05-21T13:24:00Z,93.00,9.00
2026-05-21T13:25:00Z,92.00,9.00
2026-05-21T13:26:00Z,93.91,8.00
2026-05-21T13:27:00Z,94.00,8.00
2026-05-21T13:28:00Z,94.00,8.00
2026-05-21T13:30:00Z,92.00,9.00
2026-05-21T13:31:00Z,91.99,9.68
2026-05-21T13:32:00Z,95.29,15.15
2026-05-21T13:33:00Z,97.57,8.00
2026-05-21T13:34:00Z,90.67,10.57
2026-05-21T13:35:00Z,94.00,6.00
2026-05-21T13:36:00Z,93.00,6.69
2026-05-21T13:37:00Z,93.00,8.00
2026-05-21T13:38:00Z,93.00,8.99
2026-05-21T13:39:00Z,93.72,7.00
2026-05-21T13:40:00Z,96.01,4.34
2026-05-21T13:41:00Z,98.00,4.34
2026-05-21T13:42:00Z,98.00,3.00
2026-05-21T13:43:00Z,98.00,2.00
2026-05-21T13:44:00Z,98.00,2.00
2026-05-21T13:45:00Z,99.00,2.00
2026-05-21T13:46:00Z,98.00,2.55
2026-05-21T13:47:00Z,98.00,3.00
2026-05-21T13:48:00Z,96.77,3.00
2026-05-21T13:49:00Z,98.00,3.00
2026-05-21T13:50:00Z,98.00,2.00
2026-05-21T13:51:00Z,98.00,2.00
2026-05-21T13:52:00Z,98.00,3.00
2026-05-21T13:53:00Z,98.00,2.40
2026-05-21T13:54:00Z,98.96,3.00
2026-05-21T13:55:00Z,98.96,3.00
2026-05-21T13:56:00Z,97.00,3.00
2026-05-21T13:58:00Z,97.96,3.00
2026-05-21T13:59:00Z,97.00,3.96
2026-05-21T14:00:00Z,97.00,3.97
2026-05-21T14:01:00Z,95.85,4.91
2026-05-21T14:02:00Z,95.89,4.36
2026-05-21T14:03:00Z,94.19,5.22
2026-05-21T14:04:00Z,95.93,4.00
2026-05-21T14:05:00Z,95.00,6.73
2026-05-21T14:06:00Z,91.56,8.80
2026-05-21T14:07:00Z,89.00,11.90
2026-05-21T14:08:00Z,90.00,11.19
2026-05-21T14:09:00Z,87.40,12.98
2026-05-21T14:10:00Z,89.00,13.20
2026-05-21T14:11:00Z,87.00,13.23
2026-05-21T14:12:00Z,88.00,13.00
2026-05-21T14:13:00Z,84.50,15.97
2026-05-21T14:14:00Z,84.99,14.95
2026-05-21T14:15:00Z,87.07,10.00
2026-05-21T14:16:00Z,86.00,12.22
2026-05-21T14:17:00Z,86.00,14.69
2026-05-21T14:18:00Z,85.41,15.06
2026-05-21T14:19:00Z,84.00,16.45
2026-05-21T14:20:00Z,85.00,16.65
2026-05-21T14:21:00Z,86.00,16.65
2026-05-21T14:22:00Z,86.50,14.00
2026-05-21T14:23:00Z,89.00,11.01
2026-05-21T14:24:00Z,88.70,13.04
2026-05-21T14:25:00Z,87.55,12.80
2026-05-21T14:26:00Z,90.67,13.70
2026-05-21T14:27:00Z,85.00,15.75
2026-05-21T14:28:00Z,85.00,18.26
2026-05-21T14:29:00Z,82.00,23.25
2026-05-21T14:30:00Z,81.25,17.49
2026-05-21T14:31:00Z,85.17,16.16
2026-05-21T14:32:00Z,78.84,23.16
2026-05-21T14:33:00Z,67.34,30.82
2026-05-21T14:34:00Z,70.88,31.46
2026-05-21T14:35:00Z,67.87,37.41
2026-05-21T14:36:00Z,67.87,40.91
2026-05-21T14:37:00Z,73.99,40.91
2026-05-21T14:38:00Z,69.83,31.14
2026-05-21T14:39:00Z,78.42,31.11
2026-05-21T14:40:00Z,67.95,35.13
2026-05-21T14:41:00Z,64.79,37.17
2026-05-21T14:42:00Z,62.53,40.58
2026-05-21T14:43:00Z,64.78,36.21
2026-05-21T14:44:00Z,64.12,35.74
2026-05-21T14:45:00Z,65.00,35.81
2026-05-21T14:46:00Z,66.80,36.50
2026-05-21T14:47:00Z,61.98,40.71
2026-05-21T14:48:00Z,71.52,33.43
2026-05-21T14:49:00Z,63.92,38.96
2026-05-21T14:50:00Z,65.00,35.08
2026-05-21T14:51:00Z,65.46,38.48
2026-05-21T14:52:00Z,59.69,42.93
2026-05-21T14:53:00Z,60.02,42.11
2026-05-21T14:54:00Z,60.31,40.47
2026-05-21T14:55:00Z,51.03,46.55
2026-05-21T14:56:00Z,59.08,43.35
2026-05-21T14:57:00Z,64.91,36.97
2026-05-21T14:58:00Z,68.29,31.44
2026-05-21T14:59:00Z,67.83,30.69
2026-05-21T15:00:00Z,72.21,31.95
2026-05-21T15:01:00Z,83.48,16.49
2026-05-21T15:02:00Z,83.96,16.96
2026-05-21T15:03:00Z,80.16,21.00
2026-05-21T15:04:00Z,81.60,14.62
2026-05-21T15:05:00Z,86.44,15.48
2026-05-21T15:06:00Z,87.23,13.02
2026-05-21T15:07:00Z,93.59,10.27
2026-05-21T15:08:00Z,93.32,8.20
2026-05-21T15:09:00Z,95.49,3.35
2026-05-21T15:10:00Z,98.10,2.33
2026-05-21T15:11:00Z,98.67,1.86
2026-05-21T15:12:00Z,98.12,1.36
2026-05-21T15:13:00Z,98.65,1.44
2026-05-21T15:14:00Z,98.53,1.07
2026-05-21T15:15:00Z,99.00,1.00
2026-05-21T15:16:00Z,99.00,1.00
2026-05-21T15:18:00Z,99.00,1.00
2026-05-21T15:19:00Z,99.00,1.00
2026-05-21T15:20:00Z,99.00,1.00
2026-05-21T15:21:00Z,99.00,1.00
