# event_ticker=KXATPCHALLENGERMATCH-26MAY11BARZHE
# final_score=6-4 6-4
# match_winner=Tomas Barrios Vera
# fav_player=Marcelo Tomas Barrios Vera
# dog_player=Michael Zheng
# kalshi_date=2026-05-11
timestamp,Marcelo Tomas Barrios Vera,Michael Zheng
2026-05-11T06:51:00Z,,30.00
2026-05-11T07:15:00Z,72.00,30.00
2026-05-11T07:17:00Z,72.00,30.00
2026-05-11T07:29:00Z,71.00,30.00
2026-05-11T07:34:00Z,70.00,30.00
2026-05-11T07:44:00Z,68.00,30.00
2026-05-11T11:48:00Z,69.00,30.00
2026-05-11T12:43:00Z,69.00,31.00
2026-05-11T13:02:00Z,69.10,31.00
2026-05-11T13:03:00Z,71.68,31.00
2026-05-11T13:16:00Z,71.00,31.00
2026-05-11T13:58:00Z,71.00,31.00
2026-05-11T14:12:00Z,71.95,31.00
2026-05-11T14:28:00Z,71.00,31.00
2026-05-11T14:38:00Z,71.00,31.00
2026-05-11T14:51:00Z,72.00,31.00
2026-05-11T15:14:00Z,72.00,31.00
2026-05-11T15:54:00Z,72.00,31.00
2026-05-11T16:05:00Z,72.00,31.00
2026-05-11T16:25:00Z,71.00,31.00
2026-05-11T16:42:00Z,71.00,31.00
2026-05-11T16:44:00Z,71.00,31.00
2026-05-11T17:16:00Z,71.00,31.00
2026-05-11T17:26:00Z,71.00,31.00
2026-05-11T17:28:00Z,69.00,31.00
2026-05-11T17:42:00Z,69.00,32.00
2026-05-11T17:44:00Z,69.00,33.00
2026-05-11T17:46:00Z,69.00,33.99
2026-05-11T17:48:00Z,69.00,33.00
2026-05-11T17:51:00Z,68.00,33.00
2026-05-11T17:53:00Z,69.00,33.21
2026-05-11T17:54:00Z,72.08,30.26
2026-05-11T17:55:00Z,73.99,28.00
2026-05-11T17:56:00Z,73.99,29.59
2026-05-11T17:57:00Z,71.00,28.00
2026-05-11T17:58:00Z,71.00,29.54
2026-05-11T17:59:00Z,68.00,33.00
2026-05-11T18:00:00Z,69.02,33.00
2026-05-11T18:01:00Z,75.71,31.00
2026-05-11T18:02:00Z,74.85,25.75
2026-05-11T18:03:00Z,75.10,25.00
2026-05-11T18:04:00Z,69.04,29.64
2026-05-11T18:05:00Z,69.00,29.64
2026-05-11T18:06:00Z,69.00,30.19
2026-05-11T18:07:00Z,72.00,30.19
2026-05-11T18:09:00Z,72.00,28.89
2026-05-11T18:10:00Z,72.00,29.81
2026-05-11T18:11:00Z,72.00,32.00
2026-05-11T18:12:00Z,71.00,32.00
2026-05-11T18:13:00Z,73.32,28.47
2026-05-11T18:14:00Z,79.65,24.02
2026-05-11T18:15:00Z,76.88,25.00
2026-05-11T18:16:00Z,77.72,23.20
2026-05-11T18:17:00Z,78.00,23.00
2026-05-11T18:19:00Z,83.00,19.41
2026-05-11T18:20:00Z,83.00,19.91
2026-05-11T18:21:00Z,81.01,19.00
2026-05-11T18:22:00Z,82.00,19.00
2026-05-11T18:24:00Z,81.91,19.00
2026-05-11T18:25:00Z,83.00,18.00
2026-05-11T18:26:00Z,83.75,16.97
2026-05-11T18:27:00Z,85.29,16.00
2026-05-11T18:28:00Z,85.48,16.00
2026-05-11T18:29:00Z,84.00,16.98
2026-05-11T18:30:00Z,85.98,14.96
2026-05-11T18:31:00Z,85.70,15.66
2026-05-11T18:32:00Z,86.00,13.19
2026-05-11T18:34:00Z,86.00,13.19
2026-05-11T18:35:00Z,86.16,14.00
2026-05-11T18:36:00Z,86.35,15.00
2026-05-11T18:37:00Z,86.37,15.00
2026-05-11T18:38:00Z,86.13,14.07
2026-05-11T18:39:00Z,86.00,15.67
2026-05-11T18:40:00Z,86.00,16.00
2026-05-11T18:41:00Z,86.00,16.00
2026-05-11T18:42:00Z,86.00,16.00
2026-05-11T18:43:00Z,84.09,16.00
2026-05-11T18:44:00Z,84.00,16.00
2026-05-11T18:45:00Z,84.00,15.95
2026-05-11T18:46:00Z,87.03,15.00
2026-05-11T18:47:00Z,86.00,14.91
2026-05-11T18:48:00Z,86.00,13.85
2026-05-11T18:49:00Z,86.77,16.00
2026-05-11T18:50:00Z,86.00,14.00
2026-05-11T18:51:00Z,86.00,16.00
2026-05-11T18:52:00Z,85.93,16.00
2026-05-11T18:53:00Z,86.00,16.00
2026-05-11T18:54:00Z,86.00,15.00
2026-05-11T18:55:00Z,86.00,15.00
2026-05-11T18:56:00Z,87.18,15.97
2026-05-11T18:57:00Z,85.07,15.55
2026-05-11T18:58:00Z,85.07,16.00
2026-05-11T18:59:00Z,84.53,16.78
2026-05-11T19:00:00Z,83.92,20.52
2026-05-11T19:01:00Z,84.00,18.03
2026-05-11T19:02:00Z,83.99,18.70
2026-05-11T19:03:00Z,83.88,18.78
2026-05-11T19:04:00Z,84.09,18.78
2026-05-11T19:05:00Z,84.00,18.78
2026-05-11T19:06:00Z,85.75,17.02
2026-05-11T19:07:00Z,84.00,17.29
2026-05-11T19:08:00Z,81.64,17.07
2026-05-11T19:09:00Z,84.37,17.63
2026-05-11T19:10:00Z,84.41,17.15
2026-05-11T19:11:00Z,81.53,18.76
2026-05-11T19:12:00Z,80.10,20.62
2026-05-11T19:13:00Z,83.00,19.63
2026-05-11T19:14:00Z,81.80,19.64
2026-05-11T19:15:00Z,83.00,19.96
2026-05-11T19:16:00Z,79.00,21.00
2026-05-11T19:17:00Z,81.00,21.73
2026-05-11T19:18:00Z,81.46,20.50
2026-05-11T19:19:00Z,84.05,19.30
2026-05-11T19:20:00Z,84.00,15.90
2026-05-11T19:21:00Z,84.00,19.20
2026-05-11T19:22:00Z,81.00,18.04
2026-05-11T19:23:00Z,81.00,19.40
2026-05-11T19:24:00Z,81.00,17.74
2026-05-11T19:25:00Z,84.00,16.50
2026-05-11T19:26:00Z,84.00,16.00
2026-05-11T19:27:00Z,84.00,16.00
2026-05-11T19:28:00Z,82.71,16.90
2026-05-11T19:29:00Z,85.00,16.12
2026-05-11T19:30:00Z,87.00,19.68
2026-05-11T19:31:00Z,85.77,18.96
2026-05-11T19:32:00Z,85.77,22.22
2026-05-11T19:33:00Z,88.34,11.48
2026-05-11T19:34:00Z,92.35,18.24
2026-05-11T19:35:00Z,92.38,14.09
2026-05-11T19:36:00Z,91.02,20.82
2026-05-11T19:37:00Z,79.72,18.90
2026-05-11T19:38:00Z,89.75,24.24
2026-05-11T19:39:00Z,85.22,24.24
2026-05-11T19:40:00Z,88.69,22.00
2026-05-11T19:41:00Z,85.43,17.77
2026-05-11T19:42:00Z,90.00,17.07
2026-05-11T19:43:00Z,92.36,14.03
2026-05-11T19:44:00Z,85.50,16.31
2026-05-11T19:45:00Z,92.28,12.35
2026-05-11T19:46:00Z,87.93,9.75
2026-05-11T19:47:00Z,87.78,14.86
2026-05-11T19:48:00Z,82.67,11.96
2026-05-11T19:50:00Z,84.43,17.68
2026-05-11T19:51:00Z,84.73,17.96
2026-05-11T19:52:00Z,84.00,17.93
2026-05-11T19:53:00Z,87.13,18.84
2026-05-11T19:54:00Z,85.69,17.86
2026-05-11T19:55:00Z,80.05,16.79
2026-05-11T19:56:00Z,87.00,14.93
2026-05-11T19:57:00Z,87.00,13.95
2026-05-11T19:58:00Z,85.94,16.94
2026-05-11T19:59:00Z,82.52,17.00
2026-05-11T20:00:00Z,85.18,18.50
2026-05-11T20:01:00Z,80.74,19.00
2026-05-11T20:02:00Z,81.35,20.13
2026-05-11T20:03:00Z,80.74,22.41
2026-05-11T20:04:00Z,82.25,20.36
2026-05-11T20:05:00Z,84.10,17.85
2026-05-11T20:06:00Z,87.18,13.54
2026-05-11T20:07:00Z,86.57,15.00
2026-05-11T20:08:00Z,86.50,15.96
2026-05-11T20:09:00Z,90.27,10.98
2026-05-11T20:10:00Z,90.40,13.08
2026-05-11T20:11:00Z,88.38,15.77
2026-05-11T20:12:00Z,89.95,11.10
