# event_ticker=KXATPCHALLENGERMATCH-26FEB10DAMPER
# final_score=7-5 6-3
# match_winner=Miguel Damas
# fav_player=Miguel Damas
# dog_player=Tiago Pereira
# kalshi_date=2026-02-10
timestamp,Miguel Damas,Tiago Pereira
2026-02-10T06:13:00Z,,45.00
2026-02-10T07:17:00Z,56.00,45.00
2026-02-10T08:38:00Z,56.00,45.00
2026-02-10T08:50:00Z,56.00,45.00
2026-02-10T09:07:00Z,56.00,45.00
2026-02-10T09:51:00Z,55.00,45.00
2026-02-10T10:41:00Z,57.88,45.00
2026-02-10T11:42:00Z,57.88,45.00
2026-02-10T11:44:00Z,56.00,45.00
2026-02-10T11:54:00Z,56.00,45.00
2026-02-10T11:55:00Z,56.00,45.00
2026-02-10T11:59:00Z,56.00,45.00
2026-02-10T12:14:00Z,56.00,45.00
2026-02-10T12:18:00Z,57.00,45.00
2026-02-10T12:41:00Z,57.00,45.00
2026-02-10T12:42:00Z,56.00,45.00
2026-02-10T12:46:00Z,56.00,45.00
2026-02-10T12:47:00Z,56.00,45.00
2026-02-10T12:50:00Z,56.00,45.00
2026-02-10T12:51:00Z,56.00,45.00
2026-02-10T12:54:00Z,56.00,45.00
2026-02-10T12:57:00Z,56.00,45.00
2026-02-10T12:59:00Z,56.00,45.00
2026-02-10T13:05:00Z,56.00,45.00
2026-02-10T13:09:00Z,56.00,45.00
2026-02-10T13:14:00Z,57.00,45.00
2026-02-10T13:18:00Z,57.00,45.00
2026-02-10T13:19:00Z,56.63,45.00
2026-02-10T13:25:00Z,56.00,45.00
2026-02-10T13:27:00Z,56.00,45.00
2026-02-10T13:28:00Z,56.00,45.00
2026-02-10T13:32:00Z,56.00,45.00
2026-02-10T13:33:00Z,56.39,45.00
2026-02-10T13:34:00Z,56.39,44.00
2026-02-10T13:35:00Z,56.30,43.00
2026-02-10T13:36:00Z,53.18,46.00
2026-02-10T13:37:00Z,56.00,47.00
2026-02-10T13:38:00Z,57.00,47.00
2026-02-10T13:40:00Z,57.00,42.00
2026-02-10T13:41:00Z,62.00,39.79
2026-02-10T13:42:00Z,62.00,40.25
2026-02-10T13:43:00Z,56.48,44.68
2026-02-10T13:44:00Z,57.46,45.00
2026-02-10T13:45:00Z,59.38,42.56
2026-02-10T13:46:00Z,61.76,42.56
2026-02-10T13:47:00Z,62.00,42.56
2026-02-10T13:48:00Z,63.81,36.34
2026-02-10T13:49:00Z,60.69,38.29
2026-02-10T13:50:00Z,58.33,44.93
2026-02-10T13:51:00Z,51.00,50.40
2026-02-10T13:52:00Z,43.00,56.65
2026-02-10T13:53:00Z,39.36,60.02
2026-02-10T13:54:00Z,44.00,60.02
2026-02-10T13:55:00Z,45.89,60.30
2026-02-10T13:56:00Z,41.95,64.11
2026-02-10T13:57:00Z,35.33,66.29
2026-02-10T13:58:00Z,32.05,68.00
2026-02-10T13:59:00Z,33.50,68.65
2026-02-10T14:00:00Z,38.00,68.65
2026-02-10T14:01:00Z,35.99,64.79
2026-02-10T14:02:00Z,35.99,65.00
2026-02-10T14:03:00Z,38.92,64.01
2026-02-10T14:04:00Z,33.20,68.00
2026-02-10T14:05:00Z,32.40,68.05
2026-02-10T14:06:00Z,32.40,69.00
2026-02-10T14:07:00Z,34.08,67.00
2026-02-10T14:08:00Z,36.00,66.08
2026-02-10T14:09:00Z,36.00,66.00
2026-02-10T14:10:00Z,41.00,61.52
2026-02-10T14:11:00Z,42.65,53.00
2026-02-10T14:12:00Z,53.94,42.00
2026-02-10T14:13:00Z,60.91,39.45
2026-02-10T14:14:00Z,61.50,34.87
2026-02-10T14:15:00Z,65.01,36.23
2026-02-10T14:16:00Z,68.00,36.23
2026-02-10T14:17:00Z,74.46,25.59
2026-02-10T14:18:00Z,71.73,30.90
2026-02-10T14:19:00Z,74.05,24.23
2026-02-10T14:20:00Z,70.49,19.52
2026-02-10T14:21:00Z,75.94,27.20
2026-02-10T14:22:00Z,82.05,17.00
2026-02-10T14:23:00Z,83.00,17.26
2026-02-10T14:24:00Z,81.92,16.95
2026-02-10T14:25:00Z,83.82,16.58
2026-02-10T14:26:00Z,86.90,14.28
2026-02-10T14:27:00Z,87.38,12.63
2026-02-10T14:28:00Z,85.66,15.99
2026-02-10T14:29:00Z,86.60,15.49
2026-02-10T14:30:00Z,87.48,13.58
2026-02-10T14:31:00Z,89.77,10.03
2026-02-10T14:32:00Z,94.67,6.00
2026-02-10T14:33:00Z,95.70,5.05
2026-02-10T14:34:00Z,96.51,5.05
2026-02-10T14:35:00Z,96.53,4.67
2026-02-10T14:36:00Z,94.26,7.00
2026-02-10T14:37:00Z,97.00,5.81
2026-02-10T14:38:00Z,91.00,10.00
2026-02-10T14:39:00Z,94.77,6.58
2026-02-10T14:40:00Z,97.13,4.66
2026-02-10T14:41:00Z,96.62,4.03
2026-02-10T14:42:00Z,96.20,3.05
2026-02-10T14:43:00Z,96.83,4.11
2026-02-10T14:44:00Z,96.05,4.37
2026-02-10T14:45:00Z,95.13,5.39
2026-02-10T14:46:00Z,96.05,5.38
2026-02-10T14:47:00Z,95.00,6.38
2026-02-10T14:48:00Z,96.21,4.60
2026-02-10T14:49:00Z,97.98,3.12
2026-02-10T14:50:00Z,98.00,4.00
2026-02-10T14:51:00Z,98.78,2.97
2026-02-10T14:52:00Z,96.98,4.47
2026-02-10T14:53:00Z,96.00,5.00
2026-02-10T14:54:00Z,95.38,4.52
2026-02-10T14:55:00Z,96.63,4.07
2026-02-10T14:56:00Z,95.10,7.59
2026-02-10T14:57:00Z,98.36,4.00
2026-02-10T14:58:00Z,97.94,3.13
2026-02-10T14:59:00Z,98.84,3.72
2026-02-10T15:00:00Z,98.00,4.00
2026-02-10T15:01:00Z,98.59,1.34
2026-02-10T15:02:00Z,97.72,3.00
2026-02-10T15:03:00Z,97.02,3.68
2026-02-10T15:04:00Z,99.00,1.91
2026-02-10T15:05:00Z,99.00,1.72
2026-02-10T15:06:00Z,99.00,1.72
2026-02-10T15:07:00Z,99.00,1.00
2026-02-10T15:11:00Z,99.00,1.00
