# event_ticker=KXATPMATCH-26MAR18CAZBAR
# final_score=7-5 6-4
# score_resolution=5-7 4-6
# match_winner=Arthur Cazaux
# fav_player=Marcelo Tomas Barrios Vera
# dog_player=Arthur Cazaux
# kalshi_date=2026-03-18
timestamp,Marcelo Tomas Barrios Vera,Arthur Cazaux
2026-03-20T11:53:00Z,,64.00
2026-03-20T11:58:00Z,,64.00
2026-03-20T12:30:00Z,,64.00
2026-03-20T12:59:00Z,,64.00
2026-03-20T13:12:00Z,38.00,64.00
2026-03-20T13:21:00Z,38.00,64.00
2026-03-20T13:36:00Z,38.00,64.00
2026-03-20T13:53:00Z,38.00,63.00
2026-03-20T14:13:00Z,38.00,62.00
2026-03-20T14:27:00Z,38.00,62.00
2026-03-20T14:30:00Z,38.00,62.00
2026-03-20T14:43:00Z,38.58,62.00
2026-03-20T14:55:00Z,38.58,62.00
2026-03-20T15:13:00Z,38.58,62.00
2026-03-20T15:34:00Z,38.58,62.00
2026-03-20T16:17:00Z,38.58,62.00
2026-03-20T16:40:00Z,38.58,62.00
2026-03-20T16:46:00Z,38.58,62.00
2026-03-20T16:47:00Z,38.58,62.00
2026-03-20T16:52:00Z,38.58,62.00
2026-03-20T17:13:00Z,39.00,62.00
2026-03-20T17:22:00Z,39.00,62.00
2026-03-20T19:25:00Z,39.00,62.00
2026-03-20T19:43:00Z,39.00,62.00
2026-03-20T20:53:00Z,39.00,62.00
2026-03-20T21:12:00Z,40.00,62.00
2026-03-20T21:18:00Z,40.00,62.00
2026-03-20T21:50:00Z,40.00,62.00
2026-03-20T22:23:00Z,40.00,62.00
2026-03-20T22:26:00Z,40.00,62.00
2026-03-20T22:37:00Z,40.00,62.00
2026-03-20T22:41:00Z,40.00,62.00
2026-03-20T22:57:00Z,40.00,62.00
2026-03-20T22:58:00Z,40.00,62.00
2026-03-20T23:01:00Z,40.00,62.00
2026-03-20T23:11:00Z,40.00,61.00
2026-03-20T23:15:00Z,40.00,61.00
2026-03-20T23:17:00Z,39.00,61.00
2026-03-20T23:18:00Z,40.00,61.00
2026-03-20T23:19:00Z,40.00,61.00
2026-03-20T23:21:00Z,40.00,61.77
2026-03-20T23:22:00Z,40.00,60.00
2026-03-20T23:24:00Z,40.00,62.00
2026-03-20T23:25:00Z,40.00,62.00
2026-03-20T23:26:00Z,40.00,62.00
2026-03-20T23:27:00Z,40.00,61.00
2026-03-20T23:28:00Z,41.00,61.00
2026-03-20T23:29:00Z,41.09,61.00
2026-03-20T23:30:00Z,41.41,61.00
2026-03-20T23:31:00Z,44.11,57.83
2026-03-20T23:32:00Z,42.00,60.72
2026-03-20T23:33:00Z,37.57,60.72
2026-03-20T23:34:00Z,38.50,60.93
2026-03-20T23:35:00Z,41.99,59.00
2026-03-20T23:36:00Z,42.00,58.00
2026-03-20T23:37:00Z,40.69,61.02
2026-03-20T23:38:00Z,39.00,60.49
2026-03-20T23:39:00Z,42.55,57.65
2026-03-20T23:40:00Z,44.03,55.03
2026-03-20T23:41:00Z,44.42,57.97
2026-03-20T23:42:00Z,49.93,54.10
2026-03-20T23:43:00Z,54.79,48.97
2026-03-20T23:44:00Z,60.00,41.00
2026-03-20T23:45:00Z,59.95,41.00
2026-03-20T23:46:00Z,62.00,41.27
2026-03-20T23:47:00Z,50.73,48.45
2026-03-20T23:48:00Z,50.73,50.92
2026-03-20T23:49:00Z,58.16,43.26
2026-03-20T23:50:00Z,50.93,47.66
2026-03-20T23:51:00Z,41.03,55.62
2026-03-20T23:52:00Z,45.34,56.17
2026-03-20T23:53:00Z,49.49,53.81
2026-03-20T23:54:00Z,43.67,57.43
2026-03-20T23:55:00Z,44.34,57.06
2026-03-20T23:56:00Z,38.16,60.12
2026-03-20T23:57:00Z,39.00,61.70
2026-03-20T23:58:00Z,39.68,60.03
2026-03-20T23:59:00Z,41.35,59.73
2026-03-21T00:00:00Z,45.14,56.08
