# event_ticker=KXATPMATCH-26FEB22ATMDIM
# final_score=6-3 6-3
# score_resolution=3-6 3-6
# match_winner=Terence Atmane
# fav_player=Grigor Dimitrov
# dog_player=Terence Atmane
# kalshi_date=2026-02-22
timestamp,Grigor Dimitrov,Terence Atmane
2026-02-24T13:11:00Z,,30.00
2026-02-24T13:24:00Z,71.00,30.00
2026-02-24T13:28:00Z,71.00,30.00
2026-02-24T14:08:00Z,71.00,30.00
2026-02-24T14:12:00Z,71.00,30.00
2026-02-24T14:48:00Z,70.00,30.00
2026-02-24T14:50:00Z,71.00,30.00
2026-02-24T15:05:00Z,71.00,30.00
2026-02-24T15:29:00Z,71.00,30.00
2026-02-24T15:47:00Z,71.00,30.00
2026-02-24T15:54:00Z,71.00,30.00
2026-02-24T16:00:00Z,71.00,30.00
2026-02-24T16:04:00Z,70.01,30.00
2026-02-24T16:11:00Z,71.00,30.00
2026-02-24T16:19:00Z,71.00,30.00
2026-02-24T16:51:00Z,70.00,30.00
2026-02-24T17:01:00Z,69.00,30.00
2026-02-24T17:07:00Z,69.00,31.00
2026-02-24T17:29:00Z,70.00,31.00
2026-02-24T17:34:00Z,70.00,31.00
2026-02-24T17:36:00Z,70.00,31.00
2026-02-24T17:49:00Z,70.00,31.00
2026-02-24T18:14:00Z,70.00,31.00
2026-02-24T18:34:00Z,70.00,31.00
2026-02-24T18:40:00Z,70.00,31.00
2026-02-24T18:41:00Z,70.00,31.00
2026-02-24T18:45:00Z,69.00,31.00
2026-02-24T18:46:00Z,69.00,31.00
2026-02-24T18:47:00Z,70.00,31.00
2026-02-24T19:02:00Z,70.00,31.00
2026-02-24T19:08:00Z,70.00,31.00
2026-02-24T19:24:00Z,70.00,31.00
2026-02-24T19:37:00Z,70.00,31.00
2026-02-24T19:41:00Z,70.00,31.00
2026-02-24T19:45:00Z,70.00,31.00
2026-02-24T19:46:00Z,70.00,31.00
2026-02-24T19:47:00Z,70.00,31.00
2026-02-24T19:57:00Z,70.00,31.00
2026-02-24T20:14:00Z,70.00,31.00
2026-02-24T20:17:00Z,70.00,31.00
2026-02-24T20:20:00Z,70.00,31.00
2026-02-24T20:22:00Z,70.00,31.00
2026-02-24T20:24:00Z,70.00,31.00
2026-02-24T20:28:00Z,70.00,31.00
2026-02-24T20:43:00Z,70.00,31.00
2026-02-24T20:45:00Z,70.00,31.00
2026-02-24T20:46:00Z,70.00,31.00
2026-02-24T20:54:00Z,70.00,31.00
2026-02-24T20:57:00Z,70.00,31.00
2026-02-24T21:02:00Z,70.00,31.00
2026-02-24T21:03:00Z,70.00,31.00
2026-02-24T21:06:00Z,70.00,31.00
2026-02-24T21:12:00Z,70.00,31.00
2026-02-24T21:13:00Z,71.00,31.00
2026-02-24T21:14:00Z,69.00,31.00
2026-02-24T21:23:00Z,70.00,31.00
2026-02-24T21:27:00Z,70.85,31.00
2026-02-24T21:29:00Z,70.85,31.00
2026-02-24T21:31:00Z,71.00,31.00
2026-02-24T21:36:00Z,71.00,31.00
2026-02-24T21:38:00Z,71.00,31.00
2026-02-24T21:40:00Z,71.00,31.00
2026-02-24T21:41:00Z,71.00,31.00
2026-02-24T21:42:00Z,71.00,30.98
2026-02-24T21:50:00Z,71.00,30.98
2026-02-24T21:55:00Z,71.00,30.98
2026-02-24T22:02:00Z,71.00,30.98
2026-02-24T22:03:00Z,71.00,30.98
2026-02-24T22:11:00Z,70.00,30.98
2026-02-24T22:14:00Z,71.00,30.98
2026-02-24T22:15:00Z,71.00,30.00
2026-02-24T22:19:00Z,71.00,30.00
