# event_ticker=KXATPMATCH-25OCT27MARRIN
# final_score=7-6(5) 7-6(4)
# score_resolution=6-7 6-7
# match_winner=Arthur Rinderknech
# fav_player=Fabian Marozsan
# dog_player=Arthur Rinderknech
# kalshi_date=2025-10-27
timestamp,Fabian Marozsan,Arthur Rinderknech
2025-10-27T01:13:00Z,,57.00
2025-10-27T01:23:00Z,,57.00
2025-10-27T01:34:00Z,,57.00
2025-10-27T02:04:00Z,,57.00
2025-10-27T02:14:00Z,,56.00
2025-10-27T02:34:00Z,,57.00
2025-10-27T02:42:00Z,,57.00
2025-10-27T02:49:00Z,,57.00
2025-10-27T02:52:00Z,,57.00
2025-10-27T02:54:00Z,,57.00
2025-10-27T03:11:00Z,42.00,57.00
2025-10-27T03:23:00Z,42.00,57.00
2025-10-27T03:44:00Z,43.00,57.00
2025-10-27T03:48:00Z,43.00,57.00
2025-10-27T03:50:00Z,43.00,57.00
2025-10-27T03:52:00Z,43.00,57.00
2025-10-27T03:55:00Z,43.00,57.00
2025-10-27T04:00:00Z,43.00,57.00
2025-10-27T04:03:00Z,43.00,57.00
2025-10-27T04:08:00Z,43.00,57.00
2025-10-27T04:11:00Z,43.00,57.00
2025-10-27T04:16:00Z,43.00,57.00
2025-10-27T04:23:00Z,43.00,57.00
2025-10-27T04:26:00Z,43.00,57.00
2025-10-27T04:38:00Z,43.00,57.00
2025-10-27T04:46:00Z,43.00,57.00
2025-10-27T04:52:00Z,43.00,57.00
2025-10-27T04:53:00Z,43.00,57.00
2025-10-27T04:57:00Z,43.00,57.00
2025-10-27T05:15:00Z,43.00,57.00
2025-10-27T05:16:00Z,43.00,57.00
2025-10-27T05:29:00Z,43.00,57.00
2025-10-27T05:30:00Z,43.00,57.00
2025-10-27T05:35:00Z,43.00,57.00
2025-10-27T05:41:00Z,43.00,57.00
2025-10-27T05:43:00Z,43.00,57.00
2025-10-27T05:44:00Z,43.00,57.00
2025-10-27T05:49:00Z,43.00,57.00
2025-10-27T05:50:00Z,43.00,57.00
2025-10-27T05:58:00Z,43.00,57.00
2025-10-27T06:20:00Z,44.00,57.00
2025-10-27T06:35:00Z,44.00,58.00
2025-10-27T06:42:00Z,44.00,58.00
2025-10-27T06:43:00Z,44.00,58.00
2025-10-27T06:54:00Z,44.00,58.00
2025-10-27T07:05:00Z,44.00,58.00
2025-10-27T07:12:00Z,44.00,57.00
2025-10-27T07:19:00Z,44.00,56.00
2025-10-27T07:21:00Z,44.00,56.00
2025-10-27T07:22:00Z,44.00,56.00
2025-10-27T07:23:00Z,44.00,56.00
2025-10-27T07:24:00Z,44.00,54.15
2025-10-27T07:25:00Z,44.00,52.41
2025-10-27T07:26:00Z,44.00,52.41
2025-10-27T07:28:00Z,44.00,52.41
2025-10-27T07:29:00Z,44.00,52.41
2025-10-27T07:30:00Z,46.57,52.41
2025-10-27T07:38:00Z,46.57,53.00
2025-10-27T07:47:00Z,46.57,53.00
2025-10-27T07:48:00Z,46.57,53.00
2025-10-27T07:59:00Z,46.57,53.00
2025-10-27T08:02:00Z,48.00,52.00
2025-10-27T08:07:00Z,48.78,51.00
2025-10-27T08:28:00Z,46.00,51.00
2025-10-27T08:33:00Z,46.00,53.00
2025-10-27T09:00:00Z,46.00,54.41
2025-10-27T09:03:00Z,46.00,54.00
2025-10-27T09:16:00Z,46.00,54.00
2025-10-27T09:21:00Z,46.00,54.19
2025-10-27T09:48:00Z,46.00,54.81
2025-10-27T09:52:00Z,46.00,55.00
