# event_ticker=KXATPCHALLENGERMATCH-26APR15SUNSAT
# final_score=6-2 6-1
# score_resolution=2-6 1-6
# match_winner=Fajing Sun
# fav_player=Tai Leonard Sach
# dog_player=Fajing Sun
# kalshi_date=2026-04-15
timestamp,Tai Leonard Sach,Fajing Sun
2026-04-14T19:41:00Z,,81.00
2026-04-14T22:08:00Z,,80.00
2026-04-14T22:19:00Z,,80.00
2026-04-14T22:58:00Z,,80.00
2026-04-14T23:27:00Z,,80.00
2026-04-14T23:55:00Z,,81.50
2026-04-15T00:00:00Z,,82.00
2026-04-15T00:05:00Z,20.00,82.00
2026-04-15T00:31:00Z,20.00,82.00
2026-04-15T00:32:00Z,20.00,82.00
2026-04-15T00:33:00Z,20.00,82.00
2026-04-15T00:34:00Z,20.00,82.00
2026-04-15T00:35:00Z,20.00,82.00
2026-04-15T01:01:00Z,20.00,82.00
2026-04-15T01:02:00Z,20.00,82.00
2026-04-15T01:15:00Z,20.00,81.00
2026-04-15T02:04:00Z,20.04,80.10
2026-04-15T02:12:00Z,21.01,80.10
2026-04-15T02:14:00Z,21.01,79.00
2026-04-15T02:34:00Z,22.00,79.00
2026-04-15T02:52:00Z,22.00,79.00
2026-04-15T02:54:00Z,22.00,79.00
2026-04-15T03:02:00Z,22.00,79.00
2026-04-15T03:03:00Z,22.00,78.00
2026-04-15T03:14:00Z,22.00,78.00
2026-04-15T03:19:00Z,22.00,78.00
2026-04-15T03:20:00Z,23.00,78.00
2026-04-15T03:21:00Z,23.00,79.00
2026-04-15T03:41:00Z,23.00,79.00
2026-04-15T04:14:00Z,23.00,79.00
2026-04-15T04:17:00Z,24.00,78.00
2026-04-15T04:29:00Z,24.00,78.00
2026-04-15T04:36:00Z,25.00,78.00
2026-04-15T04:37:00Z,25.00,78.00
2026-04-15T04:51:00Z,25.00,78.00
2026-04-15T04:54:00Z,25.00,78.00
2026-04-15T04:55:00Z,25.00,78.00
2026-04-15T04:56:00Z,25.00,78.00
2026-04-15T05:00:00Z,25.00,78.00
2026-04-15T05:01:00Z,25.00,78.00
2026-04-15T05:04:00Z,25.00,78.00
2026-04-15T05:05:00Z,25.00,78.00
2026-04-15T05:07:00Z,25.00,78.00
2026-04-15T05:12:00Z,24.93,78.00
2026-04-15T05:14:00Z,24.93,78.00
2026-04-15T05:19:00Z,25.00,78.00
2026-04-15T05:27:00Z,25.00,78.00
2026-04-15T05:36:00Z,25.00,78.00
2026-04-15T05:40:00Z,25.00,78.00
2026-04-15T05:43:00Z,25.00,77.00
2026-04-15T05:44:00Z,25.00,78.00
2026-04-15T05:46:00Z,25.00,77.00
2026-04-15T05:47:00Z,25.00,77.00
2026-04-15T05:50:00Z,25.00,77.00
2026-04-15T05:53:00Z,25.00,78.00
2026-04-15T05:55:00Z,25.00,78.00
2026-04-15T05:57:00Z,25.00,78.00
2026-04-15T05:58:00Z,24.00,78.00
2026-04-15T05:59:00Z,24.00,78.00
2026-04-15T06:02:00Z,24.65,78.00
2026-04-15T06:03:00Z,24.00,78.00
2026-04-15T06:05:00Z,24.00,78.00
