# event_ticker=KXATPMATCH-26FEB27PELDAR
# final_score=6-3 3-6 6-2
# score_resolution=3-6 6-3 2-6
# match_winner=Luciano Darderi
# fav_player=Andrea Pellegrino
# dog_player=Luciano Darderi
# kalshi_date=2026-02-27
timestamp,Andrea Pellegrino,Luciano Darderi
2026-02-27T09:52:00Z,15.00,
2026-02-27T10:04:00Z,15.00,
2026-02-27T10:18:00Z,15.00,
2026-02-27T10:35:00Z,15.00,
2026-02-27T10:41:00Z,15.00,86.00
2026-02-27T10:48:00Z,15.00,86.00
2026-02-27T10:58:00Z,13.00,86.00
2026-02-27T11:04:00Z,15.00,86.00
2026-02-27T11:17:00Z,15.00,87.00
2026-02-27T11:18:00Z,15.00,87.00
2026-02-27T11:22:00Z,15.00,87.00
2026-02-27T11:34:00Z,15.00,87.00
2026-02-27T11:37:00Z,15.00,87.00
2026-02-27T11:40:00Z,15.00,87.00
2026-02-27T12:15:00Z,15.00,87.00
2026-02-27T12:29:00Z,15.00,86.00
2026-02-27T12:34:00Z,15.00,86.00
2026-02-27T13:05:00Z,15.00,86.00
2026-02-27T13:07:00Z,15.00,86.00
2026-02-27T13:32:00Z,15.00,87.00
2026-02-27T13:40:00Z,15.00,87.00
2026-02-27T13:49:00Z,15.00,87.00
2026-02-27T13:57:00Z,14.00,87.00
2026-02-27T14:01:00Z,14.00,86.36
2026-02-27T14:09:00Z,14.00,86.36
2026-02-27T14:10:00Z,14.00,86.36
2026-02-27T14:16:00Z,14.00,86.36
2026-02-27T14:18:00Z,14.00,87.00
2026-02-27T14:26:00Z,14.00,87.00
2026-02-27T14:27:00Z,14.00,87.00
2026-02-27T14:37:00Z,14.00,87.00
2026-02-27T14:40:00Z,14.00,87.00
2026-02-27T14:45:00Z,14.00,87.00
2026-02-27T14:46:00Z,14.00,87.00
2026-02-27T14:47:00Z,15.00,87.00
2026-02-27T14:48:00Z,15.00,87.00
2026-02-27T14:59:00Z,14.00,87.00
2026-02-27T15:06:00Z,14.00,87.00
2026-02-27T15:08:00Z,14.00,87.00
2026-02-27T15:10:00Z,14.00,87.00
2026-02-27T15:14:00Z,14.00,87.00
2026-02-27T15:17:00Z,14.00,87.00
2026-02-27T15:21:00Z,14.00,87.00
2026-02-27T15:28:00Z,14.00,87.00
2026-02-27T15:35:00Z,14.00,87.00
2026-02-27T15:37:00Z,14.00,87.00
2026-02-27T15:39:00Z,14.00,87.00
2026-02-27T15:45:00Z,14.00,87.00
