# event_ticker=KXATPMATCH-25JUL24CAZSTR
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Arthur Cazaux
# fav_player=Jan-Lennard Struff
# dog_player=Arthur Cazaux
# kalshi_date=2025-07-24
timestamp,Jan-Lennard Struff,Arthur Cazaux
2025-07-24T00:49:00Z,,48.00
2025-07-24T01:23:00Z,64.00,48.00
2025-07-24T01:42:00Z,64.00,47.00
2025-07-24T01:47:00Z,64.00,47.00
2025-07-24T02:19:00Z,63.00,47.00
2025-07-24T02:34:00Z,62.00,47.00
2025-07-24T02:40:00Z,62.00,47.00
2025-07-24T02:41:00Z,62.00,47.00
2025-07-24T02:46:00Z,62.00,46.00
2025-07-24T02:52:00Z,62.00,46.00
2025-07-24T02:57:00Z,62.00,46.00
2025-07-24T02:58:00Z,62.00,46.00
2025-07-24T03:09:00Z,62.00,46.00
2025-07-24T03:34:00Z,62.00,43.00
2025-07-24T03:38:00Z,62.00,43.00
2025-07-24T03:39:00Z,62.00,43.00
2025-07-24T03:42:00Z,62.00,43.00
2025-07-24T03:43:00Z,62.00,43.10
2025-07-24T03:47:00Z,60.00,45.00
2025-07-24T03:50:00Z,60.00,46.00
2025-07-24T03:54:00Z,61.00,46.00
2025-07-24T03:56:00Z,61.00,46.00
2025-07-24T03:57:00Z,61.00,46.00
2025-07-24T03:59:00Z,61.00,46.00
2025-07-24T04:01:00Z,61.00,46.00
2025-07-24T04:03:00Z,61.00,46.00
2025-07-24T04:05:00Z,61.00,46.00
2025-07-24T04:13:00Z,61.00,46.00
2025-07-24T04:14:00Z,62.32,46.00
2025-07-24T04:15:00Z,62.32,47.02
2025-07-24T04:16:00Z,62.32,47.32
2025-07-24T04:17:00Z,59.00,47.32
2025-07-24T04:18:00Z,59.00,62.89
2025-07-24T04:19:00Z,55.00,62.89
2025-07-24T04:20:00Z,57.00,62.89
2025-07-24T04:21:00Z,57.14,62.89
2025-07-24T04:23:00Z,57.14,67.00
2025-07-24T04:29:00Z,58.00,67.00
2025-07-24T04:35:00Z,58.00,51.36
2025-07-24T04:36:00Z,57.00,51.36
2025-07-24T04:38:00Z,57.00,51.36
2025-07-24T04:43:00Z,57.00,46.00
2025-07-24T04:44:00Z,57.00,46.00
2025-07-24T04:46:00Z,57.00,48.00
2025-07-24T04:52:00Z,57.03,48.00
2025-07-24T04:53:00Z,57.03,48.00
2025-07-24T04:56:00Z,57.03,48.08
2025-07-24T05:00:00Z,57.00,48.00
2025-07-24T05:01:00Z,57.00,48.52
2025-07-24T05:02:00Z,56.00,48.47
2025-07-24T05:11:00Z,56.00,43.00
2025-07-24T05:13:00Z,56.00,43.00
2025-07-24T05:19:00Z,57.00,43.00
2025-07-24T05:24:00Z,57.00,43.59
2025-07-24T05:26:00Z,57.00,44.00
2025-07-24T05:29:00Z,57.00,44.00
