# event_ticker=KXATPCHALLENGERMATCH-26FEB11SAKSIN
# final_score=7-5 6-3
# match_winner=Rei Sakamoto
# fav_player=Rei Sakamoto
# dog_player=Colin Sinclair
# kalshi_date=2026-02-11
timestamp,Rei Sakamoto,Colin Sinclair
2026-02-11T14:18:00Z,93.00,
2026-02-11T14:31:00Z,93.00,7.00
2026-02-11T15:23:00Z,93.00,7.00
2026-02-11T15:48:00Z,95.00,6.00
2026-02-11T15:52:00Z,95.00,6.99
2026-02-11T16:19:00Z,95.00,7.00
2026-02-11T16:28:00Z,95.00,7.00
2026-02-11T16:33:00Z,95.00,7.00
2026-02-11T16:39:00Z,95.00,7.00
2026-02-11T16:40:00Z,95.00,7.00
2026-02-11T16:44:00Z,93.00,7.00
2026-02-11T16:47:00Z,93.00,6.00
2026-02-11T16:48:00Z,93.00,6.00
2026-02-11T16:55:00Z,93.00,6.97
2026-02-11T16:56:00Z,93.00,7.00
2026-02-11T16:57:00Z,93.00,7.00
2026-02-11T17:05:00Z,93.00,5.00
2026-02-11T17:07:00Z,93.00,7.00
2026-02-11T17:20:00Z,93.00,6.00
2026-02-11T17:30:00Z,93.00,6.73
2026-02-11T17:31:00Z,93.00,6.73
2026-02-11T17:37:00Z,93.00,6.00
2026-02-11T17:45:00Z,93.00,6.00
2026-02-11T18:03:00Z,93.00,7.00
2026-02-11T18:04:00Z,93.00,7.00
2026-02-11T18:17:00Z,93.00,7.00
2026-02-11T18:19:00Z,93.00,7.00
2026-02-11T18:20:00Z,93.00,7.00
2026-02-11T18:23:00Z,95.00,7.00
2026-02-11T18:28:00Z,95.00,8.00
2026-02-11T18:32:00Z,95.00,7.00
2026-02-11T18:40:00Z,95.00,5.00
2026-02-11T18:47:00Z,95.00,7.00
2026-02-11T18:48:00Z,95.00,7.00
2026-02-11T18:51:00Z,95.00,7.00
2026-02-11T19:08:00Z,95.00,7.16
2026-02-11T19:11:00Z,95.00,7.00
2026-02-11T19:19:00Z,95.00,7.00
2026-02-11T19:28:00Z,95.00,7.00
2026-02-11T19:34:00Z,95.00,7.00
2026-02-11T19:46:00Z,95.00,7.00
2026-02-11T20:13:00Z,95.00,6.00
2026-02-11T20:14:00Z,95.00,6.06
2026-02-11T20:24:00Z,95.00,7.00
2026-02-11T20:35:00Z,95.00,7.00
2026-02-11T20:47:00Z,95.00,7.00
2026-02-11T20:48:00Z,95.00,7.00
2026-02-11T20:57:00Z,95.00,7.00
2026-02-11T20:58:00Z,95.00,7.65
