# event_ticker=KXATPCHALLENGERMATCH-26MAY07CLABAS
# final_score=6-4 6-2
# match_winner=Jay Clarke
# fav_player=Jay Clarke
# dog_player=Nishesh Basavareddy
# kalshi_date=2026-05-07
timestamp,Jay Clarke,Nishesh Basavareddy
2026-05-07T04:48:00Z,,72.00
2026-05-07T05:12:00Z,28.00,72.00
2026-05-07T05:59:00Z,28.00,72.00
2026-05-07T06:22:00Z,28.00,72.00
2026-05-07T06:27:00Z,28.00,72.00
2026-05-07T06:37:00Z,28.00,72.00
2026-05-07T06:39:00Z,28.00,72.00
2026-05-07T06:43:00Z,28.00,72.00
2026-05-07T06:45:00Z,28.00,72.00
2026-05-07T06:59:00Z,28.00,72.00
2026-05-07T09:01:00Z,29.00,72.00
2026-05-07T09:23:00Z,29.00,70.00
2026-05-07T09:45:00Z,29.00,69.00
2026-05-07T09:53:00Z,29.00,69.00
2026-05-07T10:01:00Z,29.00,69.00
2026-05-07T10:21:00Z,32.00,69.00
2026-05-07T10:22:00Z,32.00,69.00
2026-05-07T10:30:00Z,32.00,69.00
2026-05-07T10:31:00Z,32.00,69.00
2026-05-07T10:34:00Z,32.00,69.00
2026-05-07T10:49:00Z,32.00,69.00
2026-05-07T10:50:00Z,32.00,69.00
2026-05-07T10:52:00Z,32.00,69.00
2026-05-07T11:00:00Z,32.00,69.00
2026-05-07T11:02:00Z,32.00,69.00
2026-05-07T11:14:00Z,32.00,69.00
2026-05-07T11:15:00Z,32.00,69.00
2026-05-07T11:16:00Z,32.00,69.00
2026-05-07T11:17:00Z,32.00,69.00
2026-05-07T11:18:00Z,32.00,69.00
2026-05-07T11:21:00Z,32.00,69.00
2026-05-07T11:23:00Z,32.00,69.00
2026-05-07T11:24:00Z,32.00,69.00
2026-05-07T11:28:00Z,32.00,69.00
2026-05-07T11:30:00Z,32.00,69.00
2026-05-07T11:34:00Z,32.00,69.00
2026-05-07T11:42:00Z,32.00,69.00
2026-05-07T11:45:00Z,32.00,69.00
2026-05-07T11:55:00Z,32.00,69.00
2026-05-07T11:59:00Z,32.00,69.00
2026-05-07T12:02:00Z,32.00,69.00
2026-05-07T12:03:00Z,32.00,69.00
2026-05-07T12:04:00Z,32.52,69.00
2026-05-07T12:08:00Z,32.52,69.00
2026-05-07T12:12:00Z,32.52,69.00
2026-05-07T12:18:00Z,32.52,69.00
2026-05-07T12:32:00Z,32.52,69.00
2026-05-07T12:35:00Z,32.52,69.00
2026-05-07T12:37:00Z,32.52,68.94
2026-05-07T12:38:00Z,32.00,68.94
2026-05-07T12:47:00Z,31.00,69.00
2026-05-07T12:50:00Z,31.00,69.00
2026-05-07T12:51:00Z,33.00,69.00
2026-05-07T12:53:00Z,33.00,69.00
2026-05-07T12:57:00Z,33.00,69.00
2026-05-07T13:01:00Z,33.00,69.00
2026-05-07T13:06:00Z,32.24,69.00
2026-05-07T13:12:00Z,32.24,69.00
2026-05-07T13:15:00Z,32.24,69.00
2026-05-07T13:17:00Z,32.00,69.00
2026-05-07T13:19:00Z,32.00,69.00
2026-05-07T13:20:00Z,32.00,69.58
2026-05-07T13:22:00Z,32.00,69.00
2026-05-07T13:23:00Z,32.00,69.00
2026-05-07T13:27:00Z,32.00,69.19
2026-05-07T13:28:00Z,32.00,69.19
2026-05-07T13:33:00Z,32.00,69.00
2026-05-07T13:37:00Z,32.00,69.07
2026-05-07T13:39:00Z,32.00,69.00
2026-05-07T13:43:00Z,32.00,69.00
2026-05-07T13:54:00Z,32.00,69.00
2026-05-07T13:56:00Z,32.00,69.41
2026-05-07T14:01:00Z,32.00,69.00
2026-05-07T14:03:00Z,31.00,69.00
2026-05-07T14:06:00Z,31.00,69.00
2026-05-07T14:07:00Z,31.00,69.98
2026-05-07T14:10:00Z,31.00,69.00
2026-05-07T14:11:00Z,31.00,70.00
2026-05-07T14:12:00Z,32.45,70.00
2026-05-07T14:13:00Z,32.45,69.00
2026-05-07T14:14:00Z,33.53,68.80
2026-05-07T14:15:00Z,33.53,70.84
2026-05-07T14:16:00Z,31.92,69.78
2026-05-07T14:17:00Z,36.69,59.72
2026-05-07T14:18:00Z,44.66,56.03
2026-05-07T14:19:00Z,45.59,54.06
2026-05-07T14:20:00Z,43.37,58.28
2026-05-07T14:21:00Z,42.63,63.58
2026-05-07T14:22:00Z,36.34,63.31
2026-05-07T14:23:00Z,40.24,60.25
2026-05-07T14:24:00Z,39.00,63.00
2026-05-07T14:25:00Z,32.87,67.17
2026-05-07T14:26:00Z,34.15,65.19
2026-05-07T14:27:00Z,39.85,58.56
2026-05-07T14:28:00Z,45.99,56.00
2026-05-07T14:29:00Z,46.04,54.73
2026-05-07T14:30:00Z,46.12,54.19
2026-05-07T14:31:00Z,49.89,51.10
2026-05-07T14:32:00Z,50.33,49.38
2026-05-07T14:33:00Z,52.89,46.94
2026-05-07T14:34:00Z,54.66,46.69
2026-05-07T14:35:00Z,53.00,48.88
2026-05-07T14:36:00Z,52.05,49.01
2026-05-07T14:37:00Z,51.00,50.00
2026-05-07T14:38:00Z,49.48,52.46
2026-05-07T14:39:00Z,40.62,59.92
2026-05-07T14:40:00Z,37.99,62.12
2026-05-07T14:41:00Z,34.66,65.77
