# event_ticker=KXATPCHALLENGERMATCH-26FEB16SACDRO
# final_score=6-0 4-6 6-3
# match_winner=Titouan Droguet
# fav_player=Titouan Droguet
# dog_player=Vitaliy Sachko
# kalshi_date=2026-02-16
timestamp,Titouan Droguet,Vitaliy Sachko
2026-02-16T05:19:00Z,,28.00
2026-02-16T05:32:00Z,,28.00
2026-02-16T06:11:00Z,,25.00
2026-02-16T10:34:00Z,,28.00
2026-02-16T11:11:00Z,75.00,28.00
2026-02-16T12:10:00Z,75.00,28.00
2026-02-16T13:00:00Z,75.00,28.00
2026-02-16T13:04:00Z,75.00,28.00
2026-02-16T13:10:00Z,75.00,28.00
2026-02-16T13:13:00Z,75.00,28.00
2026-02-16T13:31:00Z,75.00,28.00
2026-02-16T13:38:00Z,75.00,28.00
2026-02-16T13:40:00Z,75.00,28.00
2026-02-16T13:49:00Z,75.00,28.00
2026-02-16T13:53:00Z,75.00,28.00
2026-02-16T13:59:00Z,75.00,28.00
2026-02-16T14:21:00Z,75.00,28.00
2026-02-16T14:23:00Z,75.00,28.00
2026-02-16T14:32:00Z,76.00,27.00
2026-02-16T14:41:00Z,76.00,27.00
2026-02-16T14:48:00Z,76.00,27.00
2026-02-16T14:51:00Z,76.00,27.00
2026-02-16T14:57:00Z,76.00,27.00
2026-02-16T15:09:00Z,76.00,27.00
2026-02-16T15:11:00Z,76.00,27.00
2026-02-16T15:14:00Z,74.00,27.00
2026-02-16T15:18:00Z,76.00,27.00
2026-02-16T15:19:00Z,76.00,27.00
2026-02-16T15:22:00Z,76.00,27.00
2026-02-16T15:27:00Z,76.00,27.00
2026-02-16T15:33:00Z,76.00,26.11
2026-02-16T15:36:00Z,76.00,26.11
2026-02-16T15:46:00Z,76.00,26.11
2026-02-16T15:49:00Z,76.00,26.11
2026-02-16T15:50:00Z,76.00,26.11
2026-02-16T15:55:00Z,76.00,26.11
2026-02-16T16:00:00Z,76.00,26.11
2026-02-16T16:01:00Z,76.00,26.11
2026-02-16T16:09:00Z,76.00,26.11
2026-02-16T16:11:00Z,76.00,26.11
2026-02-16T16:17:00Z,76.00,25.40
2026-02-16T16:18:00Z,77.08,24.00
2026-02-16T16:22:00Z,78.00,24.00
2026-02-16T16:24:00Z,78.00,25.00
2026-02-16T16:26:00Z,78.00,25.00
2026-02-16T16:27:00Z,78.00,25.00
2026-02-16T16:30:00Z,77.00,25.00
2026-02-16T16:31:00Z,77.50,25.00
2026-02-16T16:32:00Z,77.00,25.00
2026-02-16T16:35:00Z,77.00,24.00
2026-02-16T16:39:00Z,77.00,24.00
2026-02-16T16:41:00Z,78.00,24.00
2026-02-16T16:44:00Z,78.00,24.00
2026-02-16T16:47:00Z,78.00,24.00
2026-02-16T16:48:00Z,79.26,24.00
2026-02-16T16:49:00Z,78.59,24.00
2026-02-16T16:50:00Z,79.87,23.00
2026-02-16T16:51:00Z,79.87,23.00
2026-02-16T16:52:00Z,78.74,23.00
2026-02-16T16:53:00Z,77.75,24.00
2026-02-16T16:54:00Z,79.39,22.00
2026-02-16T16:55:00Z,79.97,22.12
2026-02-16T16:56:00Z,79.00,22.76
2026-02-16T16:57:00Z,79.30,21.57
2026-02-16T16:58:00Z,81.28,19.48
2026-02-16T16:59:00Z,84.46,18.00
2026-02-16T17:00:00Z,83.00,18.25
2026-02-16T17:01:00Z,83.02,18.24
