# event_ticker=KXATPCHALLENGERMATCH-26APR06CUIHOL
# final_score=7-6(3) 7-6(3)
# score_resolution=7-6 7-6
# match_winner=August Holmgren
# fav_player=August Holmgren
# dog_player=Jie Cui
# kalshi_date=2026-04-06
timestamp,August Holmgren,Jie Cui
2026-04-06T17:08:00Z,59.00,
2026-04-06T18:28:00Z,59.54,
2026-04-06T19:16:00Z,59.00,
2026-04-06T19:51:00Z,59.00,
2026-04-06T20:01:00Z,58.00,
2026-04-06T20:17:00Z,58.00,
2026-04-06T21:17:00Z,58.00,
2026-04-06T21:31:00Z,58.00,
2026-04-06T21:43:00Z,58.00,42.00
2026-04-06T21:57:00Z,58.00,42.00
2026-04-06T23:08:00Z,58.00,42.00
2026-04-06T23:40:00Z,58.00,42.00
2026-04-07T00:01:00Z,58.00,42.00
2026-04-07T00:12:00Z,58.00,43.00
2026-04-07T00:18:00Z,58.00,43.00
2026-04-07T00:19:00Z,58.00,43.00
2026-04-07T00:29:00Z,58.00,43.00
2026-04-07T00:37:00Z,58.00,43.28
2026-04-07T00:42:00Z,58.00,43.28
2026-04-07T00:44:00Z,58.00,43.28
2026-04-07T00:45:00Z,58.00,43.28
2026-04-07T00:46:00Z,57.89,43.28
2026-04-07T00:57:00Z,58.00,43.28
2026-04-07T01:02:00Z,58.00,43.28
2026-04-07T01:10:00Z,58.00,43.28
2026-04-07T01:12:00Z,58.00,43.28
2026-04-07T01:17:00Z,58.00,43.00
2026-04-07T01:28:00Z,58.00,43.96
2026-04-07T01:30:00Z,58.00,43.96
2026-04-07T01:37:00Z,58.00,43.96
2026-04-07T01:39:00Z,58.00,44.00
2026-04-07T01:44:00Z,57.60,44.00
2026-04-07T01:45:00Z,58.00,44.00
2026-04-07T01:51:00Z,58.00,44.00
2026-04-07T01:53:00Z,59.38,44.00
2026-04-07T01:55:00Z,59.10,44.00
2026-04-07T01:58:00Z,59.00,44.00
2026-04-07T01:59:00Z,60.00,44.00
2026-04-07T02:00:00Z,60.25,44.00
2026-04-07T02:02:00Z,60.00,42.00
2026-04-07T02:03:00Z,60.00,42.00
2026-04-07T02:04:00Z,60.00,42.00
