# event_ticker=KXATPCHALLENGERMATCH-26MAR11BUEAGA
# final_score=6-3 6-3
# score_resolution=3-6 3-6
# match_winner=Gonzalo Bueno
# fav_player=Franco Agamenone
# dog_player=Gonzalo Bueno
# kalshi_date=2026-03-11
timestamp,Franco Agamenone,Gonzalo Bueno
2026-03-11T10:53:00Z,,66.00
2026-03-11T10:54:00Z,36.00,66.00
2026-03-11T10:56:00Z,36.00,66.00
2026-03-11T12:29:00Z,36.00,66.00
2026-03-11T12:36:00Z,36.00,66.00
2026-03-11T13:04:00Z,36.00,66.00
2026-03-11T13:24:00Z,36.00,66.00
2026-03-11T14:21:00Z,36.00,66.00
2026-03-11T14:52:00Z,36.00,66.00
2026-03-11T14:53:00Z,36.00,66.00
2026-03-11T15:06:00Z,36.00,66.00
2026-03-11T16:40:00Z,36.00,65.00
2026-03-11T16:50:00Z,36.00,65.00
2026-03-11T18:35:00Z,36.00,65.00
2026-03-11T19:23:00Z,36.00,65.00
2026-03-11T19:40:00Z,36.00,65.00
2026-03-11T19:51:00Z,36.00,65.00
2026-03-11T20:05:00Z,36.00,64.00
2026-03-11T20:10:00Z,36.00,64.00
2026-03-11T20:24:00Z,36.00,65.00
2026-03-11T20:25:00Z,36.00,65.00
2026-03-11T20:34:00Z,36.00,65.00
2026-03-11T20:59:00Z,36.00,65.00
2026-03-11T21:19:00Z,36.00,65.00
2026-03-11T21:27:00Z,36.00,65.00
2026-03-11T21:28:00Z,36.00,65.00
2026-03-11T21:41:00Z,36.00,66.98
2026-03-11T21:43:00Z,36.00,67.00
2026-03-11T21:50:00Z,36.00,67.00
2026-03-11T21:53:00Z,36.00,67.00
2026-03-11T22:00:00Z,36.00,67.00
2026-03-11T22:01:00Z,36.00,67.00
2026-03-11T22:02:00Z,36.00,67.00
2026-03-11T22:05:00Z,36.00,67.00
2026-03-11T22:07:00Z,36.00,67.00
2026-03-11T22:08:00Z,36.00,66.56
2026-03-11T22:09:00Z,36.00,66.00
2026-03-11T22:11:00Z,36.00,66.00
2026-03-11T22:12:00Z,36.00,66.00
2026-03-11T22:20:00Z,36.00,66.00
2026-03-11T22:23:00Z,36.00,66.00
2026-03-11T22:25:00Z,36.00,66.00
2026-03-11T22:31:00Z,36.00,66.00
2026-03-11T22:32:00Z,36.00,66.00
2026-03-11T22:33:00Z,36.00,66.00
2026-03-11T22:35:00Z,36.00,66.00
2026-03-11T22:36:00Z,36.00,66.00
2026-03-11T22:37:00Z,36.00,65.00
2026-03-11T22:38:00Z,35.61,65.95
2026-03-11T22:39:00Z,32.79,68.67
2026-03-11T22:40:00Z,36.03,65.07
2026-03-11T22:41:00Z,38.54,63.00
2026-03-11T22:42:00Z,38.93,61.08
2026-03-11T22:43:00Z,40.97,59.69
2026-03-11T22:44:00Z,46.13,55.39
2026-03-11T22:45:00Z,47.89,52.64
2026-03-11T22:46:00Z,50.14,52.73
2026-03-11T22:47:00Z,51.75,50.35
2026-03-11T22:48:00Z,51.99,53.47
2026-03-11T22:49:00Z,46.73,56.98
2026-03-11T22:50:00Z,42.00,60.20
2026-03-11T22:51:00Z,42.72,60.13
2026-03-11T22:52:00Z,38.32,62.00
2026-03-11T22:53:00Z,40.39,62.14
2026-03-11T22:54:00Z,37.49,62.50
2026-03-11T22:55:00Z,37.50,62.50
2026-03-11T22:56:00Z,34.57,63.00
2026-03-11T22:57:00Z,37.49,65.00
2026-03-11T22:58:00Z,34.34,65.00
2026-03-11T22:59:00Z,35.73,65.11
2026-03-11T23:00:00Z,29.30,71.92
2026-03-11T23:01:00Z,24.97,76.94
2026-03-11T23:02:00Z,24.88,77.00
2026-03-11T23:03:00Z,24.88,74.16
2026-03-11T23:04:00Z,27.25,74.20
2026-03-11T23:05:00Z,23.10,74.20
2026-03-11T23:06:00Z,20.63,78.00
2026-03-11T23:07:00Z,20.63,78.00
2026-03-11T23:08:00Z,24.85,78.00
2026-03-11T23:09:00Z,26.00,76.00
2026-03-11T23:10:00Z,20.00,76.00
2026-03-11T23:11:00Z,25.00,73.00
2026-03-11T23:12:00Z,28.69,73.39
2026-03-11T23:13:00Z,32.67,71.00
2026-03-11T23:14:00Z,27.01,75.00
2026-03-11T23:15:00Z,22.96,79.00
2026-03-11T23:16:00Z,21.00,80.00
2026-03-11T23:17:00Z,17.07,84.70
2026-03-11T23:18:00Z,16.00,86.00
2026-03-11T23:19:00Z,17.00,82.19
2026-03-11T23:20:00Z,14.53,86.90
2026-03-11T23:21:00Z,12.00,87.82
2026-03-11T23:22:00Z,13.00,87.94
2026-03-11T23:23:00Z,12.07,88.00
2026-03-11T23:24:00Z,14.64,85.87
2026-03-11T23:25:00Z,15.66,84.46
2026-03-11T23:26:00Z,15.23,84.46
2026-03-11T23:27:00Z,16.37,85.92
2026-03-11T23:28:00Z,9.99,89.17
2026-03-11T23:29:00Z,10.79,90.10
2026-03-11T23:30:00Z,7.73,93.27
2026-03-11T23:31:00Z,7.73,95.00
2026-03-11T23:32:00Z,6.73,93.04
