# event_ticker=KXATPCHALLENGERMATCH-26MAR25NIKKIN
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Johan Nikles
# fav_player=Cannon Kingsley
# dog_player=Johan Nikles
# kalshi_date=2026-03-25
timestamp,Cannon Kingsley,Johan Nikles
2026-03-25T12:04:00Z,60.00,
2026-03-25T12:50:00Z,60.00,
2026-03-25T13:37:00Z,60.00,
2026-03-25T15:13:00Z,60.00,
2026-03-25T15:19:00Z,60.00,41.00
2026-03-25T15:32:00Z,60.00,41.00
2026-03-25T15:56:00Z,60.00,41.00
2026-03-25T16:11:00Z,60.00,41.00
2026-03-25T16:47:00Z,60.00,41.00
2026-03-25T16:53:00Z,60.00,41.00
2026-03-25T16:56:00Z,60.00,41.00
2026-03-25T17:51:00Z,60.00,41.00
2026-03-25T17:55:00Z,60.00,41.00
2026-03-25T17:58:00Z,60.00,41.00
2026-03-25T18:26:00Z,61.00,40.00
2026-03-25T18:54:00Z,61.00,38.00
2026-03-25T19:03:00Z,62.00,38.00
2026-03-25T19:26:00Z,62.00,40.00
2026-03-25T19:28:00Z,62.00,40.00
2026-03-25T19:36:00Z,62.00,40.00
2026-03-25T19:40:00Z,62.00,40.00
2026-03-25T19:49:00Z,62.00,40.00
2026-03-25T19:50:00Z,62.00,40.00
2026-03-25T20:00:00Z,62.00,40.00
2026-03-25T20:02:00Z,61.00,39.00
2026-03-25T20:17:00Z,60.00,39.00
2026-03-25T20:21:00Z,60.00,39.00
2026-03-25T20:25:00Z,60.00,39.00
2026-03-25T20:28:00Z,60.00,41.00
2026-03-25T20:32:00Z,60.00,41.00
2026-03-25T20:39:00Z,60.00,41.00
2026-03-25T20:40:00Z,60.00,41.00
2026-03-25T20:57:00Z,60.00,41.00
2026-03-25T21:01:00Z,60.00,41.00
2026-03-25T21:05:00Z,60.00,41.00
2026-03-25T21:14:00Z,60.00,41.00
2026-03-25T21:20:00Z,60.00,41.00
2026-03-25T21:25:00Z,60.00,41.00
2026-03-25T21:29:00Z,60.00,41.00
2026-03-25T21:35:00Z,60.00,41.00
2026-03-25T21:56:00Z,60.00,41.00
2026-03-25T21:59:00Z,60.00,41.00
2026-03-25T22:00:00Z,60.00,41.00
2026-03-25T22:01:00Z,60.00,41.00
2026-03-25T22:04:00Z,60.00,41.00
2026-03-25T22:06:00Z,60.00,41.00
2026-03-25T22:13:00Z,60.00,41.00
2026-03-25T22:18:00Z,61.00,41.00
2026-03-25T22:21:00Z,61.00,41.00
2026-03-25T22:22:00Z,61.00,41.00
2026-03-25T22:26:00Z,61.00,41.00
2026-03-25T22:28:00Z,61.00,41.00
2026-03-25T22:35:00Z,61.91,42.00
2026-03-25T22:36:00Z,61.00,42.00
2026-03-25T22:37:00Z,61.00,42.00
