# event_ticker=KXATPCHALLENGERMATCH-26MAR31OKIILA
# final_score=6-1 3-2 RET
# match_winner=Andre Ilagan
# fav_player=Andre Ilagan
# dog_player=Yuto Oki
# kalshi_date=2026-03-31
timestamp,Andre Ilagan,Yuto Oki
2026-04-01T17:28:00Z,83.00,19.72
2026-04-01T17:32:00Z,83.00,21.89
2026-04-01T17:49:00Z,82.98,21.89
2026-04-01T17:57:00Z,83.00,21.89
2026-04-01T21:02:00Z,83.00,21.89
2026-04-01T21:09:00Z,83.00,20.00
2026-04-01T23:04:00Z,83.00,21.00
2026-04-01T23:17:00Z,83.00,20.00
2026-04-01T23:49:00Z,83.62,20.00
2026-04-02T00:45:00Z,80.98,20.00
2026-04-02T01:01:00Z,80.98,21.00
2026-04-02T01:03:00Z,80.98,21.00
2026-04-02T01:08:00Z,80.98,18.98
2026-04-02T01:15:00Z,80.98,20.00
2026-04-02T01:24:00Z,80.98,21.00
2026-04-02T01:27:00Z,83.00,21.00
2026-04-02T01:34:00Z,83.00,20.00
2026-04-02T01:45:00Z,83.00,21.00
2026-04-02T01:46:00Z,82.00,20.00
2026-04-02T01:49:00Z,82.00,20.00
2026-04-02T01:55:00Z,82.00,21.00
2026-04-02T01:58:00Z,82.00,21.00
2026-04-02T01:59:00Z,82.00,21.00
2026-04-02T02:00:00Z,82.00,20.00
2026-04-02T02:06:00Z,82.00,21.76
2026-04-02T02:08:00Z,81.00,21.76
2026-04-02T02:13:00Z,81.00,22.00
2026-04-02T02:24:00Z,81.00,20.00
2026-04-02T02:42:00Z,81.97,20.00
2026-04-02T02:52:00Z,81.97,21.00
2026-04-02T02:53:00Z,81.97,21.00
2026-04-02T02:55:00Z,82.00,20.00
2026-04-02T02:56:00Z,82.00,21.00
2026-04-02T02:57:00Z,82.00,21.57
2026-04-02T03:03:00Z,82.00,20.00
2026-04-02T03:04:00Z,81.00,22.00
2026-04-02T03:05:00Z,81.00,22.00
2026-04-02T03:06:00Z,81.00,22.00
2026-04-02T03:07:00Z,81.00,22.00
2026-04-02T03:12:00Z,81.00,22.00
2026-04-02T03:13:00Z,81.00,22.00
2026-04-02T03:14:00Z,81.58,22.00
2026-04-02T03:20:00Z,81.58,22.00
2026-04-02T03:23:00Z,81.58,20.00
2026-04-02T03:29:00Z,81.58,21.00
2026-04-02T03:30:00Z,81.00,21.00
2026-04-02T03:31:00Z,81.00,21.00
2026-04-02T03:34:00Z,81.00,21.00
2026-04-02T03:38:00Z,81.00,21.00
2026-04-02T03:39:00Z,81.00,21.00
2026-04-02T03:41:00Z,81.00,20.00
2026-04-02T03:42:00Z,81.00,20.00
2026-04-02T03:43:00Z,81.00,20.00
2026-04-02T03:44:00Z,81.00,20.00
2026-04-02T03:46:00Z,81.95,20.00
2026-04-02T03:48:00Z,81.00,20.00
2026-04-02T03:49:00Z,81.00,20.00
2026-04-02T03:52:00Z,82.00,21.00
2026-04-02T03:53:00Z,82.00,20.00
2026-04-02T03:55:00Z,83.00,20.00
2026-04-02T03:56:00Z,83.00,20.90
2026-04-02T03:58:00Z,83.00,20.90
2026-04-02T03:59:00Z,83.00,20.00
2026-04-02T04:01:00Z,84.65,18.00
2026-04-02T04:03:00Z,84.65,17.00
2026-04-02T04:04:00Z,86.00,16.95
2026-04-02T04:05:00Z,86.00,16.00
