# event_ticker=KXATPCHALLENGERMATCH-26MAY28TSEMID
# final_score=7-5 6-3
# score_resolution=5-7 3-6
# match_winner=Chun-Hsin Tseng
# fav_player=Lautaro Midon
# dog_player=Chun Hsin Tseng
# kalshi_date=2026-05-28
timestamp,Chun Hsin Tseng,Lautaro Midon
2026-05-28T04:43:00Z,66.00,35.90
2026-05-28T05:18:00Z,66.00,35.90
2026-05-28T06:47:00Z,66.00,36.00
2026-05-28T12:03:00Z,66.00,36.00
2026-05-28T13:08:00Z,66.00,36.00
2026-05-28T13:29:00Z,65.00,36.00
2026-05-28T14:03:00Z,65.00,36.00
2026-05-28T14:16:00Z,65.00,36.00
2026-05-28T14:39:00Z,65.00,36.00
2026-05-28T14:40:00Z,64.00,36.00
2026-05-28T14:44:00Z,64.00,36.00
2026-05-28T14:51:00Z,64.00,36.00
2026-05-28T14:54:00Z,64.00,36.00
2026-05-28T15:06:00Z,64.00,36.00
2026-05-28T15:19:00Z,64.00,36.00
2026-05-28T15:36:00Z,64.00,36.00
2026-05-28T15:48:00Z,64.00,36.00
2026-05-28T15:53:00Z,64.00,36.00
2026-05-28T15:55:00Z,64.00,36.00
2026-05-28T15:59:00Z,64.00,36.24
2026-05-28T16:00:00Z,64.00,36.05
2026-05-28T16:02:00Z,64.00,36.05
2026-05-28T16:04:00Z,64.00,37.00
2026-05-28T16:08:00Z,65.36,37.00
2026-05-28T16:11:00Z,65.36,38.00
2026-05-28T16:13:00Z,66.11,36.84
2026-05-28T16:14:00Z,62.37,40.00
2026-05-28T16:15:00Z,63.01,39.22
2026-05-28T16:16:00Z,66.48,33.14
2026-05-28T16:17:00Z,68.09,33.00
2026-05-28T16:18:00Z,72.97,29.47
2026-05-28T16:19:00Z,72.21,28.87
2026-05-28T16:20:00Z,76.04,26.31
2026-05-28T16:21:00Z,78.80,22.56
2026-05-28T16:22:00Z,79.84,20.68
2026-05-28T16:23:00Z,79.00,22.00
2026-05-28T16:24:00Z,78.91,22.00
2026-05-28T16:25:00Z,79.30,21.00
2026-05-28T16:26:00Z,80.00,21.00
2026-05-28T16:27:00Z,80.97,21.43
2026-05-28T16:28:00Z,79.85,20.41
2026-05-28T16:29:00Z,79.65,21.84
2026-05-28T16:30:00Z,80.00,19.31
2026-05-28T16:31:00Z,79.99,21.00
2026-05-28T16:32:00Z,77.70,22.81
2026-05-28T16:33:00Z,79.59,23.00
2026-05-28T16:34:00Z,80.00,22.99
2026-05-28T16:35:00Z,73.48,26.51
2026-05-28T16:36:00Z,76.03,26.00
2026-05-28T16:37:00Z,76.07,24.34
2026-05-28T16:38:00Z,76.92,26.86
2026-05-28T16:39:00Z,68.23,28.38
2026-05-28T16:40:00Z,66.00,28.38
2026-05-28T16:41:00Z,67.08,32.31
