# event_ticker=KXATPMATCH-25OCT27NORBAE
# final_score=6-3 6-4
# match_winner=Cameron Norrie
# fav_player=Cameron Norrie
# dog_player=Sebastian Baez
# kalshi_date=2025-10-27
timestamp,Cameron Norrie,Sebastian Baez
2025-10-27T00:42:00Z,79.04,
2025-10-27T00:52:00Z,79.00,
2025-10-27T01:23:00Z,79.00,22.47
2025-10-27T02:01:00Z,81.00,22.47
2025-10-27T02:34:00Z,81.00,22.47
2025-10-27T02:44:00Z,81.00,22.47
2025-10-27T02:47:00Z,81.00,22.47
2025-10-27T02:48:00Z,81.00,22.00
2025-10-27T02:54:00Z,81.00,22.00
2025-10-27T03:09:00Z,81.00,22.00
2025-10-27T03:16:00Z,81.00,22.00
2025-10-27T03:26:00Z,81.00,22.00
2025-10-27T03:44:00Z,81.00,22.00
2025-10-27T04:04:00Z,81.00,22.00
2025-10-27T04:12:00Z,81.00,22.00
2025-10-27T04:14:00Z,81.00,22.00
2025-10-27T04:23:00Z,81.00,21.00
2025-10-27T04:25:00Z,80.00,21.00
2025-10-27T04:27:00Z,80.00,21.00
2025-10-27T04:33:00Z,81.00,21.00
2025-10-27T05:34:00Z,81.00,21.00
2025-10-27T06:25:00Z,80.00,21.00
2025-10-27T06:35:00Z,80.33,21.00
2025-10-27T06:36:00Z,80.33,21.00
2025-10-27T07:24:00Z,80.56,21.00
2025-10-27T07:28:00Z,81.00,21.00
2025-10-27T07:38:00Z,81.00,21.00
2025-10-27T07:45:00Z,81.00,21.00
2025-10-27T08:18:00Z,81.00,21.00
2025-10-27T08:45:00Z,81.00,21.00
2025-10-27T08:48:00Z,81.00,21.00
2025-10-27T09:26:00Z,81.00,21.00
2025-10-27T09:52:00Z,81.00,21.00
2025-10-27T10:57:00Z,81.00,21.00
2025-10-27T11:03:00Z,81.00,21.00
2025-10-27T11:06:00Z,81.00,21.00
2025-10-27T11:08:00Z,81.00,21.00
2025-10-27T11:12:00Z,81.00,21.00
