# event_ticker=KXATPCHALLENGERMATCH-26APR29YUNILA
# final_score=6-2 6-3
# match_winner=Yunchaokete Bu
# fav_player=Yunchaokete Bu
# dog_player=Andre Ilagan
# kalshi_date=2026-04-29
timestamp,Yunchaokete Bu,Andre Ilagan
2026-04-29T20:35:00Z,,26.00
2026-04-29T20:38:00Z,,26.00
2026-04-29T21:00:00Z,75.00,26.00
2026-04-29T21:34:00Z,75.00,26.00
2026-04-29T21:51:00Z,80.00,22.00
2026-04-29T21:52:00Z,80.00,22.00
2026-04-29T22:25:00Z,81.00,22.00
2026-04-29T22:44:00Z,81.00,22.00
2026-04-29T22:55:00Z,81.00,26.00
2026-04-29T23:03:00Z,81.00,26.00
2026-04-29T23:06:00Z,81.00,26.00
2026-04-29T23:07:00Z,81.00,26.00
2026-04-29T23:13:00Z,81.00,20.00
2026-04-29T23:16:00Z,81.00,26.00
2026-04-29T23:19:00Z,72.47,26.00
2026-04-29T23:41:00Z,80.00,26.00
2026-04-29T23:42:00Z,80.00,23.00
2026-04-29T23:44:00Z,80.00,23.00
2026-04-29T23:46:00Z,79.00,23.00
2026-04-29T23:48:00Z,80.00,23.00
2026-04-30T00:54:00Z,78.00,23.00
2026-04-30T01:22:00Z,78.00,22.00
2026-04-30T01:26:00Z,78.00,22.00
2026-04-30T01:54:00Z,80.00,22.00
2026-04-30T02:17:00Z,80.00,22.00
2026-04-30T02:22:00Z,80.00,22.00
2026-04-30T02:39:00Z,80.00,22.00
2026-04-30T02:48:00Z,80.00,22.00
2026-04-30T03:07:00Z,80.00,22.00
2026-04-30T03:20:00Z,80.00,22.00
2026-04-30T04:34:00Z,79.00,22.00
2026-04-30T04:57:00Z,80.00,22.00
2026-04-30T04:58:00Z,80.00,22.00
2026-04-30T04:59:00Z,80.00,21.00
2026-04-30T05:07:00Z,80.00,21.00
2026-04-30T05:25:00Z,80.00,21.00
2026-04-30T05:27:00Z,80.00,21.00
2026-04-30T05:58:00Z,80.00,21.00
2026-04-30T06:01:00Z,80.00,21.00
2026-04-30T06:08:00Z,81.44,21.00
2026-04-30T06:23:00Z,82.00,21.00
2026-04-30T06:24:00Z,82.00,21.00
2026-04-30T06:29:00Z,82.00,21.00
2026-04-30T06:31:00Z,82.00,21.00
2026-04-30T06:32:00Z,82.00,21.00
2026-04-30T06:33:00Z,82.00,21.00
2026-04-30T06:34:00Z,82.00,21.00
2026-04-30T06:36:00Z,82.00,21.00
2026-04-30T06:37:00Z,82.00,21.00
2026-04-30T06:38:00Z,82.00,21.00
2026-04-30T06:40:00Z,82.00,21.00
2026-04-30T06:41:00Z,82.00,21.00
2026-04-30T06:43:00Z,82.00,22.00
2026-04-30T06:45:00Z,84.00,19.00
2026-04-30T06:54:00Z,84.00,22.98
2026-04-30T06:55:00Z,84.00,21.99
2026-04-30T06:56:00Z,84.96,19.00
2026-04-30T06:58:00Z,84.96,21.00
2026-04-30T06:59:00Z,87.54,18.77
2026-04-30T09:01:00Z,98.47,2.00
