# event_ticker=KXATPCHALLENGERMATCH-26MAR12ONCPOU
# final_score=6-4 6-4
# match_winner=Gauthier Onclin
# fav_player=Gauthier Onclin
# dog_player=Lucas Poullain
# kalshi_date=2026-03-12
timestamp,Gauthier Onclin,Lucas Poullain
2026-03-12T09:55:00Z,60.00,40.00
2026-03-12T09:56:00Z,61.00,39.00
2026-03-12T10:00:00Z,61.00,40.00
2026-03-12T10:05:00Z,61.00,37.86
2026-03-12T10:42:00Z,65.00,37.86
2026-03-12T11:37:00Z,65.00,37.86
2026-03-12T12:14:00Z,65.00,37.00
2026-03-12T12:30:00Z,65.00,37.00
2026-03-12T12:32:00Z,65.00,37.00
2026-03-12T12:43:00Z,65.00,33.00
2026-03-12T12:46:00Z,65.00,37.20
2026-03-12T12:53:00Z,66.71,37.20
2026-03-12T12:58:00Z,67.00,37.20
2026-03-12T13:03:00Z,67.00,37.00
2026-03-12T13:05:00Z,67.00,37.00
2026-03-12T13:21:00Z,66.00,37.00
2026-03-12T13:29:00Z,66.00,37.00
2026-03-12T13:31:00Z,66.00,37.00
2026-03-12T13:56:00Z,66.00,37.00
2026-03-12T14:03:00Z,66.00,34.00
2026-03-12T14:06:00Z,66.00,34.00
2026-03-12T14:08:00Z,66.00,34.00
2026-03-12T14:10:00Z,66.00,34.00
2026-03-12T14:16:00Z,66.00,34.00
2026-03-12T14:18:00Z,66.00,37.00
2026-03-12T14:21:00Z,66.00,37.45
2026-03-12T14:23:00Z,66.00,37.45
2026-03-12T14:25:00Z,66.00,37.45
2026-03-12T14:26:00Z,66.00,37.56
2026-03-12T14:27:00Z,66.00,37.56
2026-03-12T14:34:00Z,66.00,37.00
2026-03-12T14:39:00Z,66.00,37.40
2026-03-12T14:48:00Z,66.00,37.40
2026-03-12T14:59:00Z,63.00,37.40
2026-03-12T15:01:00Z,63.00,37.40
2026-03-12T15:10:00Z,63.00,37.40
2026-03-12T15:22:00Z,63.00,38.00
2026-03-12T15:34:00Z,63.00,38.00
2026-03-12T15:35:00Z,66.61,38.00
2026-03-12T15:39:00Z,67.00,38.00
2026-03-12T15:54:00Z,67.00,38.00
2026-03-12T16:10:00Z,67.00,36.00
2026-03-12T16:11:00Z,67.00,36.00
2026-03-12T16:14:00Z,67.00,36.00
2026-03-12T16:17:00Z,67.00,36.00
2026-03-12T16:20:00Z,67.00,36.00
2026-03-12T16:28:00Z,67.00,36.27
2026-03-12T16:34:00Z,66.00,36.27
2026-03-12T16:36:00Z,66.00,36.27
2026-03-12T16:48:00Z,66.00,38.00
2026-03-12T16:56:00Z,66.00,38.00
2026-03-12T17:04:00Z,66.00,38.00
2026-03-12T17:06:00Z,66.00,38.00
2026-03-12T17:07:00Z,66.00,38.00
2026-03-12T17:09:00Z,66.00,38.00
2026-03-12T17:12:00Z,65.00,38.00
2026-03-12T17:15:00Z,65.00,38.00
2026-03-12T17:17:00Z,62.00,38.00
2026-03-12T17:19:00Z,62.00,38.00
2026-03-12T17:22:00Z,62.00,38.00
2026-03-12T17:23:00Z,65.00,38.00
2026-03-12T17:26:00Z,65.00,38.00
2026-03-12T17:32:00Z,65.00,38.00
