# event_ticker=KXATPCHALLENGERMATCH-26APR13GRABIN
# final_score=6-4 6-2
# match_winner=Alexander Binda
# fav_player=Alexandr Binda
# dog_player=Alastair Gray
# kalshi_date=2026-04-13
timestamp,Alexandr Binda,Alastair Gray
2026-04-13T14:21:00Z,21.00,
2026-04-13T16:47:00Z,21.00,82.00
2026-04-13T17:29:00Z,21.00,80.00
2026-04-13T17:30:00Z,20.00,80.00
2026-04-13T17:32:00Z,20.00,82.25
2026-04-13T18:55:00Z,20.00,82.00
2026-04-13T19:23:00Z,20.00,82.00
2026-04-13T19:33:00Z,20.00,82.00
2026-04-13T19:50:00Z,19.00,82.00
2026-04-13T20:16:00Z,19.00,83.00
2026-04-13T20:32:00Z,20.00,83.00
2026-04-13T20:38:00Z,20.00,83.00
2026-04-13T20:49:00Z,20.00,83.00
2026-04-13T21:00:00Z,20.00,83.00
2026-04-13T21:17:00Z,20.00,83.00
2026-04-13T21:24:00Z,20.00,82.00
2026-04-13T21:49:00Z,20.00,83.00
2026-04-13T22:00:00Z,20.00,83.00
2026-04-13T22:21:00Z,20.00,83.00
2026-04-13T22:32:00Z,20.00,83.00
2026-04-13T22:56:00Z,20.00,83.00
2026-04-13T23:08:00Z,19.00,83.00
2026-04-13T23:27:00Z,19.00,79.30
2026-04-13T23:42:00Z,19.00,81.00
2026-04-13T23:58:00Z,19.00,82.00
2026-04-14T00:13:00Z,20.00,80.00
2026-04-14T00:17:00Z,20.00,80.00
2026-04-14T00:53:00Z,20.00,80.00
2026-04-14T01:05:00Z,20.00,81.00
2026-04-14T01:10:00Z,20.00,82.00
2026-04-14T01:12:00Z,20.00,82.00
2026-04-14T01:13:00Z,20.00,82.00
2026-04-14T01:23:00Z,20.00,82.00
2026-04-14T01:25:00Z,20.00,82.00
2026-04-14T01:31:00Z,20.00,82.00
2026-04-14T01:37:00Z,20.00,82.00
2026-04-14T01:46:00Z,20.00,82.00
2026-04-14T01:48:00Z,20.00,82.00
2026-04-14T01:49:00Z,20.00,82.00
2026-04-14T01:53:00Z,20.00,82.00
2026-04-14T01:58:00Z,20.00,82.00
2026-04-14T01:59:00Z,20.00,82.00
2026-04-14T02:00:00Z,20.00,82.00
2026-04-14T02:02:00Z,20.00,82.00
2026-04-14T02:03:00Z,20.00,82.00
2026-04-14T02:04:00Z,20.00,81.00
2026-04-14T02:05:00Z,20.00,81.00
2026-04-14T02:06:00Z,20.00,81.00
2026-04-14T02:07:00Z,20.00,81.00
2026-04-14T02:08:00Z,21.40,83.67
2026-04-14T02:09:00Z,20.71,81.13
2026-04-14T02:10:00Z,20.24,81.50
2026-04-14T02:11:00Z,22.00,80.96
2026-04-14T02:12:00Z,19.87,81.99
2026-04-14T02:13:00Z,15.25,83.95
2026-04-14T02:14:00Z,14.19,87.95
2026-04-14T02:15:00Z,12.92,88.52
2026-04-14T02:16:00Z,12.08,88.86
2026-04-14T02:17:00Z,16.37,85.33
2026-04-14T02:18:00Z,16.25,83.24
2026-04-14T02:19:00Z,18.25,83.00
2026-04-14T02:20:00Z,22.37,81.76
2026-04-14T02:21:00Z,20.36,81.00
2026-04-14T02:22:00Z,25.18,79.73
2026-04-14T02:23:00Z,21.08,79.72
2026-04-14T02:24:00Z,22.00,79.56
2026-04-14T02:25:00Z,22.15,80.00
2026-04-14T02:26:00Z,23.68,78.00
2026-04-14T02:27:00Z,20.70,80.83
2026-04-14T02:28:00Z,19.95,80.83
2026-04-14T02:29:00Z,22.31,80.83
2026-04-14T02:30:00Z,22.67,77.80
2026-04-14T02:31:00Z,21.00,79.00
2026-04-14T02:32:00Z,24.43,78.68
2026-04-14T02:33:00Z,28.95,73.54
2026-04-14T02:34:00Z,36.69,65.47
2026-04-14T02:35:00Z,40.88,63.47
2026-04-14T02:36:00Z,41.55,59.86
2026-04-14T02:37:00Z,45.96,57.13
2026-04-14T02:38:00Z,45.98,56.79
2026-04-14T02:39:00Z,47.44,56.13
2026-04-14T02:40:00Z,48.71,55.00
2026-04-14T02:41:00Z,50.63,51.26
2026-04-14T02:42:00Z,49.26,51.15
2026-04-14T02:43:00Z,49.69,51.35
2026-04-14T02:44:00Z,44.57,54.13
2026-04-14T02:45:00Z,45.49,55.92
2026-04-14T02:46:00Z,48.64,54.89
2026-04-14T02:47:00Z,45.16,55.93
2026-04-14T02:48:00Z,45.82,54.97
2026-04-14T02:49:00Z,49.06,52.08
2026-04-14T02:50:00Z,49.56,50.58
2026-04-14T02:51:00Z,47.74,53.33
2026-04-14T02:52:00Z,44.59,58.07
2026-04-14T02:53:00Z,48.22,53.01
2026-04-14T02:54:00Z,52.46,48.70
2026-04-14T02:55:00Z,70.10,33.84
2026-04-14T02:56:00Z,71.84,30.68
2026-04-14T02:57:00Z,71.63,30.43
2026-04-14T02:58:00Z,76.42,26.08
2026-04-14T02:59:00Z,76.32,26.10
2026-04-14T03:00:00Z,69.63,30.63
2026-04-14T03:01:00Z,70.34,32.31
2026-04-14T03:02:00Z,72.91,30.23
2026-04-14T03:03:00Z,72.56,30.75
2026-04-14T03:04:00Z,65.22,37.04
2026-04-14T03:05:00Z,64.85,36.89
2026-04-14T03:06:00Z,63.64,36.66
2026-04-14T03:07:00Z,71.39,29.40
2026-04-14T03:08:00Z,77.88,24.11
2026-04-14T03:09:00Z,80.27,24.08
