# event_ticker=KXATPCHALLENGERMATCH-26MAY15DELDJE
# final_score=2-2 RET
# match_winner=Laslo Djere
# fav_player=Laslo Djere
# dog_player=Hugo Dellien
# kalshi_date=2026-05-15
timestamp,Hugo Dellien,Laslo Djere
2026-05-14T23:01:00Z,,66.00
2026-05-14T23:19:00Z,,66.00
2026-05-14T23:55:00Z,35.00,66.00
2026-05-15T00:00:00Z,35.00,66.00
2026-05-15T00:20:00Z,35.00,66.00
2026-05-15T00:49:00Z,35.00,65.00
2026-05-15T00:50:00Z,35.00,65.00
2026-05-15T00:58:00Z,35.00,65.00
2026-05-15T01:38:00Z,35.00,63.44
2026-05-15T01:40:00Z,35.00,64.00
2026-05-15T01:41:00Z,35.00,65.00
2026-05-15T01:47:00Z,37.00,65.00
2026-05-15T02:08:00Z,36.00,65.00
2026-05-15T02:11:00Z,36.00,64.00
2026-05-15T02:15:00Z,36.00,64.00
2026-05-15T02:20:00Z,36.00,64.00
2026-05-15T02:23:00Z,36.00,64.00
2026-05-15T02:29:00Z,36.00,64.00
2026-05-15T02:38:00Z,36.00,64.00
2026-05-15T02:44:00Z,36.00,64.00
2026-05-15T02:48:00Z,36.00,64.00
2026-05-15T02:49:00Z,36.00,64.00
2026-05-15T02:54:00Z,37.00,64.00
2026-05-15T02:56:00Z,37.44,64.00
2026-05-15T03:01:00Z,37.44,63.00
2026-05-15T03:28:00Z,37.44,63.78
2026-05-15T03:29:00Z,37.21,63.78
2026-05-15T03:30:00Z,38.00,63.78
2026-05-15T03:34:00Z,38.00,63.78
2026-05-15T03:37:00Z,38.00,63.82
2026-05-15T03:44:00Z,38.00,63.89
2026-05-15T03:57:00Z,38.00,64.00
2026-05-15T04:05:00Z,38.00,64.00
2026-05-15T04:07:00Z,38.00,64.00
2026-05-15T04:10:00Z,38.00,64.00
2026-05-15T04:11:00Z,38.00,63.00
2026-05-15T04:12:00Z,38.00,63.00
2026-05-15T04:25:00Z,38.00,63.00
2026-05-15T04:31:00Z,38.00,63.00
2026-05-15T04:37:00Z,38.00,63.00
2026-05-15T04:40:00Z,38.00,63.00
2026-05-15T04:44:00Z,38.00,63.00
2026-05-15T04:46:00Z,38.00,63.00
2026-05-15T05:01:00Z,38.00,62.01
2026-05-15T05:07:00Z,38.00,63.00
2026-05-15T05:08:00Z,38.00,63.00
2026-05-15T05:19:00Z,38.00,63.32
2026-05-15T05:29:00Z,38.00,63.32
2026-05-15T05:36:00Z,38.00,64.11
2026-05-15T05:39:00Z,38.00,64.11
2026-05-15T05:41:00Z,38.00,64.11
2026-05-15T05:42:00Z,38.00,64.00
2026-05-15T05:55:00Z,38.00,64.00
2026-05-15T06:05:00Z,38.00,64.00
2026-05-15T06:34:00Z,38.00,64.00
2026-05-15T06:40:00Z,38.00,63.00
2026-05-15T06:53:00Z,38.00,63.00
2026-05-15T06:55:00Z,38.00,63.00
2026-05-15T07:06:00Z,38.00,63.00
2026-05-15T07:13:00Z,38.00,63.00
2026-05-15T07:14:00Z,38.00,63.00
2026-05-15T07:36:00Z,37.00,63.00
2026-05-15T07:52:00Z,37.00,63.00
2026-05-15T07:57:00Z,38.00,63.00
2026-05-15T08:23:00Z,38.00,63.00
2026-05-15T08:42:00Z,38.00,63.00
2026-05-15T08:51:00Z,38.00,64.15
2026-05-15T08:53:00Z,38.00,64.15
2026-05-15T09:06:00Z,38.00,65.00
2026-05-15T09:13:00Z,38.00,65.00
2026-05-15T09:14:00Z,37.00,65.00
2026-05-15T09:15:00Z,36.33,65.61
2026-05-15T09:16:00Z,36.00,66.00
2026-05-15T09:18:00Z,35.00,67.00
2026-05-15T09:34:00Z,36.00,67.00
2026-05-15T09:40:00Z,36.00,67.00
2026-05-15T09:42:00Z,36.00,67.00
2026-05-15T09:54:00Z,36.00,67.00
2026-05-15T09:55:00Z,36.00,67.00
2026-05-15T09:56:00Z,36.00,67.00
2026-05-15T10:00:00Z,36.00,67.00
2026-05-15T10:03:00Z,36.00,67.00
2026-05-15T10:07:00Z,36.00,67.00
2026-05-15T10:09:00Z,38.00,67.00
2026-05-15T10:10:00Z,39.16,60.54
2026-05-15T10:11:00Z,39.16,61.00
2026-05-15T10:12:00Z,39.85,60.00
2026-05-15T10:13:00Z,39.63,59.23
2026-05-15T10:14:00Z,42.00,61.00
2026-05-15T10:15:00Z,37.00,62.57
2026-05-15T10:16:00Z,39.95,62.00
2026-05-15T10:17:00Z,36.36,63.38
2026-05-15T10:18:00Z,34.33,67.65
2026-05-15T10:19:00Z,35.64,69.94
2026-05-15T10:20:00Z,35.64,62.00
2026-05-15T10:21:00Z,38.45,60.98
2026-05-15T10:22:00Z,40.00,60.98
2026-05-15T10:23:00Z,38.02,62.00
2026-05-15T10:24:00Z,35.93,65.23
2026-05-15T10:25:00Z,11.55,86.15
2026-05-15T10:26:00Z,11.55,99.00
2026-05-15T10:27:00Z,11.55,99.00
2026-05-15T10:31:00Z,11.55,99.00
