# event_ticker=KXATPMATCH-25OCT08RINLEH
# final_score=6-3 7-6(5)
# score_resolution=6-3 7-6
# match_winner=Arthur Rinderknech
# fav_player=Arthur Rinderknech
# dog_player=Jiri Lehecka
# kalshi_date=2025-10-08
timestamp,Arthur Rinderknech,Jiri Lehecka
2025-10-07T18:59:00Z,31.00,
2025-10-07T19:02:00Z,31.00,
2025-10-07T19:10:00Z,31.00,
2025-10-07T19:14:00Z,30.01,
2025-10-07T19:19:00Z,28.00,
2025-10-07T19:22:00Z,28.00,
2025-10-07T19:27:00Z,28.94,
2025-10-07T19:32:00Z,29.00,
2025-10-07T19:47:00Z,29.00,
2025-10-07T19:57:00Z,29.00,
2025-10-07T20:01:00Z,29.00,
2025-10-07T20:11:00Z,29.00,
2025-10-07T20:14:00Z,29.00,
2025-10-07T20:15:00Z,29.59,
2025-10-07T20:32:00Z,29.59,73.00
2025-10-07T21:15:00Z,28.00,73.00
2025-10-07T21:38:00Z,28.00,73.00
2025-10-07T21:49:00Z,28.00,73.00
2025-10-07T22:11:00Z,28.00,73.00
2025-10-07T22:24:00Z,28.00,73.00
2025-10-07T22:39:00Z,28.00,73.00
2025-10-07T22:45:00Z,26.00,73.00
2025-10-07T22:52:00Z,27.00,73.00
2025-10-07T22:58:00Z,27.00,73.00
2025-10-07T23:09:00Z,27.00,73.00
2025-10-07T23:10:00Z,27.00,74.00
2025-10-07T23:15:00Z,27.00,74.00
2025-10-07T23:22:00Z,27.00,75.00
2025-10-07T23:29:00Z,27.00,75.00
2025-10-07T23:35:00Z,27.00,75.00
2025-10-07T23:38:00Z,27.00,74.00
2025-10-07T23:54:00Z,27.00,74.00
2025-10-07T23:57:00Z,27.00,73.00
2025-10-07T23:58:00Z,27.00,74.00
2025-10-08T00:01:00Z,27.00,74.00
2025-10-08T00:05:00Z,27.00,74.00
2025-10-08T00:08:00Z,27.00,75.00
2025-10-08T00:15:00Z,26.00,75.00
2025-10-08T00:24:00Z,26.00,75.00
2025-10-08T00:28:00Z,26.00,75.00
2025-10-08T00:31:00Z,26.00,75.00
