# event_ticker=KXATPCHALLENGERMATCH-26FEB21SAKGIL
# final_score=6-1 7-6(5)
# score_resolution=1-6 6-7
# match_winner=Stefanos Sakellaridis
# fav_player=Felix Gill
# dog_player=Stefanos Sakellaridis
# kalshi_date=2026-02-21
timestamp,Felix Gill,Stefanos Sakellaridis
2026-02-20T19:16:00Z,38.00,
2026-02-20T19:27:00Z,42.00,
2026-02-20T19:38:00Z,42.00,
2026-02-20T19:45:00Z,42.00,61.00
2026-02-20T19:49:00Z,40.00,61.00
2026-02-20T20:00:00Z,39.00,61.00
2026-02-20T20:08:00Z,39.00,61.00
2026-02-20T20:55:00Z,39.00,57.73
2026-02-20T20:59:00Z,39.00,61.00
2026-02-20T21:01:00Z,39.00,61.00
2026-02-20T21:09:00Z,42.00,61.00
2026-02-20T21:10:00Z,42.00,61.00
2026-02-20T21:22:00Z,43.00,61.00
2026-02-20T21:25:00Z,43.00,60.00
2026-02-20T21:28:00Z,43.00,61.00
2026-02-20T21:36:00Z,42.00,61.00
2026-02-20T22:17:00Z,42.00,61.00
2026-02-20T22:42:00Z,42.00,61.00
2026-02-20T22:45:00Z,42.00,62.00
2026-02-20T22:51:00Z,42.00,62.00
2026-02-20T22:54:00Z,42.00,63.00
2026-02-20T22:59:00Z,41.60,63.00
2026-02-20T23:04:00Z,41.60,61.73
2026-02-20T23:05:00Z,41.60,61.00
2026-02-20T23:11:00Z,41.60,62.00
2026-02-20T23:13:00Z,41.60,62.00
2026-02-20T23:17:00Z,37.53,62.00
2026-02-20T23:18:00Z,37.53,62.00
2026-02-20T23:19:00Z,37.53,62.90
2026-02-20T23:23:00Z,37.53,63.00
2026-02-20T23:24:00Z,37.53,63.00
2026-02-20T23:33:00Z,37.53,63.00
2026-02-20T23:35:00Z,37.53,63.00
2026-02-20T23:39:00Z,37.53,63.00
2026-02-20T23:48:00Z,39.02,63.00
2026-02-20T23:49:00Z,40.00,63.00
2026-02-21T00:03:00Z,37.00,63.00
2026-02-21T00:07:00Z,37.00,63.00
2026-02-21T00:45:00Z,33.00,63.00
2026-02-21T00:46:00Z,33.00,63.00
2026-02-21T00:47:00Z,34.00,63.00
2026-02-21T01:00:00Z,34.00,63.00
2026-02-21T01:03:00Z,34.00,68.00
2026-02-21T01:12:00Z,34.00,68.00
2026-02-21T01:22:00Z,34.00,68.00
2026-02-21T01:30:00Z,34.00,68.00
2026-02-21T01:41:00Z,34.00,68.00
2026-02-21T01:59:00Z,34.00,68.00
2026-02-21T02:16:00Z,34.00,68.00
2026-02-21T02:34:00Z,35.00,68.00
2026-02-21T02:35:00Z,35.00,68.00
2026-02-21T02:38:00Z,35.00,68.00
2026-02-21T02:45:00Z,35.00,68.00
2026-02-21T02:56:00Z,35.00,68.00
2026-02-21T03:07:00Z,33.50,68.00
2026-02-21T03:11:00Z,33.50,68.00
2026-02-21T03:15:00Z,33.50,68.00
2026-02-21T03:21:00Z,33.50,68.00
2026-02-21T03:22:00Z,33.50,68.00
2026-02-21T03:25:00Z,33.50,68.00
2026-02-21T03:26:00Z,33.50,68.00
2026-02-21T03:27:00Z,33.50,68.00
2026-02-21T03:29:00Z,35.00,68.00
2026-02-21T03:30:00Z,35.00,68.00
2026-02-21T03:31:00Z,35.00,68.00
2026-02-21T03:32:00Z,35.00,68.00
2026-02-21T03:33:00Z,35.00,68.00
2026-02-21T03:37:00Z,35.00,68.00
2026-02-21T03:38:00Z,35.00,68.00
