# event_ticker=KXATPMATCH-26FEB25NAVDAR
# final_score=6-3 3-6 6-4
# match_winner=Luciano Darderi
# fav_player=Luciano Darderi
# dog_player=Mariano Navone
# kalshi_date=2026-02-25
timestamp,Luciano Darderi,Mariano Navone
2026-02-25T11:18:00Z,65.00,35.00
2026-02-25T12:11:00Z,66.00,35.00
2026-02-25T12:20:00Z,66.00,36.00
2026-02-25T12:21:00Z,66.00,36.00
2026-02-25T12:33:00Z,64.00,36.00
2026-02-25T13:42:00Z,64.00,35.00
2026-02-25T13:57:00Z,67.00,35.00
2026-02-25T14:01:00Z,65.00,35.00
2026-02-25T14:11:00Z,67.00,35.00
2026-02-25T14:20:00Z,67.00,35.00
2026-02-25T14:29:00Z,67.00,35.00
2026-02-25T14:31:00Z,66.00,35.00
2026-02-25T14:39:00Z,66.00,35.00
2026-02-25T14:42:00Z,66.00,35.00
2026-02-25T14:44:00Z,66.00,35.00
2026-02-25T14:49:00Z,66.00,35.00
2026-02-25T14:51:00Z,66.00,35.00
2026-02-25T15:01:00Z,66.00,35.00
2026-02-25T15:06:00Z,66.00,35.00
2026-02-25T15:19:00Z,66.00,35.00
2026-02-25T15:22:00Z,66.00,35.00
2026-02-25T15:59:00Z,66.00,35.00
2026-02-25T16:12:00Z,67.00,35.00
2026-02-25T16:22:00Z,67.00,34.00
2026-02-25T16:24:00Z,67.00,34.00
2026-02-25T16:27:00Z,67.00,35.00
2026-02-25T16:29:00Z,67.00,35.00
2026-02-25T16:30:00Z,67.00,35.00
2026-02-25T16:33:00Z,67.00,35.00
2026-02-25T16:41:00Z,67.00,34.00
2026-02-25T16:51:00Z,67.00,34.00
2026-02-25T16:53:00Z,67.00,34.00
2026-02-25T16:57:00Z,67.00,34.00
2026-02-25T17:08:00Z,67.00,35.00
2026-02-25T17:15:00Z,68.00,35.00
2026-02-25T17:28:00Z,68.00,35.00
2026-02-25T17:29:00Z,68.00,35.00
2026-02-25T17:30:00Z,68.00,35.00
2026-02-25T17:31:00Z,68.00,34.00
2026-02-25T17:33:00Z,68.00,33.00
2026-02-25T17:34:00Z,68.00,33.00
2026-02-25T17:37:00Z,68.00,32.00
2026-02-25T17:42:00Z,68.00,32.00
2026-02-25T17:45:00Z,68.00,32.00
2026-02-25T17:47:00Z,68.00,33.00
2026-02-25T17:51:00Z,68.00,33.00
2026-02-25T17:52:00Z,68.00,33.00
2026-02-25T18:02:00Z,68.00,33.00
2026-02-25T18:06:00Z,68.00,33.00
2026-02-25T18:19:00Z,68.00,33.00
2026-02-25T18:29:00Z,68.00,33.00
2026-02-25T18:32:00Z,68.00,33.00
2026-02-25T18:35:00Z,68.00,32.00
2026-02-25T18:44:00Z,68.00,32.00
2026-02-25T18:49:00Z,68.00,32.00
2026-02-25T18:50:00Z,69.00,32.00
2026-02-25T18:55:00Z,70.00,32.00
2026-02-25T18:56:00Z,70.00,32.00
2026-02-25T18:57:00Z,70.00,32.00
2026-02-25T19:00:00Z,70.00,32.00
2026-02-25T19:02:00Z,70.00,32.00
2026-02-25T19:06:00Z,70.00,32.00
2026-02-25T19:07:00Z,70.00,30.00
2026-02-25T19:10:00Z,70.00,30.00
2026-02-25T19:11:00Z,70.00,30.00
2026-02-25T19:24:00Z,70.00,32.00
2026-02-25T19:27:00Z,70.00,32.00
2026-02-25T19:28:00Z,70.00,32.00
2026-02-25T19:38:00Z,70.00,32.00
