# event_ticker=KXATPCHALLENGERMATCH-26JUN05PELBAS
# final_score=6-2 6-3
# score_resolution=2-6 3-6
# match_winner=Andrea Pellegrino
# fav_player=Pierluigi Basile
# dog_player=Andrea Pellegrino
# kalshi_date=2026-06-05
timestamp,Andrea Pellegrino,Pierluigi Basile
2026-06-05T07:48:00Z,79.00,
2026-06-05T11:00:00Z,79.00,25.00
2026-06-05T11:46:00Z,79.00,23.00
2026-06-05T11:52:00Z,79.00,23.00
2026-06-05T12:35:00Z,80.00,23.00
2026-06-05T13:15:00Z,79.00,23.00
2026-06-05T13:57:00Z,79.00,22.00
2026-06-05T13:58:00Z,79.00,23.00
2026-06-05T14:08:00Z,79.00,21.00
2026-06-05T14:19:00Z,79.00,21.00
2026-06-05T14:28:00Z,79.00,21.00
2026-06-05T14:29:00Z,79.00,22.00
2026-06-05T14:31:00Z,80.00,22.00
2026-06-05T14:55:00Z,80.00,22.00
2026-06-05T15:05:00Z,79.00,22.00
2026-06-05T15:31:00Z,79.00,22.00
2026-06-05T15:36:00Z,80.00,22.00
2026-06-05T15:40:00Z,80.00,22.00
2026-06-05T15:41:00Z,80.00,22.00
2026-06-05T15:51:00Z,80.00,22.00
2026-06-05T15:57:00Z,80.00,22.00
2026-06-05T15:59:00Z,80.00,22.00
2026-06-05T16:08:00Z,80.00,22.00
2026-06-05T16:17:00Z,80.00,22.00
2026-06-05T16:45:00Z,80.00,22.00
2026-06-05T16:50:00Z,80.00,22.00
2026-06-05T16:53:00Z,80.00,22.00
2026-06-05T16:54:00Z,80.00,22.00
2026-06-05T17:01:00Z,80.00,22.00
2026-06-05T17:09:00Z,80.00,22.00
2026-06-05T17:14:00Z,80.00,22.00
2026-06-05T17:17:00Z,80.00,22.00
2026-06-05T17:18:00Z,80.00,22.00
2026-06-05T17:22:00Z,80.00,22.00
2026-06-05T17:24:00Z,80.00,22.00
2026-06-05T17:27:00Z,80.00,22.00
2026-06-05T17:29:00Z,80.00,22.00
2026-06-05T17:30:00Z,80.00,22.00
2026-06-05T17:36:00Z,80.00,21.00
2026-06-05T17:44:00Z,80.00,22.00
2026-06-05T17:46:00Z,80.00,20.05
2026-06-05T17:47:00Z,80.00,22.00
2026-06-05T17:48:00Z,80.00,22.00
2026-06-05T17:49:00Z,80.00,22.99
2026-06-05T17:53:00Z,80.00,22.00
2026-06-05T17:54:00Z,80.00,22.35
2026-06-05T17:55:00Z,80.00,22.35
2026-06-05T17:56:00Z,78.00,22.35
2026-06-05T17:58:00Z,78.00,23.00
2026-06-05T18:00:00Z,80.00,23.00
2026-06-05T18:03:00Z,80.00,23.00
2026-06-05T18:04:00Z,80.00,22.00
2026-06-05T18:05:00Z,80.00,22.71
2026-06-05T18:07:00Z,80.00,22.71
2026-06-05T18:09:00Z,80.00,22.97
2026-06-05T18:10:00Z,80.00,23.00
2026-06-05T18:15:00Z,80.00,23.00
2026-06-05T18:16:00Z,80.00,23.00
2026-06-05T18:17:00Z,80.00,23.00
2026-06-05T18:18:00Z,80.00,23.00
2026-06-05T18:22:00Z,80.00,22.00
2026-06-05T18:23:00Z,80.00,22.00
2026-06-05T18:24:00Z,80.00,22.00
2026-06-05T18:25:00Z,80.00,22.00
