# event_ticker=KXATPCHALLENGERMATCH-26MAY01GADPOL
# final_score=6-0 6-1
# match_winner=Buvaysar Gadamauri
# fav_player=Buvaysar Gadamauri
# dog_player=Mili Poljicak
# kalshi_date=2026-05-01
timestamp,Buvaysar Gadamauri,Mili Poljicak
2026-04-30T22:48:00Z,41.00,
2026-04-30T23:01:00Z,41.64,58.33
2026-05-01T01:08:00Z,41.64,60.00
2026-05-01T01:29:00Z,41.64,60.00
2026-05-01T01:41:00Z,41.00,60.00
2026-05-01T02:09:00Z,41.00,60.00
2026-05-01T02:10:00Z,41.00,60.00
2026-05-01T02:48:00Z,41.00,60.00
2026-05-01T03:01:00Z,41.00,61.00
2026-05-01T03:16:00Z,41.00,61.00
2026-05-01T03:34:00Z,41.00,61.00
2026-05-01T03:56:00Z,41.00,61.00
2026-05-01T04:02:00Z,41.00,61.00
2026-05-01T04:08:00Z,41.00,61.00
2026-05-01T04:12:00Z,41.00,59.00
2026-05-01T04:31:00Z,41.00,61.00
2026-05-01T05:06:00Z,40.16,61.00
2026-05-01T05:13:00Z,41.00,61.00
2026-05-01T05:22:00Z,41.00,61.00
2026-05-01T06:03:00Z,41.00,61.00
2026-05-01T06:17:00Z,41.00,61.00
2026-05-01T06:32:00Z,41.00,61.00
2026-05-01T06:33:00Z,41.00,61.00
2026-05-01T06:42:00Z,41.00,61.00
2026-05-01T06:46:00Z,41.00,61.00
2026-05-01T06:53:00Z,41.00,61.00
2026-05-01T06:57:00Z,41.00,61.00
2026-05-01T06:59:00Z,41.00,61.00
2026-05-01T07:03:00Z,41.00,61.00
2026-05-01T07:04:00Z,41.00,61.00
2026-05-01T07:05:00Z,41.00,58.90
2026-05-01T07:08:00Z,41.00,61.00
2026-05-01T07:27:00Z,41.00,60.00
2026-05-01T07:34:00Z,41.00,60.77
2026-05-01T07:43:00Z,42.00,60.77
2026-05-01T07:44:00Z,42.00,61.00
2026-05-01T07:45:00Z,42.00,61.00
2026-05-01T07:46:00Z,42.00,61.00
2026-05-01T07:48:00Z,42.00,61.00
2026-05-01T07:53:00Z,42.00,61.00
2026-05-01T07:56:00Z,42.00,61.00
2026-05-01T07:58:00Z,42.00,60.00
2026-05-01T07:59:00Z,42.00,61.00
2026-05-01T08:01:00Z,41.95,61.00
2026-05-01T08:03:00Z,41.48,61.00
2026-05-01T08:05:00Z,41.00,61.00
2026-05-01T08:11:00Z,42.00,61.00
2026-05-01T08:18:00Z,42.00,59.00
2026-05-01T08:19:00Z,42.00,59.00
2026-05-01T08:20:00Z,42.00,59.00
2026-05-01T08:25:00Z,42.00,60.00
2026-05-01T08:26:00Z,42.99,60.00
2026-05-01T08:30:00Z,43.00,60.00
2026-05-01T08:32:00Z,43.00,59.90
2026-05-01T08:33:00Z,43.00,59.60
2026-05-01T08:34:00Z,43.00,59.60
2026-05-01T08:40:00Z,43.00,60.93
2026-05-01T08:41:00Z,42.00,60.93
2026-05-01T08:42:00Z,42.00,60.93
2026-05-01T08:43:00Z,42.00,60.93
2026-05-01T08:44:00Z,42.00,60.00
2026-05-01T08:45:00Z,40.54,60.00
2026-05-01T08:46:00Z,42.00,62.00
2026-05-01T08:48:00Z,43.30,57.33
2026-05-01T08:49:00Z,44.84,57.23
2026-05-01T08:50:00Z,46.62,56.88
2026-05-01T08:51:00Z,52.11,49.20
2026-05-01T08:52:00Z,54.67,47.96
2026-05-01T08:53:00Z,58.66,42.81
2026-05-01T08:54:00Z,59.78,40.66
2026-05-01T08:55:00Z,58.96,42.08
2026-05-01T08:56:00Z,60.00,41.00
2026-05-01T08:57:00Z,63.60,37.36
2026-05-01T08:58:00Z,68.35,35.81
2026-05-01T08:59:00Z,69.00,29.81
2026-05-01T09:00:00Z,71.00,28.73
2026-05-01T09:01:00Z,73.00,26.54
2026-05-01T09:02:00Z,74.00,25.65
2026-05-01T09:03:00Z,74.14,25.09
2026-05-01T09:04:00Z,79.00,20.39
2026-05-01T09:05:00Z,80.00,21.00
2026-05-01T09:06:00Z,79.40,19.87
2026-05-01T09:07:00Z,80.90,21.00
2026-05-01T09:08:00Z,80.90,21.01
2026-05-01T09:09:00Z,80.63,21.00
2026-05-01T09:10:00Z,80.01,21.00
2026-05-01T09:11:00Z,80.80,20.94
2026-05-01T09:12:00Z,79.31,21.00
2026-05-01T09:13:00Z,80.00,21.69
2026-05-01T09:14:00Z,80.00,21.00
2026-05-01T09:15:00Z,76.03,24.65
2026-05-01T09:16:00Z,78.97,23.67
2026-05-01T09:17:00Z,80.78,19.35
2026-05-01T09:18:00Z,84.01,15.48
2026-05-01T09:19:00Z,87.73,13.66
2026-05-01T09:20:00Z,90.39,9.10
2026-05-01T09:21:00Z,92.66,8.61
2026-05-01T09:22:00Z,91.63,10.54
2026-05-01T09:23:00Z,93.93,7.50
2026-05-01T09:24:00Z,94.52,5.08
2026-05-01T09:25:00Z,94.77,6.97
2026-05-01T09:26:00Z,95.33,4.55
2026-05-01T09:27:00Z,95.40,5.30
2026-05-01T09:28:00Z,94.97,5.93
