# event_ticker=KXATPMATCH-26JAN03ETCROY
# final_score=6-4 7-5
# match_winner=Tomas Martin Etcheverry
# fav_player=Tomas Martin Etcheverry
# dog_player=Valentin Royer
# kalshi_date=2026-01-03
timestamp,Tomas Martin Etcheverry,Valentin Royer
2026-01-05T20:26:00Z,52.00,
2026-01-05T21:16:00Z,52.00,
2026-01-05T22:11:00Z,52.00,
2026-01-06T00:02:00Z,52.00,
2026-01-06T00:47:00Z,52.00,51.00
2026-01-06T01:54:00Z,48.00,51.00
2026-01-06T02:07:00Z,51.00,51.00
2026-01-06T02:35:00Z,51.00,51.00
2026-01-06T02:36:00Z,51.00,51.00
2026-01-06T02:47:00Z,51.00,51.00
2026-01-06T02:53:00Z,51.00,52.00
2026-01-06T03:03:00Z,51.00,50.00
2026-01-06T03:07:00Z,51.00,52.00
2026-01-06T03:10:00Z,51.00,52.00
2026-01-06T03:13:00Z,51.00,52.00
2026-01-06T03:14:00Z,51.00,52.00
2026-01-06T03:15:00Z,51.00,52.00
2026-01-06T03:17:00Z,51.00,52.00
2026-01-06T04:11:00Z,51.00,50.00
2026-01-06T04:38:00Z,50.00,50.00
2026-01-06T04:39:00Z,50.00,50.00
2026-01-06T04:41:00Z,50.00,50.00
2026-01-06T04:43:00Z,50.00,52.00
2026-01-06T04:49:00Z,50.00,51.92
2026-01-06T05:01:00Z,50.00,51.92
2026-01-06T05:03:00Z,50.00,51.92
2026-01-06T05:06:00Z,50.00,51.92
2026-01-06T05:09:00Z,48.00,51.92
2026-01-06T05:11:00Z,50.00,51.92
2026-01-06T05:17:00Z,50.00,52.00
2026-01-06T05:19:00Z,50.00,52.00
2026-01-06T05:20:00Z,50.00,52.00
2026-01-06T05:21:00Z,50.00,52.00
2026-01-06T05:22:00Z,50.00,55.03
2026-01-06T05:24:00Z,50.00,55.03
2026-01-06T05:25:00Z,50.00,55.03
2026-01-06T05:26:00Z,50.00,55.03
2026-01-06T05:29:00Z,50.00,55.03
2026-01-06T05:32:00Z,48.00,55.03
2026-01-06T05:33:00Z,48.00,52.00
2026-01-06T05:36:00Z,51.00,52.00
2026-01-06T05:38:00Z,51.00,49.39
2026-01-06T05:39:00Z,52.00,50.40
2026-01-06T05:40:00Z,51.81,50.92
2026-01-06T05:41:00Z,52.27,50.68
2026-01-06T05:42:00Z,56.89,52.00
2026-01-06T05:43:00Z,58.00,48.26
2026-01-06T05:44:00Z,68.15,44.42
2026-01-06T05:45:00Z,71.20,34.47
2026-01-06T05:46:00Z,64.85,34.43
2026-01-06T05:47:00Z,57.07,45.03
2026-01-06T05:48:00Z,61.62,39.60
2026-01-06T05:49:00Z,60.03,45.10
2026-01-06T05:50:00Z,68.47,33.98
2026-01-06T05:51:00Z,67.99,33.72
2026-01-06T05:52:00Z,67.34,34.58
2026-01-06T05:53:00Z,70.08,33.27
2026-01-06T05:54:00Z,68.60,34.83
2026-01-06T05:55:00Z,64.71,43.17
2026-01-06T05:56:00Z,70.19,31.15
2026-01-06T05:57:00Z,76.63,30.69
2026-01-06T05:58:00Z,71.86,31.27
2026-01-06T05:59:00Z,68.12,34.00
2026-01-06T06:00:00Z,68.38,44.13
2026-01-06T06:01:00Z,74.23,32.09
2026-01-06T06:02:00Z,73.09,39.12
2026-01-06T06:03:00Z,72.60,30.43
2026-01-06T06:04:00Z,74.86,26.59
2026-01-06T06:05:00Z,77.20,24.76
2026-01-06T06:06:00Z,78.15,21.00
2026-01-06T06:07:00Z,76.00,24.33
2026-01-06T06:08:00Z,77.00,26.97
2026-01-06T06:09:00Z,71.98,30.40
2026-01-06T06:10:00Z,71.82,32.00
2026-01-06T06:11:00Z,72.03,35.79
2026-01-06T06:12:00Z,65.42,36.22
2026-01-06T06:13:00Z,69.82,31.09
2026-01-06T06:14:00Z,73.00,28.97
2026-01-06T06:15:00Z,74.78,33.46
2026-01-06T06:16:00Z,67.77,32.38
2026-01-06T06:17:00Z,68.13,31.13
2026-01-06T06:18:00Z,71.23,30.09
2026-01-06T06:19:00Z,74.02,28.00
2026-01-06T06:20:00Z,72.35,28.60
2026-01-06T06:21:00Z,74.06,28.00
2026-01-06T06:22:00Z,72.05,28.00
2026-01-06T06:23:00Z,72.00,29.67
2026-01-06T06:24:00Z,72.00,30.00
2026-01-06T06:25:00Z,70.56,30.02
2026-01-06T06:26:00Z,73.39,28.81
2026-01-06T06:27:00Z,76.33,25.00
2026-01-06T06:28:00Z,76.85,25.32
2026-01-06T06:29:00Z,75.74,26.00
2026-01-06T06:30:00Z,76.57,25.06
2026-01-06T06:31:00Z,74.27,25.02
2026-01-06T06:32:00Z,74.63,27.91
2026-01-06T06:33:00Z,72.84,29.47
2026-01-06T06:34:00Z,70.24,32.30
2026-01-06T06:35:00Z,73.84,34.83
2026-01-06T06:36:00Z,59.53,42.17
2026-01-06T06:37:00Z,55.83,45.08
2026-01-06T06:38:00Z,56.98,46.50
2026-01-06T06:39:00Z,53.83,49.56
2026-01-06T06:40:00Z,51.88,48.92
2026-01-06T06:41:00Z,52.92,48.14
2026-01-06T06:42:00Z,53.08,49.09
2026-01-06T06:43:00Z,52.53,45.56
2026-01-06T06:44:00Z,55.60,45.15
2026-01-06T06:45:00Z,55.62,45.93
2026-01-06T06:46:00Z,58.71,43.63
2026-01-06T06:47:00Z,62.18,40.93
2026-01-06T06:48:00Z,69.35,30.60
2026-01-06T06:49:00Z,77.24,26.30
2026-01-06T06:50:00Z,75.10,24.73
2026-01-06T06:51:00Z,77.31,22.58
2026-01-06T06:52:00Z,80.22,20.12
2026-01-06T06:53:00Z,81.86,18.88
2026-01-06T06:54:00Z,82.91,18.19
2026-01-06T06:55:00Z,87.76,12.31
2026-01-06T06:56:00Z,80.07,15.49
2026-01-06T06:57:00Z,78.52,21.05
2026-01-06T06:58:00Z,76.23,24.18
2026-01-06T06:59:00Z,76.38,26.00
2026-01-06T07:00:00Z,75.17,24.76
2026-01-06T07:01:00Z,79.00,22.06
2026-01-06T07:02:00Z,81.23,20.07
2026-01-06T07:03:00Z,78.25,22.89
2026-01-06T07:04:00Z,73.93,27.20
2026-01-06T07:05:00Z,75.00,26.18
2026-01-06T07:06:00Z,75.00,26.42
2026-01-06T07:07:00Z,76.14,25.06
2026-01-06T07:08:00Z,80.58,19.50
2026-01-06T07:09:00Z,84.25,17.06
2026-01-06T07:10:00Z,83.22,17.49
2026-01-06T07:11:00Z,88.77,11.37
2026-01-06T07:12:00Z,84.81,13.13
2026-01-06T07:13:00Z,81.84,22.07
2026-01-06T07:14:00Z,78.99,20.73
2026-01-06T07:15:00Z,92.52,8.01
2026-01-06T07:16:00Z,96.92,3.70
2026-01-06T07:17:00Z,97.23,3.04
2026-01-06T07:18:00Z,94.51,6.39
2026-01-06T07:19:00Z,95.94,5.82
2026-01-06T07:20:00Z,97.27,2.99
2026-01-06T07:21:00Z,98.25,2.31
2026-01-06T07:22:00Z,98.99,2.60
2026-01-06T07:23:00Z,97.96,2.70
2026-01-06T07:24:00Z,96.41,7.94
2026-01-06T07:25:00Z,95.24,4.14
2026-01-06T07:26:00Z,98.99,1.23
2026-01-06T07:27:00Z,99.00,1.23
2026-01-06T07:28:00Z,99.00,1.23
2026-01-06T07:29:00Z,99.00,1.23
2026-01-06T07:30:00Z,99.00,1.23
2026-01-06T07:31:00Z,99.00,1.23
