# event_ticker=KXATPMATCH-25JUL16NANSHA
# final_score=6-1 6-2
# match_winner=Denis Shapovalov
# fav_player=Denis Shapovalov
# dog_player=Govind Nanda
# kalshi_date=2025-07-16
timestamp,Denis Shapovalov,Govind Nanda
2025-07-16T14:06:00Z,77.00,
2025-07-16T14:19:00Z,77.00,24.00
2025-07-16T15:28:00Z,78.00,24.00
2025-07-16T15:32:00Z,78.00,23.31
2025-07-16T16:06:00Z,81.00,23.31
2025-07-16T17:09:00Z,81.00,5.00
2025-07-16T17:14:00Z,81.00,22.00
2025-07-16T17:17:00Z,80.00,22.00
2025-07-16T17:48:00Z,80.00,22.00
2025-07-16T18:05:00Z,80.00,22.00
2025-07-16T18:18:00Z,80.00,22.00
2025-07-16T18:53:00Z,80.00,22.00
2025-07-16T19:35:00Z,80.00,22.00
2025-07-16T19:44:00Z,80.00,22.00
2025-07-16T19:53:00Z,80.00,22.00
2025-07-16T20:04:00Z,80.00,22.00
2025-07-16T20:43:00Z,80.00,22.00
2025-07-16T21:01:00Z,80.00,22.00
2025-07-16T21:03:00Z,80.00,22.00
2025-07-16T21:05:00Z,80.00,22.00
2025-07-16T21:35:00Z,80.00,22.00
2025-07-16T21:37:00Z,80.00,22.00
2025-07-16T21:39:00Z,81.00,22.00
2025-07-16T21:51:00Z,80.00,22.00
2025-07-16T21:53:00Z,80.00,22.00
2025-07-16T21:58:00Z,81.00,22.00
2025-07-16T22:20:00Z,81.00,21.00
2025-07-16T22:30:00Z,81.00,21.00
2025-07-16T22:46:00Z,81.00,21.00
2025-07-16T23:29:00Z,81.00,21.00
2025-07-16T23:39:00Z,81.00,21.00
2025-07-16T23:42:00Z,81.00,21.00
2025-07-16T23:55:00Z,80.00,21.00
2025-07-17T00:14:00Z,80.00,21.00
2025-07-17T00:26:00Z,80.00,21.00
2025-07-17T00:34:00Z,80.00,21.00
2025-07-17T00:49:00Z,80.00,21.00
2025-07-17T00:52:00Z,80.00,21.00
2025-07-17T01:00:00Z,80.00,21.00
2025-07-17T01:01:00Z,80.00,21.50
2025-07-17T01:06:00Z,80.00,21.00
2025-07-17T01:10:00Z,80.00,21.00
2025-07-17T01:11:00Z,81.00,19.09
2025-07-17T01:12:00Z,83.00,19.09
2025-07-17T01:13:00Z,83.00,21.20
2025-07-17T01:14:00Z,87.91,18.57
2025-07-17T01:15:00Z,88.00,18.57
2025-07-17T01:16:00Z,92.98,18.57
2025-07-17T01:18:00Z,92.00,18.57
2025-07-17T01:23:00Z,92.00,9.00
2025-07-17T01:24:00Z,94.00,9.00
2025-07-17T01:25:00Z,93.00,14.00
2025-07-17T01:27:00Z,87.39,12.00
2025-07-17T01:28:00Z,87.39,13.00
2025-07-17T01:31:00Z,95.00,8.00
2025-07-17T01:34:00Z,95.00,7.00
2025-07-17T01:35:00Z,95.00,7.00
2025-07-17T01:40:00Z,99.00,7.00
2025-07-17T01:41:00Z,99.00,1.95
2025-07-17T01:43:00Z,99.00,2.00
2025-07-17T01:44:00Z,99.00,2.57
2025-07-17T01:45:00Z,99.00,2.57
2025-07-17T01:46:00Z,99.00,2.00
2025-07-17T01:47:00Z,99.00,1.00
2025-07-17T02:06:00Z,99.00,2.00
2025-07-17T02:07:00Z,99.00,2.00
2025-07-17T02:08:00Z,99.00,2.00
2025-07-17T02:10:00Z,99.00,1.00
