# event_ticker=KXATPMATCH-25SEP18MISMPE
# final_score=3-6 6-1 6-4
# score_resolution=6-3 1-6 4-6
# match_winner=Giovanni Mpetshi Perricard
# fav_player=Filip Misolic
# dog_player=Giovanni Mpetshi Perricard
# kalshi_date=2025-09-18
timestamp,Filip Misolic,Giovanni Mpetshi Perricard
2025-09-17T19:14:00Z,39.00,
2025-09-17T19:17:00Z,39.00,63.00
2025-09-17T19:41:00Z,39.00,63.53
2025-09-17T19:43:00Z,39.00,64.00
2025-09-17T19:45:00Z,39.00,64.00
2025-09-17T20:43:00Z,39.00,64.00
2025-09-17T21:02:00Z,39.00,64.00
2025-09-17T21:05:00Z,39.00,64.00
2025-09-17T21:08:00Z,39.00,64.00
2025-09-17T21:12:00Z,39.00,64.00
2025-09-17T21:13:00Z,39.00,64.00
2025-09-17T21:16:00Z,39.00,64.00
2025-09-17T21:33:00Z,39.00,64.00
2025-09-17T21:35:00Z,37.00,64.00
2025-09-17T21:38:00Z,36.00,64.00
2025-09-17T21:42:00Z,36.00,64.00
2025-09-17T21:43:00Z,36.00,64.00
2025-09-17T21:58:00Z,37.00,64.00
2025-09-17T22:14:00Z,37.00,64.00
2025-09-17T22:16:00Z,37.00,64.00
2025-09-17T22:19:00Z,37.00,64.00
2025-09-17T22:36:00Z,37.00,64.00
2025-09-17T22:37:00Z,37.00,64.00
2025-09-17T22:39:00Z,37.00,64.00
2025-09-17T23:03:00Z,37.00,64.00
2025-09-17T23:08:00Z,37.00,63.00
2025-09-17T23:10:00Z,38.00,63.00
2025-09-17T23:13:00Z,38.00,63.00
2025-09-17T23:23:00Z,38.00,63.00
2025-09-17T23:24:00Z,38.00,61.00
2025-09-17T23:25:00Z,38.00,61.00
2025-09-17T23:26:00Z,38.00,61.00
2025-09-17T23:37:00Z,38.00,61.00
2025-09-17T23:39:00Z,39.71,61.00
2025-09-17T23:51:00Z,40.00,61.00
2025-09-17T23:59:00Z,40.00,61.00
2025-09-18T00:46:00Z,40.00,61.00
2025-09-18T01:00:00Z,40.00,61.00
2025-09-18T01:08:00Z,40.00,61.00
2025-09-18T01:13:00Z,40.00,61.00
2025-09-18T01:17:00Z,40.00,61.00
2025-09-18T01:20:00Z,40.00,61.00
2025-09-18T01:25:00Z,40.00,61.00
2025-09-18T01:26:00Z,40.00,61.00
2025-09-18T01:31:00Z,40.00,61.00
2025-09-18T01:33:00Z,40.00,61.00
2025-09-18T01:44:00Z,40.00,61.00
2025-09-18T01:51:00Z,40.00,61.00
