# event_ticker=KXATPCHALLENGERMATCH-26APR30SVRFER
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Dalibor Svrcina
# fav_player=Frederico Ferreira Silva
# dog_player=Dalibor Svrcina
# kalshi_date=2026-04-30
timestamp,Dalibor Svrcina,Frederico Ferreira Silva
2026-04-30T02:54:00Z,77.00,
2026-04-30T04:03:00Z,76.00,
2026-04-30T04:54:00Z,75.00,
2026-04-30T05:02:00Z,76.00,
2026-04-30T06:17:00Z,76.00,24.00
2026-04-30T09:05:00Z,76.00,25.00
2026-04-30T09:24:00Z,76.00,25.00
2026-04-30T10:18:00Z,75.00,25.00
2026-04-30T10:36:00Z,76.00,25.00
2026-04-30T11:02:00Z,76.00,25.00
2026-04-30T11:47:00Z,76.00,25.00
2026-04-30T11:53:00Z,76.00,25.00
2026-04-30T12:47:00Z,76.00,25.00
2026-04-30T13:17:00Z,76.00,25.00
2026-04-30T13:35:00Z,76.00,25.00
2026-04-30T13:36:00Z,76.00,24.00
2026-04-30T13:39:00Z,77.00,24.00
2026-04-30T13:58:00Z,77.00,24.00
2026-04-30T14:02:00Z,77.00,24.00
2026-04-30T14:04:00Z,78.00,24.00
2026-04-30T14:06:00Z,78.00,24.00
2026-04-30T14:07:00Z,78.00,24.00
2026-04-30T14:13:00Z,78.00,23.00
2026-04-30T14:14:00Z,78.00,23.00
2026-04-30T14:17:00Z,78.00,23.19
2026-04-30T14:18:00Z,77.20,23.19
2026-04-30T14:19:00Z,77.20,23.00
2026-04-30T14:26:00Z,77.20,23.00
2026-04-30T14:28:00Z,78.00,23.00
2026-04-30T14:32:00Z,78.00,23.00
2026-04-30T14:33:00Z,78.00,23.00
2026-04-30T14:37:00Z,78.00,24.00
2026-04-30T14:38:00Z,78.00,24.00
2026-04-30T14:39:00Z,78.00,24.00
2026-04-30T14:41:00Z,78.00,24.00
2026-04-30T14:42:00Z,78.00,24.00
2026-04-30T14:43:00Z,78.00,24.00
2026-04-30T14:44:00Z,80.79,22.00
2026-04-30T14:47:00Z,80.79,20.33
2026-04-30T14:48:00Z,80.79,19.00
2026-04-30T14:50:00Z,82.00,19.00
2026-04-30T14:51:00Z,83.00,17.89
2026-04-30T14:52:00Z,81.01,20.56
2026-04-30T14:53:00Z,85.79,16.77
2026-04-30T14:54:00Z,82.03,16.00
2026-04-30T14:55:00Z,84.00,15.93
2026-04-30T14:56:00Z,84.00,17.93
2026-04-30T14:57:00Z,82.00,19.00
2026-04-30T14:58:00Z,80.44,21.00
2026-04-30T14:59:00Z,80.20,19.12
2026-04-30T15:00:00Z,83.00,17.08
2026-04-30T15:01:00Z,85.67,12.42
2026-04-30T15:02:00Z,86.13,13.51
2026-04-30T15:03:00Z,83.98,15.11
2026-04-30T15:04:00Z,83.06,17.48
2026-04-30T15:05:00Z,83.06,19.97
2026-04-30T15:06:00Z,80.00,21.00
2026-04-30T15:07:00Z,82.67,18.39
2026-04-30T15:08:00Z,83.26,18.00
2026-04-30T15:09:00Z,83.26,20.75
2026-04-30T15:10:00Z,80.52,22.72
2026-04-30T15:11:00Z,79.00,21.95
2026-04-30T15:12:00Z,83.46,18.81
2026-04-30T15:13:00Z,85.00,18.73
2026-04-30T15:14:00Z,79.00,20.36
2026-04-30T15:15:00Z,80.02,20.00
2026-04-30T15:16:00Z,82.30,18.04
2026-04-30T15:17:00Z,80.00,19.96
2026-04-30T15:18:00Z,80.00,21.69
2026-04-30T15:19:00Z,83.00,18.12
2026-04-30T15:20:00Z,81.92,19.47
2026-04-30T15:21:00Z,81.06,19.10
2026-04-30T15:22:00Z,80.66,22.00
2026-04-30T15:23:00Z,80.66,21.65
2026-04-30T15:24:00Z,80.00,22.63
2026-04-30T15:25:00Z,76.66,22.56
2026-04-30T15:26:00Z,77.22,24.06
2026-04-30T15:27:00Z,74.31,27.48
2026-04-30T15:28:00Z,68.63,32.53
2026-04-30T15:29:00Z,71.73,30.46
2026-04-30T15:30:00Z,76.62,26.71
2026-04-30T15:31:00Z,75.00,24.97
2026-04-30T15:32:00Z,77.06,24.08
2026-04-30T15:33:00Z,79.00,21.97
2026-04-30T15:34:00Z,78.10,21.37
2026-04-30T15:35:00Z,81.00,19.92
2026-04-30T15:36:00Z,80.08,19.26
2026-04-30T15:37:00Z,78.02,21.37
2026-04-30T15:38:00Z,82.68,19.92
2026-04-30T15:39:00Z,85.54,14.55
2026-04-30T15:40:00Z,88.71,12.39
2026-04-30T15:41:00Z,87.00,14.20
2026-04-30T15:42:00Z,85.00,16.43
2026-04-30T15:43:00Z,78.00,21.78
2026-04-30T15:44:00Z,79.00,22.00
2026-04-30T15:45:00Z,78.21,20.76
2026-04-30T15:46:00Z,82.25,17.68
2026-04-30T15:47:00Z,85.57,15.21
2026-04-30T15:48:00Z,88.02,12.69
2026-04-30T15:49:00Z,89.83,10.00
2026-04-30T15:50:00Z,91.00,11.08
2026-04-30T15:51:00Z,88.29,13.31
2026-04-30T15:52:00Z,85.29,13.86
2026-04-30T15:53:00Z,89.57,11.95
2026-04-30T15:54:00Z,89.73,10.10
2026-04-30T15:55:00Z,90.06,10.00
2026-04-30T15:56:00Z,91.00,9.84
2026-04-30T15:57:00Z,91.00,10.00
2026-04-30T15:58:00Z,91.00,10.00
2026-04-30T15:59:00Z,91.00,10.00
2026-04-30T16:00:00Z,91.85,10.19
2026-04-30T16:01:00Z,88.04,11.92
2026-04-30T16:02:00Z,86.01,14.00
2026-04-30T16:03:00Z,86.00,14.04
2026-04-30T16:04:00Z,85.98,14.25
2026-04-30T16:05:00Z,88.24,12.15
2026-04-30T16:06:00Z,89.64,11.00
2026-04-30T16:07:00Z,88.00,12.95
2026-04-30T16:08:00Z,86.00,14.43
2026-04-30T16:09:00Z,85.00,15.05
2026-04-30T16:10:00Z,85.00,15.55
2026-04-30T16:11:00Z,86.13,14.70
2026-04-30T16:12:00Z,86.42,15.39
2026-04-30T16:13:00Z,82.01,19.67
2026-04-30T16:14:00Z,87.00,13.28
2026-04-30T16:15:00Z,87.38,14.04
2026-04-30T16:16:00Z,88.25,12.51
2026-04-30T16:17:00Z,89.74,10.01
2026-04-30T16:18:00Z,84.39,15.49
2026-04-30T16:19:00Z,84.00,16.98
2026-04-30T16:20:00Z,84.20,16.73
2026-04-30T16:21:00Z,81.15,18.38
2026-04-30T16:22:00Z,83.75,16.68
2026-04-30T16:23:00Z,85.40,16.93
2026-04-30T16:24:00Z,80.47,20.74
2026-04-30T16:25:00Z,85.30,17.57
2026-04-30T16:26:00Z,86.92,13.32
2026-04-30T16:27:00Z,90.01,11.69
2026-04-30T16:28:00Z,87.31,12.56
2026-04-30T16:29:00Z,87.00,14.96
