# event_ticker=KXATPCHALLENGERMATCH-26APR14HOUKOL
# final_score=6-2 6-3
# score_resolution=2-6 3-6
# match_winner=Max Houkes
# fav_player=Zdenek Kolar
# dog_player=Max Houkes
# kalshi_date=2026-04-14
timestamp,Zdenek Kolar,Max Houkes
2026-04-13T22:30:00Z,55.00,
2026-04-13T22:37:00Z,55.00,50.00
2026-04-13T23:16:00Z,54.31,50.00
2026-04-14T00:07:00Z,50.00,50.00
2026-04-14T03:07:00Z,55.00,50.00
2026-04-14T03:12:00Z,55.00,48.00
2026-04-14T03:26:00Z,55.00,48.00
2026-04-14T04:15:00Z,55.91,48.00
2026-04-14T04:29:00Z,56.00,48.00
2026-04-14T05:24:00Z,56.00,48.00
2026-04-14T05:42:00Z,56.00,48.00
2026-04-14T06:15:00Z,56.00,48.00
2026-04-14T06:27:00Z,56.00,48.00
2026-04-14T07:36:00Z,56.00,48.00
2026-04-14T07:37:00Z,56.04,48.00
2026-04-14T07:51:00Z,56.04,46.00
2026-04-14T08:55:00Z,56.00,46.00
2026-04-14T09:51:00Z,56.00,46.00
2026-04-14T09:52:00Z,56.00,46.00
2026-04-14T09:56:00Z,56.57,46.00
2026-04-14T09:57:00Z,57.00,46.00
2026-04-14T10:04:00Z,56.00,46.00
2026-04-14T10:08:00Z,56.00,46.00
2026-04-14T10:12:00Z,56.00,42.00
2026-04-14T10:15:00Z,58.01,42.62
2026-04-14T10:16:00Z,56.67,45.00
2026-04-14T10:20:00Z,58.61,45.00
2026-04-14T10:22:00Z,54.00,46.00
2026-04-14T10:23:00Z,54.00,50.00
2026-04-14T10:24:00Z,47.73,52.96
2026-04-14T10:25:00Z,40.00,59.00
2026-04-14T10:26:00Z,35.00,65.00
2026-04-14T10:29:00Z,37.43,65.00
2026-04-14T10:30:00Z,34.00,66.64
2026-04-14T10:31:00Z,33.00,67.00
2026-04-14T10:32:00Z,33.00,68.52
2026-04-14T10:34:00Z,25.00,75.00
2026-04-14T10:35:00Z,23.16,75.00
2026-04-14T10:36:00Z,27.00,75.00
2026-04-14T10:37:00Z,29.25,70.00
2026-04-14T10:38:00Z,28.00,73.08
2026-04-14T10:39:00Z,27.00,75.00
2026-04-14T10:43:00Z,24.00,75.00
2026-04-14T10:45:00Z,23.63,75.00
2026-04-14T10:46:00Z,27.00,75.00
2026-04-14T10:49:00Z,27.00,75.00
2026-04-14T10:50:00Z,29.00,75.00
2026-04-14T10:51:00Z,29.00,75.00
2026-04-14T10:52:00Z,29.00,72.38
2026-04-14T10:53:00Z,29.00,75.67
2026-04-14T10:54:00Z,23.00,75.67
2026-04-14T10:56:00Z,23.00,75.67
2026-04-14T10:57:00Z,24.00,75.00
2026-04-14T10:58:00Z,20.02,79.95
2026-04-14T10:59:00Z,20.02,83.00
2026-04-14T11:00:00Z,18.23,83.00
2026-04-14T11:03:00Z,21.19,78.54
2026-04-14T11:04:00Z,21.19,80.37
2026-04-14T11:05:00Z,16.00,82.00
2026-04-14T11:06:00Z,16.00,80.00
2026-04-14T11:08:00Z,21.00,80.00
2026-04-14T11:09:00Z,24.82,80.00
2026-04-14T11:10:00Z,22.00,80.81
2026-04-14T11:11:00Z,18.48,81.27
2026-04-14T11:12:00Z,23.98,81.27
2026-04-14T11:13:00Z,23.98,79.69
2026-04-14T11:14:00Z,19.00,80.73
2026-04-14T11:16:00Z,25.19,77.00
2026-04-14T11:17:00Z,25.19,80.00
2026-04-14T11:18:00Z,25.19,81.23
2026-04-14T11:19:00Z,25.19,83.20
2026-04-14T11:20:00Z,12.27,85.69
2026-04-14T11:21:00Z,8.26,94.19
2026-04-14T11:22:00Z,4.70,96.04
2026-04-14T11:23:00Z,3.00,98.00
2026-04-14T11:24:00Z,2.00,98.00
2026-04-14T11:25:00Z,3.00,98.00
2026-04-14T11:26:00Z,2.00,98.18
2026-04-14T11:27:00Z,1.00,98.00
2026-04-14T11:28:00Z,2.00,98.00
2026-04-14T11:30:00Z,3.00,97.00
2026-04-14T11:31:00Z,3.99,96.59
2026-04-14T11:32:00Z,5.05,96.36
2026-04-14T11:33:00Z,3.00,97.34
2026-04-14T11:34:00Z,2.00,98.49
2026-04-14T11:35:00Z,1.00,99.00
