# event_ticker=KXATPCHALLENGERMATCH-26APR01DENSCH
# final_score=6-1 6-2
# score_resolution=1-6 2-6
# match_winner=Tristan Schoolkate
# fav_player=Corentin Denolly
# dog_player=Tristan Schoolkate
# kalshi_date=2026-04-01
timestamp,Corentin Denolly,Tristan Schoolkate
2026-04-01T12:05:00Z,30.00,
2026-04-01T12:10:00Z,30.00,
2026-04-01T12:15:00Z,30.00,
2026-04-01T12:20:00Z,30.00,
2026-04-01T13:10:00Z,30.00,70.00
2026-04-01T13:35:00Z,30.00,70.00
2026-04-01T14:07:00Z,30.00,68.00
2026-04-01T15:13:00Z,30.00,68.00
2026-04-01T15:54:00Z,30.00,68.00
2026-04-01T15:57:00Z,32.00,68.00
2026-04-01T16:27:00Z,33.00,68.00
2026-04-01T17:36:00Z,33.00,67.00
2026-04-01T17:55:00Z,33.00,67.00
2026-04-01T18:08:00Z,33.00,67.00
2026-04-01T18:16:00Z,33.00,67.00
2026-04-01T18:19:00Z,33.00,67.00
2026-04-01T19:18:00Z,33.00,67.00
2026-04-01T19:20:00Z,33.00,67.00
2026-04-01T19:30:00Z,33.00,67.00
2026-04-01T19:31:00Z,33.00,67.00
2026-04-01T19:32:00Z,32.00,67.00
2026-04-01T20:07:00Z,32.00,67.00
2026-04-01T20:25:00Z,32.00,67.00
2026-04-01T20:26:00Z,32.00,67.00
2026-04-01T20:43:00Z,32.00,67.00
2026-04-01T20:45:00Z,32.00,67.00
2026-04-01T20:47:00Z,32.00,67.00
2026-04-01T20:58:00Z,32.00,67.00
2026-04-01T21:04:00Z,32.00,67.00
2026-04-01T21:05:00Z,32.00,67.42
2026-04-01T21:06:00Z,32.00,68.00
2026-04-01T21:09:00Z,32.00,68.00
2026-04-01T21:10:00Z,32.00,68.00
2026-04-01T21:17:00Z,32.00,68.00
2026-04-01T21:19:00Z,32.00,68.00
2026-04-01T21:20:00Z,32.00,68.00
2026-04-01T21:24:00Z,32.00,68.00
2026-04-01T21:25:00Z,32.00,68.00
2026-04-01T21:26:00Z,32.00,68.00
2026-04-01T21:29:00Z,32.00,68.00
2026-04-01T21:30:00Z,32.00,68.00
2026-04-01T21:33:00Z,33.40,68.00
2026-04-01T21:34:00Z,33.40,69.00
2026-04-01T21:35:00Z,33.46,68.99
2026-04-01T21:36:00Z,33.00,69.00
2026-04-01T21:37:00Z,33.00,69.21
2026-04-01T21:38:00Z,33.00,69.49
2026-04-01T21:39:00Z,33.00,69.68
2026-04-01T21:40:00Z,32.46,70.14
2026-04-01T21:41:00Z,28.91,71.16
2026-04-01T21:42:00Z,30.24,71.24
2026-04-01T21:43:00Z,30.60,71.00
2026-04-01T21:44:00Z,25.72,73.58
2026-04-01T21:45:00Z,27.67,71.53
2026-04-01T21:46:00Z,25.77,75.90
2026-04-01T21:47:00Z,18.60,81.20
2026-04-01T21:48:00Z,17.06,83.45
2026-04-01T21:49:00Z,21.81,79.60
2026-04-01T21:50:00Z,21.33,81.00
2026-04-01T21:51:00Z,21.33,85.00
2026-04-01T21:52:00Z,14.54,85.00
2026-04-01T21:53:00Z,12.00,88.99
2026-04-01T21:54:00Z,10.63,89.78
2026-04-01T21:55:00Z,13.02,87.01
2026-04-01T21:56:00Z,17.00,83.92
2026-04-01T21:57:00Z,15.96,85.03
2026-04-01T21:58:00Z,18.53,82.63
2026-04-01T21:59:00Z,25.62,76.07
2026-04-01T22:00:00Z,16.31,86.07
2026-04-01T22:01:00Z,15.74,85.27
2026-04-01T22:02:00Z,14.00,84.57
2026-04-01T22:03:00Z,13.00,86.08
2026-04-01T22:04:00Z,11.98,88.50
2026-04-01T22:05:00Z,9.00,90.48
2026-04-01T22:06:00Z,8.21,90.97
2026-04-01T22:07:00Z,8.00,91.45
2026-04-01T22:08:00Z,8.00,92.63
2026-04-01T22:09:00Z,8.00,92.18
2026-04-01T22:10:00Z,7.89,93.00
2026-04-01T22:11:00Z,8.12,92.00
2026-04-01T22:12:00Z,8.46,91.93
2026-04-01T22:13:00Z,10.64,89.64
2026-04-01T22:14:00Z,11.16,89.54
2026-04-01T22:15:00Z,8.82,92.10
2026-04-01T22:16:00Z,8.12,92.30
2026-04-01T22:17:00Z,11.65,88.28
2026-04-01T22:18:00Z,12.00,89.04
2026-04-01T22:19:00Z,12.07,87.69
2026-04-01T22:20:00Z,11.33,90.94
2026-04-01T22:21:00Z,10.49,91.00
2026-04-01T22:22:00Z,8.48,91.02
2026-04-01T22:23:00Z,9.69,90.34
2026-04-01T22:24:00Z,8.82,92.80
2026-04-01T22:25:00Z,4.43,96.05
2026-04-01T22:26:00Z,2.58,97.58
2026-04-01T22:27:00Z,3.32,97.96
2026-04-01T22:28:00Z,1.00,98.31
2026-04-01T22:29:00Z,2.00,98.97
2026-04-01T22:30:00Z,1.00,98.98
2026-04-01T22:31:00Z,1.02,98.00
2026-04-01T22:32:00Z,1.00,99.00
2026-04-01T22:33:00Z,1.00,99.00
2026-04-01T22:34:00Z,1.00,99.00
2026-04-01T22:35:00Z,1.00,99.00
2026-04-01T22:36:00Z,1.00,99.00
2026-04-01T22:38:00Z,1.00,99.00
2026-04-01T22:39:00Z,1.00,99.00
2026-04-01T22:40:00Z,1.00,99.00
2026-04-01T22:42:00Z,1.00,99.00
