# event_ticker=KXATPMATCH-26FEB22MENHUR
# final_score=6-4 7-6(7)
# score_resolution=4-6 6-7
# match_winner=Jakub Mensik
# fav_player=Hubert Hurkacz
# dog_player=Jakub Mensik
# kalshi_date=2026-02-22
timestamp,Hubert Hurkacz,Jakub Mensik
2026-02-24T05:06:00Z,,62.00
2026-02-24T05:07:00Z,,62.00
2026-02-24T05:09:00Z,,62.00
2026-02-24T05:11:00Z,,62.00
2026-02-24T05:15:00Z,,62.00
2026-02-24T05:17:00Z,39.00,62.00
2026-02-24T05:19:00Z,39.00,62.00
2026-02-24T05:22:00Z,39.00,62.00
2026-02-24T05:24:00Z,39.00,62.00
2026-02-24T05:33:00Z,39.00,62.00
2026-02-24T05:35:00Z,39.00,62.00
2026-02-24T05:36:00Z,39.00,62.00
2026-02-24T05:38:00Z,39.00,62.00
2026-02-24T05:46:00Z,39.00,62.00
2026-02-24T05:47:00Z,39.00,62.00
2026-02-24T05:53:00Z,39.00,62.00
2026-02-24T05:55:00Z,39.00,62.00
2026-02-24T06:00:00Z,39.00,62.00
2026-02-24T06:05:00Z,39.00,63.00
2026-02-24T06:09:00Z,39.00,63.00
2026-02-24T06:11:00Z,39.00,63.00
2026-02-24T06:13:00Z,39.00,63.00
2026-02-24T06:23:00Z,39.00,63.00
2026-02-24T06:25:00Z,39.00,63.00
2026-02-24T06:32:00Z,39.00,63.00
2026-02-24T06:33:00Z,39.00,63.00
2026-02-24T06:37:00Z,39.00,63.00
2026-02-24T06:38:00Z,39.00,63.00
2026-02-24T06:39:00Z,39.00,63.00
2026-02-24T06:43:00Z,39.00,63.00
2026-02-24T06:49:00Z,39.00,63.00
2026-02-24T06:58:00Z,39.00,61.00
2026-02-24T07:00:00Z,39.00,63.00
2026-02-24T07:03:00Z,39.00,62.00
2026-02-24T07:14:00Z,39.00,62.00
2026-02-24T07:15:00Z,39.00,62.00
2026-02-24T07:22:00Z,39.00,62.00
2026-02-24T07:23:00Z,39.00,62.00
2026-02-24T07:25:00Z,38.00,62.00
2026-02-24T07:28:00Z,38.00,62.00
2026-02-24T07:29:00Z,38.00,62.00
2026-02-24T07:31:00Z,38.00,62.00
2026-02-24T07:36:00Z,38.00,61.00
2026-02-24T07:39:00Z,38.00,62.00
2026-02-24T07:40:00Z,38.00,62.78
2026-02-24T07:45:00Z,38.16,62.78
2026-02-24T07:55:00Z,38.16,63.00
