# event_ticker=KXATPMATCH-26JAN10COMROY
# final_score=6-4 6-4
# match_winner=Francisco Comesana
# fav_player=Francisco Comesana
# dog_player=Valentin Royer
# kalshi_date=2026-01-10
timestamp,Francisco Comesana,Valentin Royer
2026-01-11T15:29:00Z,,51.00
2026-01-11T15:54:00Z,50.00,51.00
2026-01-11T19:45:00Z,50.00,53.00
2026-01-11T19:55:00Z,50.00,53.00
2026-01-11T20:16:00Z,50.00,56.00
2026-01-11T20:28:00Z,50.00,56.00
2026-01-11T20:30:00Z,50.00,56.00
2026-01-11T21:01:00Z,50.00,56.00
2026-01-11T22:03:00Z,50.00,57.00
2026-01-11T22:55:00Z,50.00,55.00
2026-01-11T22:56:00Z,50.00,55.00
2026-01-11T23:00:00Z,50.00,55.00
2026-01-11T23:28:00Z,50.00,55.00
2026-01-11T23:32:00Z,45.00,55.00
2026-01-11T23:41:00Z,45.00,55.00
2026-01-12T00:33:00Z,45.00,55.00
2026-01-12T00:36:00Z,45.00,55.00
2026-01-12T01:05:00Z,45.00,54.00
2026-01-12T01:10:00Z,45.00,55.00
2026-01-12T01:16:00Z,42.13,55.00
2026-01-12T01:18:00Z,42.13,55.00
2026-01-12T01:20:00Z,41.00,55.00
2026-01-12T01:21:00Z,40.30,55.00
2026-01-12T01:23:00Z,39.00,58.00
2026-01-12T01:24:00Z,42.00,57.89
2026-01-12T01:26:00Z,47.45,57.89
2026-01-12T01:27:00Z,47.45,59.00
2026-01-12T01:28:00Z,42.97,60.00
2026-01-12T01:29:00Z,42.00,60.00
2026-01-12T01:30:00Z,48.00,59.00
2026-01-12T01:31:00Z,44.00,58.01
2026-01-12T01:32:00Z,44.00,56.26
2026-01-12T01:33:00Z,44.00,55.00
2026-01-12T01:34:00Z,44.00,54.00
2026-01-12T01:35:00Z,46.00,53.19
2026-01-12T01:36:00Z,49.96,58.00
2026-01-12T01:38:00Z,43.00,56.95
2026-01-12T01:39:00Z,52.00,52.45
2026-01-12T01:40:00Z,59.67,40.00
2026-01-12T01:42:00Z,59.67,36.00
2026-01-12T01:44:00Z,69.00,34.75
2026-01-12T01:45:00Z,69.00,33.00
2026-01-12T01:46:00Z,69.00,33.69
2026-01-12T01:47:00Z,69.00,34.00
2026-01-12T01:50:00Z,69.00,29.18
2026-01-12T01:51:00Z,71.00,29.00
2026-01-12T01:55:00Z,75.00,24.23
2026-01-12T01:56:00Z,75.00,25.00
2026-01-12T02:01:00Z,72.00,29.00
2026-01-12T02:02:00Z,72.00,28.00
2026-01-12T02:03:00Z,74.00,29.00
2026-01-12T02:06:00Z,74.00,27.00
2026-01-12T02:07:00Z,76.98,27.72
2026-01-12T02:08:00Z,81.00,18.00
2026-01-12T02:09:00Z,86.27,15.23
2026-01-12T02:11:00Z,89.78,23.00
2026-01-12T02:12:00Z,91.00,9.46
2026-01-12T02:13:00Z,93.72,9.00
2026-01-12T02:14:00Z,94.00,6.00
2026-01-12T02:15:00Z,94.00,7.00
2026-01-12T02:16:00Z,94.00,9.00
2026-01-12T02:17:00Z,94.00,9.00
2026-01-12T02:18:00Z,94.00,7.82
2026-01-12T02:19:00Z,93.67,7.82
2026-01-12T02:20:00Z,94.00,5.00
2026-01-12T02:21:00Z,94.90,7.33
2026-01-12T02:22:00Z,94.89,7.33
2026-01-12T02:23:00Z,94.78,7.00
2026-01-12T02:25:00Z,94.78,8.00
2026-01-12T02:26:00Z,92.00,10.11
2026-01-12T02:27:00Z,92.00,8.00
2026-01-12T02:28:00Z,94.81,8.08
2026-01-12T02:29:00Z,95.48,5.21
2026-01-12T02:30:00Z,96.00,5.88
2026-01-12T02:31:00Z,96.02,5.80
2026-01-12T02:32:00Z,96.00,5.21
2026-01-12T02:33:00Z,96.00,5.41
2026-01-12T02:34:00Z,96.00,5.08
2026-01-12T02:35:00Z,97.00,4.07
2026-01-12T02:36:00Z,97.33,2.99
2026-01-12T02:37:00Z,97.00,2.97
2026-01-12T02:38:00Z,98.82,1.70
2026-01-12T02:39:00Z,99.00,1.00
2026-01-12T02:40:00Z,99.00,1.00
2026-01-12T02:43:00Z,99.00,1.00
