# event_ticker=KXATPCHALLENGERMATCH-26MAR31HUESAK
# final_score=6-4 6-3
# match_winner=Conner Huertas del Pino
# fav_player=Connor Huertas Del Pino
# dog_player=Pedro Sakamoto
# kalshi_date=2026-03-31
timestamp,Connor Huertas Del Pino,Pedro Sakamoto
2026-03-31T05:48:00Z,31.00,
2026-03-31T06:04:00Z,31.00,71.00
2026-03-31T06:48:00Z,31.00,71.00
2026-03-31T07:01:00Z,31.00,71.00
2026-03-31T11:06:00Z,31.00,71.00
2026-03-31T11:48:00Z,31.00,71.00
2026-03-31T11:59:00Z,31.00,71.00
2026-03-31T13:24:00Z,31.00,71.00
2026-03-31T13:25:00Z,27.00,71.00
2026-03-31T13:34:00Z,27.00,71.00
2026-03-31T13:35:00Z,25.00,78.72
2026-03-31T13:36:00Z,24.52,78.72
2026-03-31T13:37:00Z,28.00,78.72
2026-03-31T14:03:00Z,28.00,72.00
2026-03-31T14:04:00Z,29.00,72.00
2026-03-31T14:11:00Z,25.50,76.97
2026-03-31T14:12:00Z,25.50,76.00
2026-03-31T14:16:00Z,25.00,76.93
2026-03-31T14:21:00Z,27.00,74.00
2026-03-31T14:38:00Z,29.00,74.00
2026-03-31T14:42:00Z,29.00,72.00
2026-03-31T14:45:00Z,29.00,72.00
2026-03-31T14:46:00Z,29.00,72.00
2026-03-31T14:47:00Z,29.00,72.00
2026-03-31T14:48:00Z,29.00,73.00
2026-03-31T14:52:00Z,29.00,74.85
2026-03-31T15:13:00Z,29.38,74.85
2026-03-31T15:16:00Z,29.38,76.72
2026-03-31T15:43:00Z,24.97,80.00
2026-03-31T15:44:00Z,22.57,78.00
2026-03-31T15:50:00Z,28.00,78.00
2026-03-31T15:54:00Z,28.00,78.00
2026-03-31T15:58:00Z,28.05,78.00
2026-03-31T15:59:00Z,24.00,78.00
2026-03-31T16:02:00Z,22.83,78.00
2026-03-31T16:09:00Z,29.33,78.00
2026-03-31T16:10:00Z,31.00,78.00
2026-03-31T16:13:00Z,25.86,81.72
2026-03-31T16:14:00Z,21.84,81.72
2026-03-31T16:15:00Z,23.80,78.00
2026-03-31T16:16:00Z,26.00,78.00
2026-03-31T16:17:00Z,18.50,78.00
2026-03-31T16:18:00Z,25.80,77.40
2026-03-31T16:19:00Z,32.03,70.00
2026-03-31T16:20:00Z,30.83,74.64
2026-03-31T16:21:00Z,36.28,69.04
2026-03-31T16:22:00Z,44.72,55.94
2026-03-31T16:23:00Z,44.65,55.94
2026-03-31T16:24:00Z,44.94,56.00
2026-03-31T16:25:00Z,41.00,56.00
2026-03-31T16:26:00Z,44.41,59.63
2026-03-31T16:27:00Z,48.20,55.33
2026-03-31T16:28:00Z,52.43,51.22
2026-03-31T16:29:00Z,46.74,58.71
2026-03-31T16:30:00Z,41.60,58.71
2026-03-31T16:31:00Z,36.34,58.71
2026-03-31T16:32:00Z,40.93,58.71
2026-03-31T16:33:00Z,45.14,60.27
2026-03-31T16:34:00Z,44.05,60.27
2026-03-31T16:35:00Z,45.62,59.71
2026-03-31T16:36:00Z,46.02,55.83
2026-03-31T16:37:00Z,45.64,55.00
2026-03-31T16:38:00Z,44.90,58.02
2026-03-31T16:39:00Z,44.90,56.00
2026-03-31T16:40:00Z,44.22,55.34
2026-03-31T16:41:00Z,47.66,57.49
2026-03-31T16:42:00Z,47.00,55.00
2026-03-31T16:43:00Z,44.00,55.00
2026-03-31T16:44:00Z,44.00,58.00
2026-03-31T16:45:00Z,35.00,66.81
2026-03-31T16:46:00Z,30.86,62.63
2026-03-31T16:47:00Z,41.92,58.61
2026-03-31T16:48:00Z,46.00,58.00
2026-03-31T16:49:00Z,50.00,48.00
2026-03-31T16:50:00Z,50.51,50.24
2026-03-31T16:51:00Z,50.51,51.63
2026-03-31T16:52:00Z,48.14,51.63
2026-03-31T16:53:00Z,45.74,56.35
2026-03-31T16:54:00Z,47.68,63.77
2026-03-31T16:55:00Z,47.00,58.42
2026-03-31T16:56:00Z,47.63,50.34
2026-03-31T16:57:00Z,52.81,48.60
2026-03-31T16:58:00Z,51.00,50.00
2026-03-31T16:59:00Z,44.83,51.75
2026-03-31T17:00:00Z,53.22,51.75
2026-03-31T17:01:00Z,52.00,52.45
2026-03-31T17:02:00Z,53.00,47.68
2026-03-31T17:03:00Z,53.35,49.00
2026-03-31T17:04:00Z,59.69,40.82
