# event_ticker=KXATPCHALLENGERMATCH-26APR03MARGAK
# final_score=6-1 7-5
# match_winner=Pol Martin Tiffon
# fav_player=Pol Martin Tiffon
# dog_player=Ivan Gakhov
# kalshi_date=2026-04-03
timestamp,Pol Martin Tiffon,Ivan Gakhov
2026-04-02T20:59:00Z,60.00,35.00
2026-04-02T21:58:00Z,60.00,51.40
2026-04-02T22:14:00Z,86.00,51.40
2026-04-02T22:32:00Z,69.00,36.00
2026-04-02T22:43:00Z,55.00,40.00
2026-04-02T22:47:00Z,73.00,32.00
2026-04-02T23:35:00Z,68.00,27.00
2026-04-02T23:36:00Z,73.00,27.00
2026-04-02T23:40:00Z,64.00,31.00
2026-04-03T00:02:00Z,68.00,37.00
2026-04-03T00:06:00Z,69.00,37.00
2026-04-03T00:12:00Z,68.00,25.50
2026-04-03T00:32:00Z,65.00,41.50
2026-04-03T00:34:00Z,66.00,29.00
2026-04-03T00:36:00Z,65.67,29.00
2026-04-03T00:55:00Z,58.00,37.00
2026-04-03T01:14:00Z,31.00,37.00
2026-04-03T01:46:00Z,61.00,42.21
2026-04-03T01:47:00Z,63.00,32.00
2026-04-03T02:14:00Z,64.00,32.00
2026-04-03T03:04:00Z,65.00,32.00
2026-04-03T03:45:00Z,65.00,37.00
2026-04-03T03:49:00Z,65.00,38.00
2026-04-03T04:42:00Z,66.00,38.00
2026-04-03T04:49:00Z,66.00,38.00
2026-04-03T04:50:00Z,60.00,45.00
2026-04-03T04:51:00Z,60.00,41.93
2026-04-03T05:03:00Z,58.57,47.00
2026-04-03T05:20:00Z,58.57,36.12
2026-04-03T05:23:00Z,65.00,36.12
2026-04-03T05:39:00Z,65.00,40.00
2026-04-03T05:48:00Z,63.93,40.00
2026-04-03T05:57:00Z,65.00,40.00
2026-04-03T06:05:00Z,65.96,40.00
2026-04-03T06:12:00Z,65.96,40.00
2026-04-03T06:23:00Z,65.00,40.00
2026-04-03T06:46:00Z,65.00,38.00
2026-04-03T06:52:00Z,65.00,38.00
2026-04-03T07:05:00Z,65.00,38.00
2026-04-03T07:19:00Z,65.00,38.00
2026-04-03T07:36:00Z,65.00,38.00
2026-04-03T07:42:00Z,65.00,38.00
2026-04-03T07:49:00Z,62.00,38.00
2026-04-03T07:56:00Z,63.00,42.23
2026-04-03T08:06:00Z,62.00,40.52
2026-04-03T08:09:00Z,63.00,43.00
2026-04-03T08:30:00Z,60.00,41.04
2026-04-03T08:38:00Z,62.00,40.00
2026-04-03T08:40:00Z,58.00,44.29
2026-04-03T08:41:00Z,57.06,44.88
