# event_ticker=KXATPCHALLENGERMATCH-26MAY19ARNCAN
# final_score=6-2 6-4
# score_resolution=2-6 4-6
# match_winner=Carlo Alberto Caniato
# fav_player=Federico Arnaboldi
# dog_player=Carlo Alberto Caniato
# kalshi_date=2026-05-19
timestamp,Federico Arnaboldi,Carlo Alberto Caniato
2026-05-19T02:50:00Z,49.00,
2026-05-19T06:36:00Z,47.00,
2026-05-19T10:11:00Z,47.00,54.00
2026-05-19T10:38:00Z,48.00,54.00
2026-05-19T11:34:00Z,46.98,54.00
2026-05-19T11:48:00Z,46.98,54.53
2026-05-19T12:39:00Z,47.00,54.53
2026-05-19T13:03:00Z,47.00,54.00
2026-05-19T13:30:00Z,47.00,54.00
2026-05-19T13:33:00Z,47.00,55.00
2026-05-19T13:36:00Z,48.00,55.00
2026-05-19T13:42:00Z,50.97,55.00
2026-05-19T13:43:00Z,56.27,55.00
2026-05-19T13:45:00Z,49.01,55.00
2026-05-19T13:46:00Z,50.00,53.00
2026-05-19T13:47:00Z,51.00,51.00
2026-05-19T13:49:00Z,53.56,51.00
2026-05-19T13:50:00Z,52.00,52.00
2026-05-19T13:51:00Z,49.08,50.01
2026-05-19T13:52:00Z,49.08,52.00
2026-05-19T13:53:00Z,43.14,60.00
2026-05-19T13:54:00Z,45.90,60.00
2026-05-19T13:55:00Z,47.00,54.00
2026-05-19T13:56:00Z,46.93,55.99
2026-05-19T13:57:00Z,47.78,55.83
2026-05-19T13:58:00Z,47.78,51.00
2026-05-19T13:59:00Z,47.00,51.00
2026-05-19T14:00:00Z,47.00,53.76
2026-05-19T14:01:00Z,46.00,55.00
2026-05-19T14:02:00Z,47.32,55.00
2026-05-19T14:03:00Z,42.64,58.61
2026-05-19T14:04:00Z,42.64,62.66
2026-05-19T14:05:00Z,30.01,69.94
2026-05-19T14:06:00Z,31.00,73.14
2026-05-19T14:07:00Z,26.00,74.51
2026-05-19T14:08:00Z,24.00,78.00
2026-05-19T14:09:00Z,24.00,78.00
2026-05-19T14:10:00Z,20.09,79.97
2026-05-19T14:11:00Z,18.00,83.00
2026-05-19T14:12:00Z,16.99,83.00
2026-05-19T14:13:00Z,16.00,83.00
2026-05-19T14:14:00Z,16.00,83.00
2026-05-19T14:15:00Z,15.00,85.02
2026-05-19T14:16:00Z,15.00,85.00
2026-05-19T14:18:00Z,16.00,87.00
2026-05-19T14:19:00Z,14.00,86.93
2026-05-19T14:20:00Z,16.00,87.00
2026-05-19T14:21:00Z,16.00,89.00
2026-05-19T14:23:00Z,15.95,83.31
2026-05-19T14:24:00Z,18.89,81.90
2026-05-19T14:25:00Z,17.00,84.13
2026-05-19T14:26:00Z,17.00,85.10
2026-05-19T14:27:00Z,16.00,85.00
2026-05-19T14:28:00Z,13.00,89.00
2026-05-19T14:29:00Z,12.00,87.60
2026-05-19T14:30:00Z,12.00,88.00
2026-05-19T14:31:00Z,8.54,92.93
2026-05-19T14:32:00Z,7.00,94.00
2026-05-19T14:33:00Z,6.75,94.00
2026-05-19T14:34:00Z,6.75,94.91
2026-05-19T14:35:00Z,5.00,94.00
2026-05-19T14:36:00Z,4.00,96.00
2026-05-19T14:37:00Z,4.15,95.02
2026-05-19T14:38:00Z,4.00,96.08
2026-05-19T14:39:00Z,5.00,96.08
2026-05-19T14:40:00Z,6.00,94.00
2026-05-19T14:41:00Z,6.50,93.65
2026-05-19T14:42:00Z,5.00,95.97
2026-05-19T14:43:00Z,4.00,96.00
2026-05-19T14:44:00Z,3.00,96.00
2026-05-19T14:45:00Z,4.00,96.00
2026-05-19T14:47:00Z,5.00,96.00
2026-05-19T14:48:00Z,7.37,94.77
2026-05-19T14:49:00Z,10.01,88.28
2026-05-19T14:50:00Z,5.00,93.99
2026-05-19T14:51:00Z,3.00,97.05
2026-05-19T14:55:00Z,4.00,97.00
2026-05-19T14:56:00Z,2.34,97.68
2026-05-19T14:57:00Z,3.22,97.70
2026-05-19T14:58:00Z,6.87,93.09
2026-05-19T14:59:00Z,1.15,98.75
2026-05-19T15:00:00Z,1.00,98.75
