# event_ticker=KXATPMATCH-26MAR07BUBKOP
# final_score=3-6 7-6(3) 6-2
# score_resolution=3-6 7-6 6-2
# match_winner=Alexander Bublik
# fav_player=Alexander Bublik
# dog_player=Vit Kopriva
# kalshi_date=2026-03-07
timestamp,Alexander Bublik,Vit Kopriva
2026-03-07T15:43:00Z,78.00,
2026-03-07T15:46:00Z,78.00,
2026-03-07T15:51:00Z,78.00,
2026-03-07T16:02:00Z,79.00,
2026-03-07T16:05:00Z,79.00,
2026-03-07T16:15:00Z,79.00,
2026-03-07T16:30:00Z,79.00,24.00
2026-03-07T16:31:00Z,79.00,24.00
2026-03-07T16:39:00Z,79.00,24.00
2026-03-07T16:41:00Z,79.00,24.00
2026-03-07T16:54:00Z,78.00,24.00
2026-03-07T17:02:00Z,76.00,24.00
2026-03-07T17:06:00Z,77.00,24.00
2026-03-07T17:31:00Z,77.00,24.00
2026-03-07T17:32:00Z,77.00,24.00
2026-03-07T17:33:00Z,77.00,24.00
2026-03-07T17:35:00Z,77.00,24.00
2026-03-07T17:38:00Z,77.00,24.00
2026-03-07T17:39:00Z,77.00,24.00
2026-03-07T17:54:00Z,77.00,24.00
2026-03-07T18:10:00Z,77.00,24.00
2026-03-07T18:15:00Z,78.00,24.00
2026-03-07T18:20:00Z,77.00,24.00
2026-03-07T18:24:00Z,77.00,24.00
2026-03-07T18:27:00Z,77.00,24.00
2026-03-07T18:28:00Z,77.00,24.00
2026-03-07T18:31:00Z,77.00,24.00
2026-03-07T18:33:00Z,77.00,23.94
2026-03-07T18:44:00Z,77.00,23.94
2026-03-07T18:45:00Z,77.00,23.94
2026-03-07T18:53:00Z,77.00,24.00
2026-03-07T19:22:00Z,77.00,24.00
2026-03-07T19:26:00Z,77.00,24.00
2026-03-07T19:31:00Z,77.00,24.00
2026-03-07T19:34:00Z,77.00,24.00
2026-03-07T19:38:00Z,77.00,24.00
2026-03-07T19:39:00Z,77.00,24.00
2026-03-07T19:41:00Z,77.00,24.00
2026-03-07T19:46:00Z,77.00,24.00
2026-03-07T20:11:00Z,77.00,24.00
2026-03-07T20:14:00Z,77.00,25.00
2026-03-07T20:17:00Z,77.00,25.00
2026-03-07T20:18:00Z,77.00,25.00
2026-03-07T20:20:00Z,77.00,25.00
2026-03-07T20:31:00Z,77.00,25.00
2026-03-07T20:35:00Z,77.00,25.00
2026-03-07T20:36:00Z,77.00,24.00
2026-03-07T20:45:00Z,77.00,24.00
