# event_ticker=KXATPMATCH-25NOV12SHEAUG
# final_score=4-6 7-6(7) 7-5
# score_resolution=6-4 6-7 5-7
# match_winner=Felix Auger-Aliassime
# fav_player=Ben Shelton
# dog_player=Felix Auger-Aliassime
# kalshi_date=2025-11-12
timestamp,Ben Shelton,Felix Auger-Aliassime
2025-11-12T01:23:00Z,60.00,
2025-11-12T01:24:00Z,60.00,41.00
2025-11-12T01:31:00Z,60.00,41.00
2025-11-12T01:36:00Z,60.00,41.00
2025-11-12T01:38:00Z,60.00,41.00
2025-11-12T01:39:00Z,60.00,40.00
2025-11-12T01:43:00Z,60.00,41.00
2025-11-12T01:46:00Z,60.00,41.00
2025-11-12T01:48:00Z,60.00,41.00
2025-11-12T01:51:00Z,60.00,41.00
2025-11-12T01:53:00Z,60.00,41.00
2025-11-12T01:57:00Z,60.00,41.00
2025-11-12T01:58:00Z,60.00,41.00
2025-11-12T02:00:00Z,60.00,41.00
2025-11-12T02:01:00Z,60.00,41.00
2025-11-12T02:05:00Z,60.00,41.00
2025-11-12T02:06:00Z,60.00,41.00
2025-11-12T02:07:00Z,60.00,41.00
2025-11-12T02:08:00Z,60.00,41.00
2025-11-12T02:10:00Z,60.00,40.00
2025-11-12T02:13:00Z,60.00,41.00
2025-11-12T02:14:00Z,60.00,42.00
2025-11-12T02:15:00Z,60.00,42.00
2025-11-12T02:22:00Z,60.00,42.00
2025-11-12T02:25:00Z,60.00,42.00
2025-11-12T02:29:00Z,60.00,42.00
2025-11-12T02:30:00Z,60.00,42.00
2025-11-12T02:31:00Z,60.00,43.00
2025-11-12T02:35:00Z,58.06,43.00
2025-11-12T02:36:00Z,58.06,43.00
2025-11-12T02:38:00Z,58.06,44.00
2025-11-12T02:41:00Z,58.00,44.00
2025-11-12T02:42:00Z,58.00,44.00
2025-11-12T02:43:00Z,58.00,44.00
2025-11-12T02:45:00Z,58.00,44.00
2025-11-12T02:46:00Z,58.00,44.00
