# event_ticker=KXATPCHALLENGERMATCH-26MAY13COLBLA
# final_score=6-2 6-1
# score_resolution=2-6 1-6
# match_winner=Raphael Collignon
# fav_player=Geoffrey Blancaneaux
# dog_player=Raphael Collignon
# kalshi_date=2026-05-13
timestamp,Raphael Collignon,Geoffrey Blancaneaux
2026-05-13T02:57:00Z,,13.00
2026-05-13T03:04:00Z,90.00,13.00
2026-05-13T03:16:00Z,87.00,13.00
2026-05-13T03:21:00Z,90.00,13.00
2026-05-13T04:45:00Z,90.00,12.00
2026-05-13T04:50:00Z,90.00,12.00
2026-05-13T05:24:00Z,89.00,12.00
2026-05-13T05:54:00Z,89.00,12.00
2026-05-13T07:00:00Z,89.00,12.45
2026-05-13T07:19:00Z,89.00,12.00
2026-05-13T07:39:00Z,89.00,13.00
2026-05-13T08:51:00Z,89.00,11.54
2026-05-13T09:30:00Z,90.47,10.00
2026-05-13T09:31:00Z,90.00,10.00
2026-05-13T09:38:00Z,90.00,11.00
2026-05-13T10:05:00Z,90.00,11.00
2026-05-13T10:10:00Z,90.00,11.00
2026-05-13T10:15:00Z,90.00,11.00
2026-05-13T10:30:00Z,90.00,11.00
2026-05-13T10:39:00Z,90.00,11.00
2026-05-13T10:43:00Z,90.00,10.00
2026-05-13T10:58:00Z,90.00,11.00
2026-05-13T11:53:00Z,90.00,11.00
2026-05-13T11:54:00Z,90.00,9.00
2026-05-13T11:55:00Z,90.00,12.00
2026-05-13T12:04:00Z,90.00,12.00
2026-05-13T12:07:00Z,90.00,12.00
2026-05-13T12:15:00Z,90.00,12.00
2026-05-13T12:16:00Z,90.00,12.65
2026-05-13T12:17:00Z,90.00,13.00
2026-05-13T12:19:00Z,90.00,13.00
2026-05-13T12:20:00Z,90.00,11.72
2026-05-13T12:21:00Z,88.00,12.39
2026-05-13T12:22:00Z,90.00,12.84
2026-05-13T12:23:00Z,90.18,10.92
2026-05-13T12:24:00Z,90.18,11.70
2026-05-13T12:25:00Z,88.08,13.00
2026-05-13T12:26:00Z,87.45,13.82
2026-05-13T12:27:00Z,88.00,13.17
2026-05-13T12:28:00Z,89.00,13.17
2026-05-13T12:29:00Z,87.00,14.03
2026-05-13T12:30:00Z,88.67,11.89
2026-05-13T12:31:00Z,89.87,12.00
2026-05-13T12:32:00Z,91.03,7.37
2026-05-13T12:33:00Z,91.03,6.91
2026-05-13T12:34:00Z,94.00,7.00
2026-05-13T12:35:00Z,93.00,7.12
2026-05-13T12:36:00Z,93.00,8.67
2026-05-13T12:37:00Z,93.00,9.71
2026-05-13T12:38:00Z,92.00,9.71
2026-05-13T12:39:00Z,93.12,8.00
2026-05-13T12:40:00Z,94.00,6.04
2026-05-13T12:41:00Z,94.00,6.04
2026-05-13T12:42:00Z,94.15,7.00
2026-05-13T12:43:00Z,94.78,5.43
2026-05-13T12:44:00Z,95.50,5.00
2026-05-13T12:45:00Z,96.00,4.00
2026-05-13T12:47:00Z,96.00,3.88
2026-05-13T12:48:00Z,97.00,4.00
2026-05-13T12:49:00Z,97.00,4.00
2026-05-13T12:50:00Z,97.00,4.00
2026-05-13T12:51:00Z,97.00,4.00
2026-05-13T12:52:00Z,97.00,3.99
2026-05-13T12:54:00Z,97.00,3.00
2026-05-13T12:55:00Z,97.00,4.00
2026-05-13T12:56:00Z,97.00,3.04
2026-05-13T12:57:00Z,97.00,4.00
2026-05-13T12:58:00Z,97.00,4.00
2026-05-13T12:59:00Z,97.00,3.00
2026-05-13T13:00:00Z,96.56,4.95
2026-05-13T13:01:00Z,98.00,2.00
2026-05-13T13:02:00Z,98.23,2.00
2026-05-13T13:03:00Z,98.00,2.73
2026-05-13T13:04:00Z,98.00,3.00
2026-05-13T13:05:00Z,98.00,4.88
2026-05-13T13:06:00Z,98.00,7.38
2026-05-13T13:07:00Z,97.00,3.97
2026-05-13T13:08:00Z,97.00,3.00
2026-05-13T13:09:00Z,98.00,2.00
2026-05-13T13:10:00Z,99.00,2.00
2026-05-13T13:11:00Z,99.00,1.00
2026-05-13T13:12:00Z,99.00,2.00
2026-05-13T13:14:00Z,99.00,2.00
2026-05-13T13:15:00Z,98.15,1.07
2026-05-13T13:16:00Z,99.00,1.00
2026-05-13T13:17:00Z,99.00,1.00
2026-05-13T13:18:00Z,99.00,1.00
2026-05-13T13:19:00Z,99.00,1.00
2026-05-13T13:20:00Z,99.00,1.00
2026-05-13T13:21:00Z,99.00,1.00
2026-05-13T13:22:00Z,99.00,1.00
2026-05-13T13:24:00Z,99.00,1.00
