# event_ticker=KXATPMATCH-25AUG20DIAMED
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Hamad Medjedovic
# fav_player=Gabriel Diallo
# dog_player=Hamad Medjedovic
# kalshi_date=2025-08-20
timestamp,Gabriel Diallo,Hamad Medjedovic
2025-08-20T12:04:00Z,58.00,
2025-08-20T12:13:00Z,58.00,
2025-08-20T12:17:00Z,58.00,
2025-08-20T13:17:00Z,55.00,
2025-08-20T13:22:00Z,55.00,47.00
2025-08-20T13:23:00Z,55.00,47.00
2025-08-20T13:38:00Z,55.00,47.00
2025-08-20T14:05:00Z,55.00,46.00
2025-08-20T14:06:00Z,55.00,46.00
2025-08-20T14:07:00Z,56.00,44.00
2025-08-20T14:16:00Z,56.00,44.00
2025-08-20T14:28:00Z,56.00,44.00
2025-08-20T15:13:00Z,55.66,44.00
2025-08-20T15:43:00Z,55.66,44.00
2025-08-20T15:49:00Z,56.00,44.00
2025-08-20T16:29:00Z,56.00,44.00
2025-08-20T17:12:00Z,56.00,45.48
2025-08-20T17:16:00Z,55.00,45.48
2025-08-20T17:19:00Z,55.00,46.00
2025-08-20T17:26:00Z,55.00,46.00
2025-08-20T17:40:00Z,55.00,46.00
2025-08-20T17:50:00Z,55.00,46.00
2025-08-20T18:01:00Z,55.00,46.00
2025-08-20T18:23:00Z,55.00,46.00
2025-08-20T18:25:00Z,55.00,46.00
2025-08-20T19:15:00Z,55.00,46.00
2025-08-20T19:23:00Z,55.00,46.00
2025-08-20T19:34:00Z,55.00,46.00
2025-08-20T19:36:00Z,55.29,46.00
2025-08-20T19:41:00Z,56.00,46.00
2025-08-20T19:42:00Z,56.00,46.00
2025-08-20T19:43:00Z,56.00,46.00
2025-08-20T19:46:00Z,56.00,46.00
2025-08-20T19:47:00Z,56.00,46.00
2025-08-20T19:54:00Z,56.00,46.00
2025-08-20T20:13:00Z,56.00,45.00
2025-08-20T20:15:00Z,57.41,45.00
2025-08-20T20:22:00Z,59.00,44.00
2025-08-20T20:23:00Z,56.00,46.39
2025-08-20T20:24:00Z,55.00,46.39
2025-08-20T20:25:00Z,55.00,46.39
2025-08-20T20:29:00Z,55.00,47.02
2025-08-20T20:32:00Z,75.00,47.02
2025-08-20T20:33:00Z,75.00,49.00
2025-08-20T20:34:00Z,75.00,48.79
2025-08-20T20:35:00Z,72.00,48.00
2025-08-20T20:37:00Z,72.00,49.00
2025-08-20T20:39:00Z,57.28,46.52
2025-08-20T20:40:00Z,52.05,48.68
2025-08-20T20:41:00Z,50.19,49.55
2025-08-20T20:42:00Z,45.00,60.19
2025-08-20T20:43:00Z,45.00,62.19
2025-08-20T20:44:00Z,42.00,60.61
2025-08-20T20:45:00Z,41.19,59.00
2025-08-20T20:46:00Z,36.00,62.19
2025-08-20T20:47:00Z,37.72,65.00
2025-08-20T20:48:00Z,37.00,65.00
2025-08-20T20:49:00Z,36.00,64.64
2025-08-20T20:50:00Z,37.39,64.41
2025-08-20T20:51:00Z,38.00,64.41
2025-08-20T20:52:00Z,38.00,64.41
2025-08-20T20:53:00Z,46.41,61.82
2025-08-20T20:54:00Z,37.33,61.04
2025-08-20T20:55:00Z,35.48,65.04
2025-08-20T20:56:00Z,39.52,64.00
2025-08-20T20:57:00Z,37.00,66.19
2025-08-20T20:58:00Z,34.46,66.00
2025-08-20T20:59:00Z,34.46,67.53
2025-08-20T21:00:00Z,36.66,67.00
2025-08-20T21:01:00Z,36.00,66.00
2025-08-20T21:02:00Z,36.30,66.00
2025-08-20T21:03:00Z,31.39,65.09
2025-08-20T21:04:00Z,37.00,66.92
2025-08-20T21:05:00Z,35.09,67.70
2025-08-20T21:06:00Z,34.91,66.00
2025-08-20T21:07:00Z,37.00,66.00
2025-08-20T21:08:00Z,36.34,66.00
2025-08-20T21:09:00Z,36.00,67.00
2025-08-20T21:10:00Z,37.40,66.00
2025-08-20T21:11:00Z,37.40,68.73
2025-08-20T21:12:00Z,37.40,68.00
2025-08-20T21:13:00Z,33.85,68.83
2025-08-20T21:14:00Z,33.85,70.42
2025-08-20T21:15:00Z,30.00,71.00
2025-08-20T21:16:00Z,33.16,70.00
2025-08-20T21:17:00Z,34.00,68.00
2025-08-20T21:19:00Z,30.36,70.00
2025-08-20T21:20:00Z,30.36,74.47
2025-08-20T21:21:00Z,26.00,74.47
2025-08-20T21:22:00Z,25.69,75.00
2025-08-20T21:23:00Z,26.00,75.00
2025-08-20T21:24:00Z,25.37,76.00
2025-08-20T21:25:00Z,26.00,76.87
2025-08-20T21:26:00Z,25.70,78.55
2025-08-20T21:27:00Z,27.65,78.55
2025-08-20T21:29:00Z,27.45,76.00
2025-08-20T21:32:00Z,28.91,78.00
2025-08-20T21:33:00Z,24.26,76.00
