# event_ticker=KXATPMATCH-25AUG09SAFRUN
# final_score=7-5 7-6(5)
# score_resolution=7-5 7-6
# match_winner=Holger Rune
# fav_player=Holger Rune
# dog_player=Roman Safiullin
# kalshi_date=2025-08-09
timestamp,Holger Rune,Roman Safiullin
2025-08-09T05:12:00Z,75.00,
2025-08-09T05:28:00Z,75.00,31.00
2025-08-09T05:40:00Z,74.00,31.00
2025-08-09T05:47:00Z,74.00,28.00
2025-08-09T06:12:00Z,73.00,28.00
2025-08-09T06:18:00Z,73.00,28.00
2025-08-09T06:20:00Z,74.96,28.59
2025-08-09T06:41:00Z,80.00,26.00
2025-08-09T06:42:00Z,80.00,26.00
2025-08-09T06:53:00Z,80.00,27.17
2025-08-09T06:55:00Z,77.00,27.17
2025-08-09T06:59:00Z,77.00,27.17
2025-08-09T07:00:00Z,77.00,27.17
2025-08-09T07:01:00Z,77.00,27.00
2025-08-09T07:08:00Z,77.00,27.00
2025-08-09T07:46:00Z,77.00,27.00
2025-08-09T07:51:00Z,79.82,27.00
2025-08-09T08:17:00Z,79.00,27.00
2025-08-09T09:32:00Z,80.00,27.00
2025-08-09T10:15:00Z,80.00,27.00
2025-08-09T10:19:00Z,80.00,28.00
2025-08-09T10:29:00Z,80.00,28.00
2025-08-09T10:35:00Z,80.00,28.00
2025-08-09T10:44:00Z,80.00,28.00
2025-08-09T11:00:00Z,80.00,28.00
2025-08-09T11:03:00Z,80.00,28.00
2025-08-09T11:25:00Z,79.00,28.00
2025-08-09T11:33:00Z,79.00,28.00
2025-08-09T12:14:00Z,79.00,28.00
2025-08-09T12:30:00Z,75.00,28.00
2025-08-09T12:32:00Z,75.00,28.00
2025-08-09T12:33:00Z,75.42,28.00
2025-08-09T12:48:00Z,75.00,28.00
2025-08-09T12:49:00Z,75.00,27.00
2025-08-09T12:51:00Z,75.00,27.00
2025-08-09T12:56:00Z,74.00,27.00
2025-08-09T12:59:00Z,74.00,27.00
2025-08-09T13:14:00Z,75.00,27.00
2025-08-09T13:15:00Z,75.00,27.00
2025-08-09T13:20:00Z,73.00,27.00
2025-08-09T13:22:00Z,75.00,27.00
2025-08-09T13:27:00Z,75.00,27.00
2025-08-09T13:30:00Z,75.00,27.00
2025-08-09T13:35:00Z,75.00,27.00
2025-08-09T13:44:00Z,75.00,27.00
2025-08-09T13:54:00Z,75.00,27.00
2025-08-09T13:57:00Z,74.00,27.00
2025-08-09T14:01:00Z,74.00,27.00
2025-08-09T14:08:00Z,74.00,27.00
2025-08-09T14:10:00Z,74.00,27.00
