# event_ticker=KXATPMATCH-26FEB18MARRUB
# final_score=6-2 6-4
# match_winner=Andrey Rublev
# fav_player=Andrey Rublev
# dog_player=Fabian Marozsan
# kalshi_date=2026-02-18
timestamp,Andrey Rublev,Fabian Marozsan
2026-02-18T02:46:00Z,63.00,
2026-02-18T02:49:00Z,63.00,
2026-02-18T02:51:00Z,63.00,
2026-02-18T02:52:00Z,62.00,
2026-02-18T02:59:00Z,62.30,
2026-02-18T03:03:00Z,62.00,
2026-02-18T03:06:00Z,63.00,
2026-02-18T03:08:00Z,62.00,
2026-02-18T03:20:00Z,62.00,
2026-02-18T03:23:00Z,62.00,
2026-02-18T03:26:00Z,62.00,39.00
2026-02-18T03:27:00Z,62.00,40.24
2026-02-18T03:28:00Z,61.00,41.00
2026-02-18T03:29:00Z,61.00,42.00
2026-02-18T03:30:00Z,61.00,42.00
2026-02-18T03:31:00Z,59.14,42.00
2026-02-18T03:32:00Z,60.00,42.00
2026-02-18T03:34:00Z,60.00,42.00
2026-02-18T03:37:00Z,60.00,42.00
2026-02-18T03:40:00Z,60.00,42.00
2026-02-18T03:43:00Z,60.00,42.00
2026-02-18T03:44:00Z,60.00,42.00
2026-02-18T03:45:00Z,60.00,42.00
2026-02-18T03:48:00Z,60.00,42.00
2026-02-18T03:50:00Z,61.00,42.00
2026-02-18T03:51:00Z,60.98,42.00
2026-02-18T03:52:00Z,60.00,42.00
2026-02-18T03:54:00Z,60.00,42.00
2026-02-18T03:55:00Z,60.00,42.00
2026-02-18T03:56:00Z,60.00,40.00
2026-02-18T03:57:00Z,60.00,40.00
2026-02-18T03:58:00Z,60.00,40.00
2026-02-18T04:00:00Z,59.08,40.00
2026-02-18T04:01:00Z,59.00,40.00
2026-02-18T04:02:00Z,59.00,40.00
2026-02-18T04:03:00Z,59.00,40.00
2026-02-18T04:05:00Z,59.00,40.00
2026-02-18T04:06:00Z,58.70,40.00
2026-02-18T04:08:00Z,58.00,40.00
2026-02-18T04:09:00Z,58.00,41.00
2026-02-18T04:10:00Z,58.00,41.00
2026-02-18T04:11:00Z,58.00,41.00
2026-02-18T04:12:00Z,58.69,41.00
2026-02-18T04:13:00Z,60.00,41.00
2026-02-18T04:14:00Z,60.00,42.00
2026-02-18T04:15:00Z,60.00,42.00
