# event_ticker=KXATPCHALLENGERMATCH-26MAY04LAJTOK
# final_score=7-6(2) 6-4
# score_resolution=7-6 6-4
# match_winner=Mark Lajal
# fav_player=Mark Lajal
# dog_player=Renta Tokuda
# kalshi_date=2026-05-04
timestamp,Mark Lajal,Renta Tokuda
2026-05-03T21:32:00Z,,29.00
2026-05-03T22:04:00Z,,29.00
2026-05-03T22:10:00Z,74.00,29.00
2026-05-03T22:46:00Z,75.00,29.00
2026-05-03T22:58:00Z,75.00,29.00
2026-05-03T23:52:00Z,75.00,29.00
2026-05-04T01:50:00Z,75.00,29.00
2026-05-04T02:02:00Z,75.00,26.00
2026-05-04T02:03:00Z,75.00,26.00
2026-05-04T02:07:00Z,75.00,26.00
2026-05-04T02:19:00Z,75.00,26.00
2026-05-04T02:31:00Z,75.00,26.00
2026-05-04T02:41:00Z,75.00,26.00
2026-05-04T03:17:00Z,75.00,26.00
2026-05-04T03:22:00Z,75.00,26.00
2026-05-04T03:55:00Z,75.00,26.00
2026-05-04T03:59:00Z,75.00,26.00
2026-05-04T04:00:00Z,75.00,26.00
2026-05-04T04:13:00Z,75.00,26.00
2026-05-04T04:34:00Z,75.00,26.00
2026-05-04T04:35:00Z,75.00,25.00
2026-05-04T04:48:00Z,75.00,25.00
2026-05-04T04:49:00Z,75.00,25.00
2026-05-04T04:51:00Z,75.00,25.00
2026-05-04T05:08:00Z,75.00,25.00
2026-05-04T05:12:00Z,75.00,27.00
2026-05-04T05:19:00Z,75.00,27.00
2026-05-04T05:20:00Z,75.00,27.00
2026-05-04T05:23:00Z,75.00,27.00
2026-05-04T05:26:00Z,75.00,25.00
2026-05-04T06:12:00Z,75.00,25.00
2026-05-04T06:14:00Z,75.00,26.00
2026-05-04T06:21:00Z,75.00,26.00
2026-05-04T06:33:00Z,75.00,26.00
2026-05-04T06:38:00Z,75.00,26.00
2026-05-04T06:40:00Z,75.00,26.00
2026-05-04T06:59:00Z,75.00,26.00
2026-05-04T07:01:00Z,75.00,26.00
2026-05-04T07:23:00Z,75.00,26.00
2026-05-04T07:30:00Z,75.00,26.00
2026-05-04T07:43:00Z,75.81,26.00
2026-05-04T07:53:00Z,76.00,26.00
2026-05-04T08:10:00Z,76.00,26.00
2026-05-04T08:26:00Z,76.00,26.00
2026-05-04T08:40:00Z,76.00,26.00
2026-05-04T08:51:00Z,76.00,26.00
2026-05-04T08:55:00Z,76.00,25.00
2026-05-04T09:22:00Z,76.00,26.00
2026-05-04T09:24:00Z,76.00,26.00
2026-05-04T09:26:00Z,75.02,24.04
2026-05-04T09:27:00Z,71.95,29.56
2026-05-04T09:28:00Z,65.06,35.00
2026-05-04T09:29:00Z,65.06,39.20
2026-05-04T09:30:00Z,65.00,37.00
2026-05-04T09:31:00Z,65.00,43.87
2026-05-04T09:32:00Z,56.00,46.17
2026-05-04T09:33:00Z,54.00,46.17
2026-05-04T09:34:00Z,55.15,41.52
2026-05-04T09:35:00Z,55.15,43.51
2026-05-04T09:36:00Z,55.15,45.60
2026-05-04T09:37:00Z,55.70,44.00
2026-05-04T09:38:00Z,58.00,44.00
2026-05-04T09:39:00Z,56.82,44.00
2026-05-04T09:40:00Z,63.00,39.00
2026-05-04T09:41:00Z,59.95,46.00
2026-05-04T09:42:00Z,55.02,46.00
2026-05-04T09:43:00Z,63.93,36.00
2026-05-04T09:44:00Z,63.59,36.00
2026-05-04T09:45:00Z,66.00,36.00
2026-05-04T09:46:00Z,59.00,43.00
2026-05-04T09:47:00Z,69.13,30.31
2026-05-04T09:48:00Z,73.53,25.16
2026-05-04T09:50:00Z,76.00,24.19
2026-05-04T09:51:00Z,69.00,26.00
2026-05-04T09:52:00Z,68.97,32.00
2026-05-04T09:53:00Z,68.84,31.00
2026-05-04T09:54:00Z,72.00,28.97
2026-05-04T09:55:00Z,71.00,28.00
2026-05-04T09:56:00Z,71.52,28.15
2026-05-04T09:57:00Z,72.00,28.86
2026-05-04T09:58:00Z,72.00,25.00
2026-05-04T09:59:00Z,72.00,25.00
2026-05-04T10:00:00Z,72.00,25.00
2026-05-04T10:01:00Z,81.00,23.46
2026-05-04T10:02:00Z,79.83,20.00
2026-05-04T10:03:00Z,84.79,13.82
2026-05-04T10:04:00Z,84.81,14.86
2026-05-04T10:05:00Z,86.00,17.42
2026-05-04T10:06:00Z,86.00,21.00
2026-05-04T10:07:00Z,83.26,18.87
2026-05-04T10:08:00Z,85.00,18.87
2026-05-04T10:09:00Z,85.00,19.19
2026-05-04T10:10:00Z,77.00,26.83
2026-05-04T10:11:00Z,77.00,28.00
2026-05-04T10:12:00Z,71.27,28.00
2026-05-04T10:13:00Z,75.68,24.35
2026-05-04T10:14:00Z,72.93,27.14
2026-05-04T10:15:00Z,72.00,28.00
2026-05-04T10:16:00Z,70.53,28.96
2026-05-04T10:17:00Z,72.00,28.96
2026-05-04T10:18:00Z,76.00,25.58
2026-05-04T10:19:00Z,74.00,26.98
2026-05-04T10:20:00Z,69.00,29.89
2026-05-04T10:21:00Z,70.74,29.89
2026-05-04T10:22:00Z,73.00,26.00
2026-05-04T10:23:00Z,73.00,26.83
2026-05-04T10:24:00Z,68.00,29.10
2026-05-04T10:25:00Z,69.26,32.00
2026-05-04T10:26:00Z,67.96,31.41
2026-05-04T10:27:00Z,67.96,26.00
2026-05-04T10:28:00Z,81.42,26.00
2026-05-04T10:29:00Z,83.08,17.29
2026-05-04T10:30:00Z,85.99,17.29
2026-05-04T10:31:00Z,85.99,11.63
2026-05-04T10:32:00Z,88.00,12.42
2026-05-04T10:33:00Z,86.00,14.11
2026-05-04T10:34:00Z,86.00,15.86
2026-05-04T10:35:00Z,86.00,15.00
2026-05-04T10:36:00Z,87.00,14.00
2026-05-04T10:37:00Z,85.19,14.11
2026-05-04T10:38:00Z,87.00,14.00
2026-05-04T10:39:00Z,88.00,11.03
2026-05-04T10:40:00Z,90.00,10.97
2026-05-04T10:41:00Z,87.00,14.53
2026-05-04T10:42:00Z,90.38,6.49
2026-05-04T10:43:00Z,90.38,6.00
2026-05-04T10:44:00Z,93.65,6.00
2026-05-04T10:45:00Z,95.00,5.14
2026-05-04T10:46:00Z,96.00,4.14
2026-05-04T10:47:00Z,93.30,5.44
2026-05-04T10:48:00Z,92.00,9.75
2026-05-04T10:49:00Z,92.83,7.11
2026-05-04T10:50:00Z,92.83,15.00
2026-05-04T10:51:00Z,90.00,12.27
2026-05-04T10:52:00Z,88.81,13.61
2026-05-04T10:53:00Z,83.00,16.89
2026-05-04T10:54:00Z,83.04,16.89
2026-05-04T10:55:00Z,86.81,15.45
2026-05-04T10:56:00Z,86.95,12.84
2026-05-04T10:57:00Z,85.00,15.00
2026-05-04T10:58:00Z,85.00,16.14
2026-05-04T10:59:00Z,83.18,16.96
2026-05-04T11:00:00Z,83.18,19.10
2026-05-04T11:01:00Z,80.00,22.29
2026-05-04T11:02:00Z,82.24,18.00
2026-05-04T11:03:00Z,86.74,12.25
2026-05-04T11:04:00Z,92.66,12.47
2026-05-04T11:05:00Z,95.00,5.49
2026-05-04T11:06:00Z,96.36,4.23
2026-05-04T11:07:00Z,97.95,3.00
2026-05-04T11:08:00Z,98.95,1.72
2026-05-04T11:09:00Z,99.00,1.44
2026-05-04T11:10:00Z,99.00,1.09
2026-05-04T11:11:00Z,99.00,1.09
