# event_ticker=KXATPCHALLENGERMATCH-26FEB17MASENG
# final_score=7-6(5) 6-3
# score_resolution=7-6 6-3
# match_winner=Justin Engel
# fav_player=Justin Engel
# dog_player=Loann Massard
# kalshi_date=2026-02-17
timestamp,Justin Engel,Loann Massard
2026-02-17T06:03:00Z,87.00,17.00
2026-02-17T06:06:00Z,75.00,22.00
2026-02-17T06:07:00Z,85.00,17.00
2026-02-17T06:08:00Z,86.00,17.00
2026-02-17T08:38:00Z,86.00,31.80
2026-02-17T09:03:00Z,85.13,17.22
2026-02-17T09:04:00Z,87.00,17.56
2026-02-17T09:21:00Z,87.00,22.00
2026-02-17T09:48:00Z,87.00,22.00
2026-02-17T09:49:00Z,87.00,22.00
2026-02-17T11:31:00Z,78.00,22.00
2026-02-17T12:09:00Z,78.00,22.00
2026-02-17T12:33:00Z,78.00,22.00
2026-02-17T12:54:00Z,78.00,26.00
2026-02-17T14:24:00Z,76.80,26.00
2026-02-17T14:39:00Z,76.00,26.00
2026-02-17T14:41:00Z,77.00,26.00
2026-02-17T14:47:00Z,75.00,25.50
2026-02-17T14:48:00Z,77.00,23.00
2026-02-17T14:53:00Z,74.00,23.00
2026-02-17T14:58:00Z,77.00,23.00
2026-02-17T14:59:00Z,77.00,23.00
2026-02-17T15:02:00Z,75.00,25.00
2026-02-17T15:03:00Z,77.00,23.00
2026-02-17T15:10:00Z,77.00,25.00
2026-02-17T15:11:00Z,77.00,25.00
2026-02-17T15:22:00Z,74.00,25.00
2026-02-17T15:24:00Z,74.00,23.00
2026-02-17T15:25:00Z,77.00,23.00
2026-02-17T15:27:00Z,77.00,23.00
2026-02-17T15:34:00Z,77.00,23.00
2026-02-17T15:48:00Z,74.00,23.00
2026-02-17T15:50:00Z,74.00,23.00
2026-02-17T15:52:00Z,75.64,23.00
2026-02-17T15:54:00Z,74.00,23.00
2026-02-17T15:55:00Z,77.00,23.00
2026-02-17T16:00:00Z,77.00,23.00
2026-02-17T16:11:00Z,75.00,23.00
2026-02-17T16:14:00Z,77.14,23.00
2026-02-17T16:22:00Z,76.50,23.20
2026-02-17T16:23:00Z,78.00,22.00
2026-02-17T16:36:00Z,78.00,24.00
2026-02-17T16:38:00Z,78.00,24.00
2026-02-17T16:39:00Z,77.88,24.00
2026-02-17T16:48:00Z,77.88,24.00
2026-02-17T16:50:00Z,77.88,22.00
2026-02-17T16:54:00Z,77.88,24.00
2026-02-17T16:55:00Z,77.88,22.67
2026-02-17T16:57:00Z,78.00,22.67
2026-02-17T16:58:00Z,78.00,23.00
2026-02-17T16:59:00Z,78.00,23.00
2026-02-17T17:03:00Z,78.00,23.00
2026-02-17T17:04:00Z,78.00,23.00
2026-02-17T17:06:00Z,78.00,24.00
2026-02-17T17:13:00Z,75.00,24.00
2026-02-17T17:20:00Z,78.00,24.00
2026-02-17T17:21:00Z,78.00,24.00
2026-02-17T17:22:00Z,78.00,24.00
2026-02-17T17:26:00Z,78.00,24.00
2026-02-17T17:27:00Z,78.00,24.00
2026-02-17T17:31:00Z,78.00,24.00
2026-02-17T17:32:00Z,78.00,24.00
2026-02-17T17:33:00Z,78.00,25.00
2026-02-17T17:36:00Z,78.00,25.00
2026-02-17T17:37:00Z,78.00,24.00
2026-02-17T17:39:00Z,78.00,24.00
2026-02-17T17:40:00Z,78.00,24.00
2026-02-17T17:41:00Z,78.00,24.00
2026-02-17T17:44:00Z,78.00,21.89
2026-02-17T17:46:00Z,78.00,24.00
2026-02-17T17:48:00Z,78.00,24.14
2026-02-17T17:50:00Z,78.00,27.00
2026-02-17T17:51:00Z,78.00,29.98
2026-02-17T17:52:00Z,72.00,29.50
2026-02-17T17:55:00Z,72.00,29.50
2026-02-17T17:56:00Z,76.73,29.00
2026-02-17T17:57:00Z,71.00,31.82
2026-02-17T18:00:00Z,63.66,38.00
2026-02-17T18:01:00Z,67.06,32.00
2026-02-17T18:02:00Z,67.06,32.04
2026-02-17T18:03:00Z,72.06,32.04
2026-02-17T18:04:00Z,72.06,31.00
2026-02-17T18:05:00Z,68.00,31.91
2026-02-17T18:06:00Z,65.00,36.88
2026-02-17T18:07:00Z,66.19,36.88
2026-02-17T18:08:00Z,70.00,31.67
2026-02-17T18:09:00Z,71.00,26.92
2026-02-17T18:10:00Z,76.19,25.86
2026-02-17T18:11:00Z,74.82,26.00
2026-02-17T18:12:00Z,66.00,35.00
