# event_ticker=KXATPCHALLENGERMATCH-26APR21BLAYEV
# final_score=7-6(2) 6-1
# score_resolution=6-7 1-6
# match_winner=Dali Blanch
# fav_player=Denis Yevseyev
# dog_player=Dali Blanch
# kalshi_date=2026-04-21
timestamp,Dali Blanch,Denis Yevseyev
2026-04-20T19:20:00Z,,39.00
2026-04-20T19:34:00Z,,39.00
2026-04-20T23:40:00Z,64.00,39.00
2026-04-21T01:04:00Z,64.00,37.03
2026-04-21T01:16:00Z,63.00,37.03
2026-04-21T01:47:00Z,63.00,37.03
2026-04-21T02:11:00Z,63.00,37.03
2026-04-21T03:37:00Z,63.00,37.03
2026-04-21T03:38:00Z,63.00,37.03
2026-04-21T03:57:00Z,63.00,40.00
2026-04-21T04:17:00Z,63.00,40.00
2026-04-21T04:33:00Z,63.00,40.00
2026-04-21T04:51:00Z,63.00,40.00
2026-04-21T05:33:00Z,63.00,40.00
2026-04-21T05:40:00Z,63.00,40.00
2026-04-21T05:50:00Z,63.00,40.00
2026-04-21T05:51:00Z,63.13,40.00
2026-04-21T05:52:00Z,63.00,40.00
2026-04-21T05:59:00Z,63.00,40.00
2026-04-21T06:07:00Z,63.00,40.00
2026-04-21T06:10:00Z,63.00,40.00
2026-04-21T06:13:00Z,64.00,40.00
2026-04-21T06:22:00Z,64.00,40.00
2026-04-21T06:26:00Z,64.00,40.00
2026-04-21T06:28:00Z,64.00,40.00
2026-04-21T06:35:00Z,64.00,38.68
2026-04-21T06:41:00Z,64.52,37.67
2026-04-21T06:43:00Z,65.36,32.34
2026-04-21T06:44:00Z,67.70,33.88
2026-04-21T06:45:00Z,70.00,31.08
2026-04-21T06:46:00Z,70.00,32.78
2026-04-21T06:47:00Z,69.00,33.26
2026-04-21T06:48:00Z,65.77,37.18
2026-04-21T06:49:00Z,63.74,36.86
2026-04-21T06:50:00Z,65.83,38.00
2026-04-21T06:51:00Z,64.66,38.00
2026-04-21T06:52:00Z,64.66,39.18
2026-04-21T06:53:00Z,65.00,38.00
2026-04-21T06:54:00Z,58.53,40.00
2026-04-21T06:55:00Z,59.49,43.68
2026-04-21T06:56:00Z,49.97,45.32
2026-04-21T06:57:00Z,63.36,39.88
2026-04-21T06:58:00Z,63.36,35.98
2026-04-21T06:59:00Z,68.00,35.98
2026-04-21T07:00:00Z,73.26,23.33
2026-04-21T07:01:00Z,77.00,21.13
2026-04-21T07:02:00Z,80.86,21.13
2026-04-21T07:03:00Z,81.00,21.00
2026-04-21T07:05:00Z,81.00,18.92
2026-04-21T07:06:00Z,83.00,19.00
2026-04-21T07:07:00Z,83.09,19.00
2026-04-21T07:10:00Z,83.00,18.00
2026-04-21T07:11:00Z,84.79,18.00
2026-04-21T07:12:00Z,84.00,18.00
2026-04-21T07:13:00Z,84.83,14.64
2026-04-21T07:14:00Z,86.00,15.09
2026-04-21T07:15:00Z,82.11,18.36
2026-04-21T07:16:00Z,82.11,20.06
2026-04-21T07:17:00Z,81.00,20.00
2026-04-21T07:19:00Z,82.00,20.00
2026-04-21T07:20:00Z,79.11,24.34
2026-04-21T07:21:00Z,67.27,33.42
2026-04-21T07:22:00Z,66.07,34.11
2026-04-21T07:23:00Z,62.39,37.55
2026-04-21T07:24:00Z,65.38,37.41
2026-04-21T07:25:00Z,66.07,35.96
2026-04-21T07:26:00Z,66.00,35.03
2026-04-21T07:27:00Z,65.00,37.00
2026-04-21T07:28:00Z,66.15,35.08
2026-04-21T07:29:00Z,62.18,37.19
2026-04-21T07:30:00Z,60.21,39.60
2026-04-21T07:31:00Z,60.35,40.69
2026-04-21T07:32:00Z,68.37,28.66
2026-04-21T07:33:00Z,74.90,24.13
2026-04-21T07:34:00Z,76.00,21.00
2026-04-21T07:35:00Z,76.05,23.43
2026-04-21T07:36:00Z,76.52,25.92
2026-04-21T07:37:00Z,78.03,25.88
2026-04-21T07:38:00Z,76.71,25.61
2026-04-21T07:39:00Z,74.69,23.07
2026-04-21T07:40:00Z,75.31,22.00
2026-04-21T07:41:00Z,76.81,23.03
2026-04-21T07:42:00Z,76.73,24.00
2026-04-21T07:43:00Z,77.27,24.03
2026-04-21T07:44:00Z,81.75,19.25
2026-04-21T07:45:00Z,85.33,14.62
2026-04-21T07:46:00Z,90.35,10.06
2026-04-21T07:47:00Z,92.23,9.09
2026-04-21T07:48:00Z,92.82,5.27
2026-04-21T07:49:00Z,92.19,8.42
2026-04-21T07:50:00Z,93.45,8.62
2026-04-21T07:51:00Z,96.57,5.69
2026-04-21T07:52:00Z,94.32,4.18
2026-04-21T07:53:00Z,93.39,3.88
2026-04-21T07:54:00Z,96.86,3.75
2026-04-21T07:55:00Z,96.98,3.12
2026-04-21T07:56:00Z,97.60,2.97
2026-04-21T07:57:00Z,97.88,1.70
2026-04-21T07:58:00Z,97.08,3.27
2026-04-21T07:59:00Z,98.00,3.44
2026-04-21T08:00:00Z,98.00,2.78
2026-04-21T08:01:00Z,97.60,1.36
2026-04-21T08:02:00Z,98.84,2.00
2026-04-21T08:03:00Z,99.00,1.10
2026-04-21T08:04:00Z,99.00,1.00
2026-04-21T08:05:00Z,99.00,1.00
2026-04-21T08:06:00Z,99.00,1.00
2026-04-21T08:07:00Z,99.00,1.00
2026-04-21T08:10:00Z,99.00,1.00
2026-04-21T08:11:00Z,99.00,1.00
