# event_ticker=KXATPCHALLENGERMATCH-26MAY11MRVCIN
# final_score=6-3 6-7(0) 7-5
# score_resolution=3-6 7-6 5-7
# match_winner=Federico Cina
# fav_player=Maxim Mrva
# dog_player=Federico Cina
# kalshi_date=2026-05-11
timestamp,Maxim Mrva,Federico Cina
2026-05-11T03:48:00Z,41.00,
2026-05-11T06:51:00Z,41.00,61.00
2026-05-11T09:33:00Z,41.00,62.00
2026-05-11T11:20:00Z,41.00,62.00
2026-05-11T12:43:00Z,41.00,62.00
2026-05-11T13:15:00Z,41.00,62.00
2026-05-11T13:48:00Z,41.00,62.00
2026-05-11T14:28:00Z,41.00,63.00
2026-05-11T14:29:00Z,41.00,63.00
2026-05-11T14:38:00Z,41.00,63.00
2026-05-11T14:45:00Z,41.00,63.00
2026-05-11T14:46:00Z,41.00,63.00
2026-05-11T14:54:00Z,41.00,63.00
2026-05-11T15:05:00Z,39.00,63.00
2026-05-11T15:21:00Z,39.00,63.00
2026-05-11T15:27:00Z,41.64,60.00
2026-05-11T15:28:00Z,42.35,58.37
2026-05-11T15:29:00Z,42.00,58.37
2026-05-11T15:32:00Z,42.54,54.53
2026-05-11T15:33:00Z,55.05,46.56
2026-05-11T15:34:00Z,54.14,46.12
2026-05-11T15:35:00Z,59.10,43.00
2026-05-11T15:36:00Z,61.00,43.00
2026-05-11T15:37:00Z,62.07,38.27
2026-05-11T15:38:00Z,63.88,37.00
2026-05-11T15:39:00Z,60.63,39.29
2026-05-11T15:40:00Z,60.00,41.00
2026-05-11T15:41:00Z,59.93,40.62
2026-05-11T15:42:00Z,57.50,50.95
2026-05-11T15:43:00Z,50.71,45.41
2026-05-11T15:44:00Z,56.13,48.22
2026-05-11T15:45:00Z,48.62,51.89
2026-05-11T15:46:00Z,46.00,55.00
2026-05-11T15:47:00Z,43.36,55.60
2026-05-11T15:48:00Z,39.06,59.21
2026-05-11T15:49:00Z,39.23,62.47
2026-05-11T15:50:00Z,31.82,69.38
2026-05-11T15:51:00Z,27.69,76.42
2026-05-11T15:52:00Z,24.00,76.75
2026-05-11T15:53:00Z,20.69,77.81
2026-05-11T15:54:00Z,19.03,80.79
2026-05-11T15:55:00Z,17.00,82.90
2026-05-11T15:56:00Z,14.45,85.82
2026-05-11T15:57:00Z,13.64,87.00
2026-05-11T15:58:00Z,13.00,88.00
2026-05-11T15:59:00Z,13.00,87.25
2026-05-11T16:00:00Z,13.00,88.00
2026-05-11T16:01:00Z,13.25,87.36
2026-05-11T16:02:00Z,13.72,86.91
2026-05-11T16:03:00Z,15.71,84.91
2026-05-11T16:04:00Z,14.01,82.66
2026-05-11T16:05:00Z,12.52,87.03
2026-05-11T16:06:00Z,11.74,88.80
2026-05-11T16:07:00Z,12.48,89.10
2026-05-11T16:08:00Z,9.01,92.17
2026-05-11T16:09:00Z,10.97,89.91
2026-05-11T16:10:00Z,10.43,89.33
2026-05-11T16:11:00Z,12.14,88.26
2026-05-11T16:12:00Z,10.80,89.92
2026-05-11T16:13:00Z,12.81,87.73
2026-05-11T16:14:00Z,16.18,84.12
2026-05-11T16:15:00Z,15.71,82.86
2026-05-11T16:16:00Z,12.13,87.72
2026-05-11T16:17:00Z,12.00,89.00
2026-05-11T16:18:00Z,10.46,89.57
2026-05-11T16:19:00Z,13.78,86.40
2026-05-11T16:20:00Z,17.31,82.98
2026-05-11T16:21:00Z,19.00,80.00
2026-05-11T16:22:00Z,21.97,78.63
2026-05-11T16:23:00Z,27.86,72.07
2026-05-11T16:24:00Z,29.14,70.80
