# event_ticker=KXATPMATCH-25NOV06DJOBOR
# final_score=7-6(1) 6-4
# score_resolution=7-6 6-4
# match_winner=Novak Djokovic
# fav_player=Novak Djokovic
# dog_player=Nuno Borges
# kalshi_date=2025-11-06
timestamp,Novak Djokovic,Nuno Borges
2025-11-06T04:24:00Z,,16.00
2025-11-06T04:25:00Z,,16.00
2025-11-06T04:29:00Z,,16.00
2025-11-06T04:30:00Z,86.00,16.00
2025-11-06T04:34:00Z,86.00,16.00
2025-11-06T04:36:00Z,86.00,16.00
2025-11-06T04:39:00Z,86.00,15.00
2025-11-06T04:49:00Z,86.00,15.00
2025-11-06T04:50:00Z,86.00,16.00
2025-11-06T04:54:00Z,86.00,16.00
2025-11-06T04:59:00Z,86.00,16.00
2025-11-06T05:02:00Z,86.00,16.00
2025-11-06T05:07:00Z,86.00,16.00
2025-11-06T05:20:00Z,86.00,16.00
2025-11-06T05:24:00Z,86.00,16.00
2025-11-06T05:26:00Z,86.00,16.00
2025-11-06T05:27:00Z,86.00,16.00
2025-11-06T05:34:00Z,86.00,16.00
2025-11-06T05:42:00Z,86.00,16.00
2025-11-06T05:44:00Z,86.00,16.00
2025-11-06T05:50:00Z,86.00,16.00
2025-11-06T05:51:00Z,86.00,16.00
2025-11-06T05:52:00Z,86.00,16.00
2025-11-06T05:55:00Z,86.00,16.00
2025-11-06T06:00:00Z,86.00,16.00
2025-11-06T06:04:00Z,86.00,16.00
2025-11-06T06:08:00Z,86.00,16.00
2025-11-06T06:09:00Z,86.00,16.00
2025-11-06T06:11:00Z,86.00,16.00
2025-11-06T06:12:00Z,86.00,16.00
2025-11-06T06:13:00Z,86.00,16.00
2025-11-06T06:16:00Z,86.00,16.00
2025-11-06T06:18:00Z,86.00,16.00
2025-11-06T06:20:00Z,86.00,16.00
2025-11-06T06:22:00Z,86.00,16.00
2025-11-06T06:24:00Z,86.00,16.00
2025-11-06T06:25:00Z,86.00,15.00
2025-11-06T06:27:00Z,86.00,15.00
2025-11-06T06:33:00Z,86.00,16.00
2025-11-06T06:35:00Z,86.00,16.00
