# event_ticker=KXATPMATCH-26MAY18BRAWAW
# final_score=6-2 4-6 7-6(5)
# score_resolution=2-6 6-4 6-7
# match_winner=Stan Wawrinka
# fav_player=Raul Brancaccio
# dog_player=Stan Wawrinka
# kalshi_date=2026-05-18
timestamp,Raul Brancaccio,Stan Wawrinka
2026-05-18T04:38:00Z,,65.00
2026-05-18T04:45:00Z,,65.00
2026-05-18T04:46:00Z,,65.00
2026-05-18T04:58:00Z,,65.00
2026-05-18T05:14:00Z,,65.00
2026-05-18T05:23:00Z,36.00,65.00
2026-05-18T05:26:00Z,36.00,65.00
2026-05-18T05:27:00Z,36.00,65.00
2026-05-18T05:39:00Z,36.00,65.00
2026-05-18T05:51:00Z,36.00,65.00
2026-05-18T05:56:00Z,36.00,65.00
2026-05-18T06:00:00Z,36.00,65.00
2026-05-18T06:01:00Z,36.00,65.00
2026-05-18T06:39:00Z,36.00,65.00
2026-05-18T06:41:00Z,36.00,65.00
2026-05-18T06:42:00Z,36.00,65.00
2026-05-18T06:46:00Z,36.00,65.00
2026-05-18T06:48:00Z,36.00,65.00
2026-05-18T06:57:00Z,36.00,65.00
2026-05-18T07:02:00Z,37.00,65.00
2026-05-18T07:09:00Z,37.00,65.00
2026-05-18T07:22:00Z,36.00,65.00
2026-05-18T07:25:00Z,36.00,65.00
2026-05-18T07:27:00Z,36.00,65.00
2026-05-18T07:51:00Z,36.00,65.00
2026-05-18T08:34:00Z,36.00,65.00
2026-05-18T09:00:00Z,36.00,65.00
2026-05-18T10:06:00Z,36.00,65.00
2026-05-18T10:47:00Z,36.00,65.00
2026-05-18T10:49:00Z,36.00,65.00
2026-05-18T10:53:00Z,36.00,65.00
2026-05-18T11:43:00Z,36.00,66.00
2026-05-18T11:59:00Z,35.00,66.00
2026-05-18T12:17:00Z,35.00,66.00
2026-05-18T12:26:00Z,35.00,66.00
2026-05-18T12:27:00Z,36.00,66.00
2026-05-18T12:33:00Z,36.00,66.00
2026-05-18T12:39:00Z,36.00,66.00
2026-05-18T12:54:00Z,36.00,66.00
2026-05-18T13:07:00Z,36.00,66.00
2026-05-18T13:12:00Z,36.00,66.00
2026-05-18T13:30:00Z,36.00,66.00
2026-05-18T13:35:00Z,36.00,66.00
2026-05-18T13:39:00Z,36.00,66.00
2026-05-18T13:42:00Z,36.00,66.00
2026-05-18T13:50:00Z,36.00,66.00
2026-05-18T13:52:00Z,36.00,66.00
2026-05-18T13:53:00Z,36.00,66.00
2026-05-18T13:55:00Z,36.00,66.00
