# event_ticker=KXATPCHALLENGERMATCH-26MAY01GENMOL
# final_score=6-1 4-6 6-3
# match_winner=Tom Gentzsch
# fav_player=Tom Gentzsch
# dog_player=Rudolf Molleker
# kalshi_date=2026-05-01
timestamp,Tom Gentzsch,Rudolf Molleker
2026-05-01T01:22:00Z,64.00,
2026-05-01T02:16:00Z,64.00,
2026-05-01T02:47:00Z,65.00,
2026-05-01T02:51:00Z,65.00,
2026-05-01T03:22:00Z,65.00,
2026-05-01T03:25:00Z,65.00,
2026-05-01T03:43:00Z,65.00,
2026-05-01T03:52:00Z,65.00,
2026-05-01T03:58:00Z,65.00,
2026-05-01T04:22:00Z,65.00,36.00
2026-05-01T04:24:00Z,65.00,36.00
2026-05-01T04:33:00Z,65.00,35.00
2026-05-01T04:54:00Z,65.00,35.00
2026-05-01T06:15:00Z,64.00,35.00
2026-05-01T06:44:00Z,64.00,35.00
2026-05-01T08:02:00Z,64.00,35.00
2026-05-01T08:04:00Z,64.00,37.00
2026-05-01T08:06:00Z,64.00,37.00
2026-05-01T08:35:00Z,64.00,37.00
2026-05-01T08:48:00Z,64.00,37.00
2026-05-01T09:05:00Z,64.00,37.00
2026-05-01T09:49:00Z,64.00,37.00
2026-05-01T10:14:00Z,64.00,37.00
2026-05-01T10:39:00Z,64.00,37.00
2026-05-01T10:41:00Z,64.00,37.00
2026-05-01T10:46:00Z,64.00,36.00
2026-05-01T11:11:00Z,64.00,36.00
2026-05-01T11:13:00Z,64.00,37.00
2026-05-01T11:15:00Z,64.00,37.00
2026-05-01T11:27:00Z,64.00,37.00
2026-05-01T11:28:00Z,64.00,37.00
2026-05-01T11:32:00Z,64.00,37.00
2026-05-01T11:38:00Z,64.00,37.00
2026-05-01T11:39:00Z,64.00,37.00
2026-05-01T11:41:00Z,64.00,37.00
2026-05-01T11:47:00Z,64.00,37.00
2026-05-01T11:53:00Z,64.00,37.00
2026-05-01T11:55:00Z,64.00,37.00
2026-05-01T12:08:00Z,64.00,37.00
2026-05-01T12:18:00Z,64.00,37.00
2026-05-01T12:19:00Z,64.00,37.00
2026-05-01T12:21:00Z,64.00,38.00
2026-05-01T12:23:00Z,65.00,38.00
2026-05-01T12:26:00Z,65.00,38.00
2026-05-01T12:27:00Z,65.00,38.00
2026-05-01T12:28:00Z,65.00,38.00
2026-05-01T12:30:00Z,65.00,37.11
2026-05-01T12:32:00Z,65.00,37.64
2026-05-01T12:34:00Z,65.00,37.64
