# event_ticker=KXATPCHALLENGERMATCH-26MAR30SHIILA
# final_score=7-5 6-3
# match_winner=Andre Ilagan
# fav_player=Andre Ilagan
# dog_player=Yuta Shimizu
# kalshi_date=2026-03-30
timestamp,Andre Ilagan,Yuta Shimizu
2026-03-30T14:26:00Z,,58.00
2026-03-30T14:32:00Z,,52.00
2026-03-30T15:01:00Z,,57.00
2026-03-30T18:02:00Z,,56.00
2026-03-30T19:38:00Z,,53.00
2026-03-30T19:56:00Z,,53.00
2026-03-30T21:17:00Z,48.00,53.00
2026-03-30T22:41:00Z,48.00,53.00
2026-03-30T22:52:00Z,48.00,53.00
2026-03-30T23:00:00Z,48.00,53.00
2026-03-30T23:07:00Z,48.00,53.00
2026-03-30T23:20:00Z,48.00,53.00
2026-03-30T23:24:00Z,48.00,53.00
2026-03-30T23:36:00Z,48.00,53.00
2026-03-30T23:38:00Z,48.00,53.00
2026-03-31T00:04:00Z,48.00,53.00
2026-03-31T00:18:00Z,48.00,53.00
2026-03-31T00:42:00Z,48.00,53.00
2026-03-31T00:58:00Z,48.00,53.00
2026-03-31T01:17:00Z,48.00,53.00
2026-03-31T01:25:00Z,48.00,56.00
2026-03-31T01:27:00Z,48.00,56.00
2026-03-31T01:29:00Z,48.00,56.41
2026-03-31T01:40:00Z,48.00,56.41
2026-03-31T01:51:00Z,47.98,57.00
2026-03-31T01:53:00Z,49.00,57.00
2026-03-31T01:54:00Z,48.00,57.00
2026-03-31T01:56:00Z,48.00,57.00
2026-03-31T02:00:00Z,48.00,57.00
2026-03-31T02:05:00Z,48.00,59.00
2026-03-31T02:07:00Z,48.00,59.00
2026-03-31T02:08:00Z,48.00,57.00
2026-03-31T02:11:00Z,37.05,63.98
2026-03-31T02:12:00Z,44.00,56.00
2026-03-31T02:13:00Z,48.00,55.00
2026-03-31T02:14:00Z,45.00,54.00
2026-03-31T02:15:00Z,45.00,54.00
2026-03-31T02:16:00Z,41.00,60.00
2026-03-31T02:17:00Z,42.00,60.00
2026-03-31T02:18:00Z,41.00,60.00
2026-03-31T02:19:00Z,45.63,57.03
2026-03-31T02:21:00Z,43.00,57.03
2026-03-31T02:22:00Z,44.91,57.03
2026-03-31T02:23:00Z,44.91,56.30
