# event_ticker=KXATPCHALLENGERMATCH-26APR30BUSFAU
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Ignacio Buse
# fav_player=Thomas Faurel
# dog_player=Ignacio Buse
# kalshi_date=2026-04-30
timestamp,Ignacio Buse,Thomas Faurel
2026-04-30T05:01:00Z,83.00,
2026-04-30T05:25:00Z,84.00,
2026-04-30T06:21:00Z,84.00,18.00
2026-04-30T06:32:00Z,84.00,18.00
2026-04-30T09:06:00Z,84.00,18.00
2026-04-30T09:21:00Z,84.00,18.00
2026-04-30T09:33:00Z,84.00,18.00
2026-04-30T09:41:00Z,84.00,18.00
2026-04-30T09:47:00Z,84.00,18.00
2026-04-30T10:36:00Z,83.00,18.00
2026-04-30T11:19:00Z,84.00,18.00
2026-04-30T11:27:00Z,84.00,18.00
2026-04-30T11:38:00Z,84.00,18.00
2026-04-30T11:46:00Z,84.00,18.00
2026-04-30T12:16:00Z,84.00,18.00
2026-04-30T12:27:00Z,84.00,18.00
2026-04-30T12:32:00Z,85.00,18.00
2026-04-30T12:35:00Z,85.00,16.00
2026-04-30T12:38:00Z,85.00,16.00
2026-04-30T12:40:00Z,83.50,16.00
2026-04-30T12:41:00Z,83.50,17.00
2026-04-30T12:42:00Z,83.50,17.00
2026-04-30T12:43:00Z,83.50,17.00
2026-04-30T12:50:00Z,83.61,17.00
2026-04-30T12:51:00Z,85.00,17.00
2026-04-30T12:53:00Z,85.00,16.00
2026-04-30T12:58:00Z,85.00,16.00
2026-04-30T12:59:00Z,85.00,16.00
2026-04-30T13:01:00Z,85.00,16.00
2026-04-30T13:04:00Z,87.00,16.00
2026-04-30T13:08:00Z,86.00,16.00
2026-04-30T13:09:00Z,86.00,16.00
2026-04-30T13:12:00Z,86.00,16.00
2026-04-30T13:15:00Z,86.73,15.42
2026-04-30T13:16:00Z,86.73,15.00
2026-04-30T13:25:00Z,87.00,15.00
2026-04-30T13:28:00Z,86.00,15.00
2026-04-30T13:36:00Z,87.00,15.00
2026-04-30T13:39:00Z,86.99,15.26
2026-04-30T13:40:00Z,86.99,16.00
2026-04-30T13:46:00Z,86.99,16.00
2026-04-30T13:49:00Z,87.67,15.00
2026-04-30T13:52:00Z,87.67,15.00
2026-04-30T13:54:00Z,87.67,15.83
2026-04-30T13:55:00Z,85.00,15.00
2026-04-30T13:56:00Z,85.00,15.55
2026-04-30T13:58:00Z,85.00,15.92
2026-04-30T14:00:00Z,88.00,15.92
2026-04-30T14:01:00Z,88.00,15.00
2026-04-30T14:03:00Z,88.00,15.00
2026-04-30T14:09:00Z,88.00,15.00
2026-04-30T14:10:00Z,88.00,15.00
2026-04-30T14:20:00Z,88.00,14.00
2026-04-30T14:22:00Z,87.00,14.00
2026-04-30T14:25:00Z,87.00,14.00
2026-04-30T14:29:00Z,87.00,14.00
2026-04-30T14:32:00Z,88.00,14.00
2026-04-30T14:35:00Z,88.00,14.00
2026-04-30T14:37:00Z,88.00,14.00
2026-04-30T14:39:00Z,87.00,14.00
2026-04-30T14:46:00Z,87.00,14.27
2026-04-30T14:49:00Z,88.00,14.27
2026-04-30T14:51:00Z,88.00,15.00
2026-04-30T14:52:00Z,88.00,13.00
2026-04-30T14:53:00Z,88.00,14.40
2026-04-30T14:54:00Z,88.00,14.40
2026-04-30T14:55:00Z,88.00,14.00
2026-04-30T15:00:00Z,88.00,15.00
2026-04-30T15:05:00Z,88.00,15.00
2026-04-30T15:08:00Z,88.00,15.00
2026-04-30T15:10:00Z,88.00,15.00
2026-04-30T15:11:00Z,88.00,15.00
2026-04-30T15:12:00Z,88.40,15.00
2026-04-30T15:15:00Z,88.40,14.00
2026-04-30T15:16:00Z,88.40,14.00
2026-04-30T15:17:00Z,88.40,14.00
2026-04-30T15:18:00Z,88.40,14.00
2026-04-30T15:19:00Z,88.40,14.00
2026-04-30T15:20:00Z,88.00,14.00
2026-04-30T15:21:00Z,88.00,14.24
2026-04-30T15:22:00Z,86.00,14.84
2026-04-30T15:23:00Z,88.00,14.00
2026-04-30T15:24:00Z,88.00,14.00
2026-04-30T15:25:00Z,88.00,14.20
